team,odds,overUnder
MIN,5.500,207.000
BKN,-5.500,207.000
SA,-5.500,194.500
ATL,5.500,194.500
MIL,8.000,180.500
ORL,-8.000,180.500
DET,-1.000,203.000
WAS,1.000,203.000
CHA,-1.000,190.000
CLE,1.000,190.000
PHI,6.000,186.000
BOS,-6.000,186.000
TOR,9.000,221.500
NY,-9.000,221.500
PHO,11.000,203.500
CHI,-11.000,203.500
LAC,9.000,198.000
MEM,-9.000,198.000
SAC,8.500,219.000
HOU,-8.500,219.000
OKC,4.500,206.500
DEN,-4.500,206.500
GS,10.500,203.000
POR,-10.500,203.000
UTA,14.000,193.000
LAL,-14.000,193.000
