team,odds,overUnder
DET,-2.500,198.000
ORL,2.500,198.000
LAC,-12.500,201.500
PHI,12.500,201.500
CHA,5.000,188.000
WAS,-5.000,188.000
LAL,8.500,204.000
TOR,-8.500,204.000
CLE,-9.000,207.500
BKN,9.000,207.500
MIA,8.000,195.000
ATL,-8.000,195.000
BOS,-11.000,194.000
NY,11.000,194.000
SAC,6.500,206.000
NO,-6.500,206.000
MIN,14.000,205.500
HOU,-14.000,205.500
GS,-3.500,198.500
MEM,3.500,198.500
DAL,8.500,206.000
SA,-8.500,206.000
UTA,2.000,189.000
DEN,-2.000,189.000
POR,-1.000,201.500
PHO,1.000,201.500
