team,odds,overUnder
HOU,3.000,210.500
PHI,-3.000,210.500
CLE,10.000,191.000
CHA,-10.000,191.000
MIL,-4.500,190.500
TOR,4.500,190.500
MIA,-12.500,200.500
WAS,12.500,200.500
DET,6.500,201.500
IND,-6.500,201.500
ORL,-3.500,188.000
ATL,3.500,188.000
BKN,8.000,210.500
NY,-8.000,210.500
CHI,-9.500,196.500
MIN,9.500,196.500
GS,10.500,210.000
MEM,-10.500,210.000
POR,-1.500,180.500
NO,1.500,180.500
SAC,14.000,221.500
DEN,-14.000,221.500
OKC,-3.000,211.000
PHO,3.000,211.000
DAL,-5.500,200.000
LAC,5.500,200.000
