"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"C","Miles Plumlee",3600,"ATL@TOR 12/29/2017 07:30PM ET",11.933,"ATL"
"C","Jahlil Okafor",3500,"BKN@MIA 12/29/2017 08:00PM ET",13.750,"BKN"
"PG","Fred VanVleet",3500,"ATL@TOR 12/29/2017 07:30PM ET",14.864,"TOR"
"PG","Jawun Evans",3400,"LAC@LAL 12/29/2017 10:30PM ET",11.702,"LAC"
"SG/SF","Corey Brewer",3400,"LAC@LAL 12/29/2017 10:30PM ET",6.924,"LAL"
"PF/C","David West",3400,"CHA@GS 12/29/2017 10:30PM ET",16.470,"GS"
"SG","Nick Young",3400,"CHA@GS 12/29/2017 10:30PM ET",10.932,"GS"
"SF/PF","Kevon Looney",3400,"CHA@GS 12/29/2017 10:30PM ET",7.857,"GS"
"PF/C","Tarik Black",3400,"HOU@WAS 12/29/2017 07:00PM ET",7.708,"HOU"
"SF/PF","Dragan Bender",3400,"PHO@SAC 12/29/2017 10:00PM ET",12.604,"PHO"
"C","Kosta Koufos",3400,"PHO@SAC 12/29/2017 10:00PM ET",16.129,"SAC"
"PF/C","Jarrett Allen",3400,"BKN@MIA 12/29/2017 08:00PM ET",13.830,"BKN"
"C","Tyler Zeller",3400,"BKN@MIA 12/29/2017 08:00PM ET",16.404,"BKN"
"SG/SF","DeAndre' Bembry",3400,"ATL@TOR 12/29/2017 07:30PM ET",11.375,"ATL"
"SG/SF","Norman Powell",3400,"ATL@TOR 12/29/2017 07:30PM ET",14.612,"TOR"
"SG","Sindarius Thornwell",3300,"LAC@LAL 12/29/2017 10:30PM ET",8.952,"LAC"
"PG","Michael Carter-Williams",3300,"CHA@GS 12/29/2017 10:30PM ET",13.054,"CHA"
"C","Ian Mahinmi",3300,"HOU@WAS 12/29/2017 07:00PM ET",10.712,"WAS"
"SG/SF","Alex Abrines",3300,"MIL@OKC 12/29/2017 08:00PM ET",9.008,"OKC"
"PF/C","Quincy Acy",3300,"BKN@MIA 12/29/2017 08:00PM ET",12.741,"BKN"
"PF/C","Dwight Powell",3300,"DAL@NO 12/29/2017 08:00PM ET",16.150,"DAL"
"PG/SG","Jameer Nelson",3300,"DAL@NO 12/29/2017 08:00PM ET",16.258,"NO"
"PF","Tyler Cavanaugh",3300,"ATL@TOR 12/29/2017 07:30PM ET",12.193,"ATL"
"PF","Lucas Nogueira",3300,"ATL@TOR 12/29/2017 07:30PM ET",11.056,"TOR"
"PF/C","Al Jefferson",3200,"IND@CHI 12/29/2017 08:00PM ET",14.979,"IND"
"SG/SF","Paul Zipser",3200,"IND@CHI 12/29/2017 08:00PM ET",9.919,"CHI"
"C","Ivica Zubac",3200,"LAC@LAL 12/29/2017 10:30PM ET",1.333,"LAL"
"C","Zaza Pachulia",3200,"CHA@GS 12/29/2017 10:30PM ET",14.433,"GS"
"SF/PF","Luc Richard Mbah a Moute",3200,"HOU@WAS 12/29/2017 07:00PM ET",15.948,"HOU"
"PF","Jared Dudley",3200,"PHO@SAC 12/29/2017 10:00PM ET",10.875,"PHO"
"PG/SG","Matthew Dellavedova",3200,"MIL@OKC 12/29/2017 08:00PM ET",12.191,"MIL"
"PG/SG","Raymond Felton",3200,"MIL@OKC 12/29/2017 08:00PM ET",13.600,"OKC"
"PG/SG","Isaiah Whitehead",3200,"BKN@MIA 12/29/2017 08:00PM ET",13.750,"BKN"
"SF","Darius Miller",3200,"DAL@NO 12/29/2017 08:00PM ET",13.110,"NO"
"SF/PF","Dante Cunningham",3200,"DAL@NO 12/29/2017 08:00PM ET",13.455,"NO"
"C","JaVale McGee",3100,"CHA@GS 12/29/2017 10:30PM ET",8.819,"GS"
"SG","Jodie Meeks",3100,"HOU@WAS 12/29/2017 07:00PM ET",11.179,"WAS"
"SF/PF","Mirza Teletovic",3100,"MIL@OKC 12/29/2017 08:00PM ET",13.175,"MIL"
"PF/C","Patrick Patterson",3100,"MIL@OKC 12/29/2017 08:00PM ET",8.014,"OKC"
"SG/SF","Tony Allen",3100,"DAL@NO 12/29/2017 08:00PM ET",8.898,"NO"
"SF/PF","Luke Babbitt",3100,"ATL@TOR 12/29/2017 07:30PM ET",12.393,"ATL"
"PF/C","Cristiano Felicio",3000,"IND@CHI 12/29/2017 08:00PM ET",8.630,"CHI"
"SG/SF","Quincy Pondexter",3000,"IND@CHI 12/29/2017 08:00PM ET",5.347,"CHI"
"PG/SG","Joe Young",3000,"IND@CHI 12/29/2017 08:00PM ET",4.421,"IND"
"PG","Antonio Blakeney",3000,"IND@CHI 12/29/2017 08:00PM ET",10.682,"CHI"
"SF/PF","TJ Leaf",3000,"IND@CHI 12/29/2017 08:00PM ET",6.185,"IND"
"SF","Alex Poythress",3000,"IND@CHI 12/29/2017 08:00PM ET",2.550,"IND"
"PF/C","Ike Anigbogu",3000,"IND@CHI 12/29/2017 08:00PM ET",2.000,"IND"
"SG/SF","Damien Wilkins",3000,"IND@CHI 12/29/2017 08:00PM ET",2.609,"IND"
"PG","Ryan Arcidiacono",3000,"IND@CHI 12/29/2017 08:00PM ET",1.500,"CHI"
"PG/SG","Cameron Payne",3000,"IND@CHI 12/29/2017 08:00PM ET",0,"CHI"
"PG","Edmond Sumner",3000,"IND@CHI 12/29/2017 08:00PM ET",0,"IND"
"C","Andrew Bogut",3000,"LAC@LAL 12/29/2017 10:30PM ET",8.100,"LAL"
"PG/SG","Tyler Ennis",3000,"LAC@LAL 12/29/2017 10:30PM ET",4.717,"LAL"
"PG/SG","Alex Caruso",3000,"LAC@LAL 12/29/2017 10:30PM ET",2.571,"LAL"
"PG/SG","Patrick Beverley",3000,"LAC@LAL 12/29/2017 10:30PM ET",25.977,"LAC"
"PF/C","Brice Johnson",3000,"LAC@LAL 12/29/2017 10:30PM ET",5.969,"LAC"
"C","Willie Reed",3000,"LAC@LAL 12/29/2017 10:30PM ET",9.946,"LAC"
"SF/PF","Luol Deng",3000,"LAC@LAL 12/29/2017 10:30PM ET",5.000,"LAL"
"PF/C","Thomas Bryant",3000,"LAC@LAL 12/29/2017 10:30PM ET",1.000,"LAL"
"PG/SG","Vander Blue",3000,"LAC@LAL 12/29/2017 10:30PM ET",0.938,"LAL"
"PF/C","Johnny O'Bryant III",3000,"CHA@GS 12/29/2017 10:30PM ET",9.863,"CHA"
"SG/SF","Treveon Graham",3000,"CHA@GS 12/29/2017 10:30PM ET",10.702,"CHA"
"PF","Chris Boucher",3000,"CHA@GS 12/29/2017 10:30PM ET",0,"GS"
"C","Damian Jones",3000,"CHA@GS 12/29/2017 10:30PM ET",1.250,"GS"
"PG/SG","Malik Monk",3000,"CHA@GS 12/29/2017 10:30PM ET",10.474,"CHA"
"PG","Quinn Cook",3000,"CHA@GS 12/29/2017 10:30PM ET",7.075,"GS"
"PF/C","Mangok Mathiang",3000,"CHA@GS 12/29/2017 10:30PM ET",2.500,"CHA"
"SG/SF","Dwayne Bacon",3000,"CHA@GS 12/29/2017 10:30PM ET",9.268,"CHA"
"PG","Marcus Paige",3000,"CHA@GS 12/29/2017 10:30PM ET",2.500,"CHA"
