"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SF/PF","Giannis Antetokounmpo",11500,"CHI@MIL 12/26/2017 08:00PM ET",55.647,"MIL"
"PG/SG","Victor Oladipo",9400,"IND@DET 12/26/2017 07:00PM ET",43.336,"IND"
"C","Andre Drummond",9300,"IND@DET 12/26/2017 07:00PM ET",42.977,"DET"
"SG/SF","DeMar DeRozan",8800,"TOR@DAL 12/26/2017 07:00PM ET",39.887,"TOR"
"C","Marc Gasol",8700,"MEM@PHO 12/26/2017 09:00PM ET",40.121,"MEM"
"PG/SG","Tyreke Evans",8600,"MEM@PHO 12/26/2017 09:00PM ET",34.711,"MEM"
"PF/C","LaMarcus Aldridge",8500,"BKN@SA 12/26/2017 08:30PM ET",38.773,"SA"
"SG/SF","Khris Middleton",8400,"CHI@MIL 12/26/2017 08:00PM ET",36.863,"MIL"
"C","DeAndre Jordan",8300,"SAC@LAC 12/26/2017 10:30PM ET",35.094,"LAC"
"PG","Kyle Lowry",8200,"TOR@DAL 12/26/2017 07:00PM ET",37.637,"TOR"
"C","Nikola Vucevic",8100,"ORL@MIA 12/26/2017 07:30PM ET",38.890,"ORL"
"SG/SF","Devin Booker",8000,"MEM@PHO 12/26/2017 09:00PM ET",38.300,"PHO"
"C","Nikola Jokic",7900,"UTA@DEN 12/26/2017 09:00PM ET",39.481,"DEN"
"SF/PF","Aaron Gordon",7700,"ORL@MIA 12/26/2017 07:30PM ET",35.904,"ORL"
"PF/C","Blake Griffin",7600,"SAC@LAC 12/26/2017 10:30PM ET",43.763,"LAC"
"PG/SG","Lou Williams",7600,"SAC@LAC 12/26/2017 10:30PM ET",33.306,"LAC"
"PG/SG","Eric Bledsoe",7500,"CHI@MIL 12/26/2017 08:00PM ET",33.542,"MIL"
"PG/SG","Donovan Mitchell",7300,"UTA@DEN 12/26/2017 09:00PM ET",30.469,"UTA"
"C","Hassan Whiteside",7100,"ORL@MIA 12/26/2017 07:30PM ET",36.950,"MIA"
"SG/SF","Jonathon Simmons",7100,"ORL@MIA 12/26/2017 07:30PM ET",24.625,"ORL"
"PG/SG","Kris Dunn",7000,"CHI@MIL 12/26/2017 08:00PM ET",30.589,"CHI"
"SF/PF","T.J. Warren",6900,"MEM@PHO 12/26/2017 09:00PM ET",31.157,"PHO"
"PG/SG","D'Angelo Russell",6900,"BKN@SA 12/26/2017 08:30PM ET",36.458,"BKN"
"SG/SF","Josh Richardson",6800,"ORL@MIA 12/26/2017 07:30PM ET",23.136,"MIA"
"C","Myles Turner",6700,"IND@DET 12/26/2017 07:00PM ET",31.635,"IND"
"C","Rudy Gobert",6700,"UTA@DEN 12/26/2017 09:00PM ET",30.611,"UTA"
"PF/C","Paul Millsap",6700,"UTA@DEN 12/26/2017 09:00PM ET",31.828,"DEN"
"PG","Goran Dragic",6600,"ORL@MIA 12/26/2017 07:30PM ET",29.617,"MIA"
"PG","Elfrid Payton",6600,"ORL@MIA 12/26/2017 07:30PM ET",29.010,"ORL"
"PG/SG","Austin Rivers",6600,"SAC@LAC 12/26/2017 10:30PM ET",27.658,"LAC"
"PG","Mike Conley",6500,"MEM@PHO 12/26/2017 09:00PM ET",28.771,"MEM"
"PF/C","Nikola Mirotic",6500,"CHI@MIL 12/26/2017 08:00PM ET",31.722,"CHI"
"SG/SF","Rodney Hood",6400,"UTA@DEN 12/26/2017 09:00PM ET",26.140,"UTA"
"PF/C","Pau Gasol",6400,"BKN@SA 12/26/2017 08:30PM ET",28.422,"SA"
"SG","Gary Harris",6300,"UTA@DEN 12/26/2017 09:00PM ET",29.333,"DEN"
"PG/SG","Spencer Dinwiddie",6300,"BKN@SA 12/26/2017 08:30PM ET",28.648,"BKN"
"SF/PF","Harrison Barnes",6200,"TOR@DAL 12/26/2017 07:00PM ET",32.044,"DAL"
"SF/PF","Tobias Harris",6100,"IND@DET 12/26/2017 07:00PM ET",29.563,"DET"
"SF/PF","James Johnson",6100,"ORL@MIA 12/26/2017 07:30PM ET",25.914,"MIA"
