"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SG","Troy Williams",3000,"HOU@MEM 11/18/2017 08:00PM ET",3.875,"HOU"
"PF/C","Chinanu Onuaku",3000,"HOU@MEM 11/18/2017 08:00PM ET",0,"HOU"
"PG","Briante Weber",3000,"HOU@MEM 11/18/2017 08:00PM ET",0,"HOU"
"PG","Demetrius Jackson",3000,"HOU@MEM 11/18/2017 08:00PM ET",3.114,"HOU"
"PG/SG","Wayne Selden Jr.",3000,"HOU@MEM 11/18/2017 08:00PM ET",8.250,"MEM"
"SG","Kobi Simmons",3000,"HOU@MEM 11/18/2017 08:00PM ET",0,"MEM"
"PF/C","Deyonta Davis",3000,"HOU@MEM 11/18/2017 08:00PM ET",5.000,"MEM"
"PF","Vince Hunter",3000,"HOU@MEM 11/18/2017 08:00PM ET",0,"MEM"
"PF/C","Ivan Rabb",3000,"HOU@MEM 11/18/2017 08:00PM ET",0.000,"MEM"
"SF/PF","Kevon Looney",3000,"GS@PHI 11/18/2017 07:30PM ET",9.156,"GS"
"C","JaVale McGee",3000,"GS@PHI 11/18/2017 07:30PM ET",10.038,"GS"
"PG","Quinn Cook",3000,"GS@PHI 11/18/2017 07:30PM ET",1.000,"GS"
"PF/C","Jordan Bell",3000,"GS@PHI 11/18/2017 07:30PM ET",9.477,"GS"
"PF","Chris Boucher",3000,"GS@PHI 11/18/2017 07:30PM ET",0,"GS"
"C","Damian Jones",3000,"GS@PHI 11/18/2017 07:30PM ET",0,"GS"
"PG","Jacob Pullen",3000,"GS@PHI 11/18/2017 07:30PM ET",0,"PHI"
"PG/SF","Nik Stauskas",3000,"GS@PHI 11/18/2017 07:30PM ET",2.750,"PHI"
"SG/SF","Furkan Korkmaz",3000,"GS@PHI 11/18/2017 07:30PM ET",4.500,"PHI"
"PF","James Michael McAdoo",3000,"GS@PHI 11/18/2017 07:30PM ET",5.000,"PHI"
"SF/PF","Justin Anderson",3000,"GS@PHI 11/18/2017 07:30PM ET",9.875,"PHI"
"C","Jahlil Okafor",3000,"GS@PHI 11/18/2017 07:30PM ET",12.625,"PHI"
"SF/PF","Sam Dekker",3000,"LAC@CHA 11/18/2017 07:00PM ET",5.318,"LAC"
"C","Willie Reed",3000,"LAC@CHA 11/18/2017 07:00PM ET",13.212,"LAC"
"PF/C","Brice Johnson",3000,"LAC@CHA 11/18/2017 07:00PM ET",6.125,"LAC"
"SG","C.J. Williams",3000,"LAC@CHA 11/18/2017 07:00PM ET",0.000,"LAC"
"SF/PF","Jamil Wilson",3000,"LAC@CHA 11/18/2017 07:00PM ET",0,"LAC"
"PG","Jawun Evans",3000,"LAC@CHA 11/18/2017 07:00PM ET",8.536,"LAC"
"PG","Marcus Paige",3000,"LAC@CHA 11/18/2017 07:00PM ET",2.500,"CHA"
"PF/C","Johnny O'Bryant III",3000,"LAC@CHA 11/18/2017 07:00PM ET",11.000,"CHA"
"SG/SF","Treveon Graham",3000,"LAC@CHA 11/18/2017 07:00PM ET",11.900,"CHA"
"PG/SG","Julyan Stone",3000,"LAC@CHA 11/18/2017 07:00PM ET",9.625,"CHA"
"PF/C","Mangok Mathiang",3000,"LAC@CHA 11/18/2017 07:00PM ET",2.500,"CHA"
"PG/SF","DeAndre Liggins",3000,"MIL@DAL 11/18/2017 09:00PM ET",6.000,"MIL"
"PF","Maxi Kleber",3000,"MIL@DAL 11/18/2017 09:00PM ET",7.650,"DAL"
"PF/C","Dwight Powell",3000,"MIL@DAL 11/18/2017 09:00PM ET",12.950,"DAL"
"C","Jeff Withey",3000,"MIL@DAL 11/18/2017 09:00PM ET",4.042,"DAL"
"PF/C","Johnathan Motley",3000,"MIL@DAL 11/18/2017 09:00PM ET",0,"DAL"
"PG","Gian Clavell",3000,"MIL@DAL 11/18/2017 09:00PM ET",5.607,"DAL"
"SF","Dorian Finney-Smith",3000,"MIL@DAL 11/18/2017 09:00PM ET",5.875,"DAL"
"PF/C","Josh McRoberts",3000,"MIL@DAL 11/18/2017 09:00PM ET",0,"DAL"
"SG","Gary Payton II",3000,"MIL@DAL 11/18/2017 09:00PM ET",0.000,"MIL"
"PG/SF","Rashad Vaughn",3000,"MIL@DAL 11/18/2017 09:00PM ET",7.450,"MIL"
"PF/C","D.J. Wilson",3000,"MIL@DAL 11/18/2017 09:00PM ET",1.938,"MIL"
"SG","Sterling Brown",3000,"MIL@DAL 11/18/2017 09:00PM ET",4.167,"MIL"
"PF","Joel Bolomboy",3000,"MIL@DAL 11/18/2017 09:00PM ET",0.000,"MIL"
"PG/SG","Jason Terry",3000,"MIL@DAL 11/18/2017 09:00PM ET",3.438,"MIL"
