"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SF/PF","LeBron James",11200,"LAC@CLE 11/17/2017 07:30PM ET",55.200,"CLE"
"PF/C","DeMarcus Cousins",10900,"NO@DEN 11/17/2017 10:30PM ET",60.650,"NO"
"PG","Russell Westbrook",10300,"OKC@SA 11/17/2017 08:00PM ET",48.857,"OKC"
"PF/C","Anthony Davis",10200,"NO@DEN 11/17/2017 10:30PM ET",52.179,"NO"
"C","Karl-Anthony Towns",9400,"MIN@DAL 11/17/2017 08:30PM ET",43.536,"MIN"
"PG","John Wall",9200,"MIA@WAS 11/17/2017 07:00PM ET",44.250,"WAS"
"PF/C","Kristaps Porzingis",9000,"NY@TOR 11/17/2017 07:30PM ET",45.135,"NY"
"C","Andre Drummond",8900,"DET@IND 11/17/2017 07:00PM ET",43.321,"DET"
"PG","Damian Lillard",8900,"POR@SAC 11/17/2017 10:00PM ET",45.250,"POR"
"PF/C","Blake Griffin",8800,"LAC@CLE 11/17/2017 07:30PM ET",42.212,"LAC"
"C","Hassan Whiteside",8400,"MIA@WAS 11/17/2017 07:00PM ET",39.806,"MIA"
"SF","Paul George",8300,"OKC@SA 11/17/2017 08:00PM ET",38.750,"OKC"
"SF/PF","Kawhi Leonard",8200,"OKC@SA 11/17/2017 08:00PM ET",0,"SA"
"C","Nikola Jokic",8100,"NO@DEN 11/17/2017 10:30PM ET",42.893,"DEN"
"PF/C","LaMarcus Aldridge",8000,"OKC@SA 11/17/2017 08:00PM ET",40.217,"SA"
"C","Rudy Gobert",7900,"UTA@BKN 11/17/2017 07:30PM ET",35.042,"UTA"
"PG","Kemba Walker",7900,"CHA@CHI 11/17/2017 08:00PM ET",37.923,"CHA"
"SG/SF","DeMar DeRozan",7900,"NY@TOR 11/17/2017 07:30PM ET",38.196,"TOR"
"SG/SF","Devin Booker",7800,"PHO@LAL 11/17/2017 10:30PM ET",36.900,"PHO"
"PG","Kyle Lowry",7700,"NY@TOR 11/17/2017 07:30PM ET",33.750,"TOR"
"PG/SG","Victor Oladipo",7600,"DET@IND 11/17/2017 07:00PM ET",37.800,"IND"
"PF/C","Kevin Love",7600,"LAC@CLE 11/17/2017 07:30PM ET",36.700,"CLE"
"SG","Bradley Beal",7500,"MIA@WAS 11/17/2017 07:00PM ET",37.982,"WAS"
"PG","D'Angelo Russell",7400,"UTA@BKN 11/17/2017 07:30PM ET",36.458,"BKN"
"SG","Jimmy Butler",7300,"MIN@DAL 11/17/2017 08:30PM ET",32.146,"MIN"
"C","Myles Turner",7200,"DET@IND 11/17/2017 07:00PM ET",32.156,"IND"
"PG","Lonzo Ball",7100,"PHO@LAL 11/17/2017 10:30PM ET",31.717,"LAL"
"C","Dwight Howard",7100,"CHA@CHI 11/17/2017 08:00PM ET",33.615,"CHA"
"C","Jusuf Nurkic",7000,"POR@SAC 11/17/2017 10:00PM ET",29.589,"POR"
"PF/C","Paul Millsap",7000,"NO@DEN 11/17/2017 10:30PM ET",32.125,"DEN"
"PG/SG","C.J. McCollum",6900,"POR@SAC 11/17/2017 10:00PM ET",35.250,"POR"
