"Sport","Entry","Contest_Date_EST","Place","Points","Winnings_Non_Ticket","Winnings_Ticket","Contest_Entries","Entry_Fee","Prize_Pool","Places_Paid"
"NBA","NBA GIANT $1 50/50 [Top 50% Win, $5K Gtd]","2014-11-12 19:00:00",5132,210,"$0.00","$0.00",5556,"$1.00","$5,000.40",2778
"NFL","NFL Micro Booster [Top 100 win $10] (Thurs)","2014-11-06 20:25:00",1938,152.7,"$0.00","$0.00",4700,"$0.25","$1,000.00",100
"NFL","Beginner NFL $20 50/50 [Top 50% Win] (Thurs)","2014-11-06 20:25:00",36,144.32,"$0.00","$0.00",60,"$20.00","$1,080.00",30
"NFL","Beginner NFL $20 50/50 [Top 50% Win] (Thurs)","2014-11-06 20:25:00",19,152.7,"$0.00","$0.00",30,"$20.00","$540.00",15
"NFL","World's Biggest $50 50/50 [Top 50% Win, $125K Gtd]","2014-11-09 13:00:00",2018,151.32,"$0.00","$0.00",2751,"$50.00","$125,010.00",1389
"NFL","NFL BIG 10x Booster [Top 250 Win $20] (Thurs)","2014-11-06 20:25:00",1245,152.7,"$0.00","$0.00",2860,"$2.00","$5,000.00",250
"NFL","NFL $100K Play-Action [$100,000 Guaranteed] (1/2)","2014-11-02 13:00:00",11719,168.36,"$0.00","$0.00",57500,"$2.00","$100,000.00",11500
"NFL","NFL $100K Play-Action [$100,000 Guaranteed] (2/2)","2014-11-02 13:00:00",11719,168.36,"$0.00","$0.00",57500,"$2.00","$100,000.00",11500
"NFL","World's Biggest $5 50/50 [Top 50% Win, $50K Gtd]","2014-11-02 13:00:00",9795,125.76,"$0.00","$0.00",11112,"$5.00","$50,004.00",5556
"NFL","World's Biggest $10 50/50 [Top 50% Win, $100K Gtd]","2014-11-02 13:00:00",8616,139.62,"$0.00","$0.00",11112,"$10.00","$100,008.00",5556
"NFL","World's Biggest $20 50/50 [Top 50% Win, $110K Gtd]","2014-11-02 13:00:00",1794,168.36,"$36.00","$0.00",6112,"$20.00","$110,016.00",3056
"NFL","NFL $100K Play-Action #2 [$100,000 Guaranteed]","2014-11-02 13:00:00",37906,139.62,"$0.00","$0.00",57500,"$2.00","$100,000.00",11500
