"Sport","Entry","Contest_Date_EST","Place","Points","Winnings_Non_Ticket","Winnings_Ticket","Contest_Entries","Entry_Fee","Prize_Pool","Places_Paid"
"NBA","NBA $2 Double Up [$14,000 Gtd] (Multi-Entry)","2016-11-19 19:00:00",8028,190.5,"$0.00","$0.00",8045,"$2.00","$14,000.00",3500
"NBA","NBA $325K Sharpshooter [$325,000 Guaranteed]","2016-11-19 19:00:00",125878,190.5,"$0.00","$0.00",127450,"$3.00","$325,000.00",34285
"NFL","Casual NFL $20K First Down [$20,000 Guaranteed]","2016-11-13 13:00:00",684,186,"$4.00","$0.00",23529,"$1.00","$20,000.00",5905
"NFL","Casual NFL $2 Double Up [$10,000 Gtd] (Multi-Entry)","2016-11-13 13:00:00",211,186,"$4.00","$0.00",5747,"$2.00","$10,000.00",2500
"CBB","CBB $5 50/50 [Top 50% Win]","2016-02-23 19:00:00",10,147.75,"$0.00","$0.00",10,"$5.00","$45.00",5
"CBB","CBB $3 Double Up [$60 Guaranteed]","2016-02-23 19:00:00",23,147.75,"$0.00","$0.00",23,"$3.00","$60.00",10
"CBB","CBB $3 Double Up [$60 Guaranteed]","2016-02-23 19:00:00",23,147.75,"$0.00","$0.00",23,"$3.00","$60.00",10
"NBA","NBA GIANT $5 Double Up [$75,000 Guaranteed]","2016-01-27 19:00:00",15833,199.75,"$0.00","$0.00",17045,"$5.00","$75,000.00",7500
"NBA","NBA $5 Double Up [$2,000 Gtd] (Multi-Entry)  (Night)","2016-01-18 19:30:00",431,202.5,"$0.00","$0.00",454,"$5.00","$2,000.00",200
"MMA","MMA $45K Haymaker [$45,000 Guaranteed]","2016-01-17 18:00:00",15811,155.5,"$0.00","$0.00",17241,"$3.00","$45,000.00",3525
"MMA","MMA $15K Arm Bar [$15,000 Guaranteed]","2016-01-17 18:00:00",3147,155.5,"$0.00","$0.00",3450,"$5.00","$15,000.00",700
"NBA","NBA GIANT $5 Double Up [$70,000 Guaranteed]","2016-01-05 20:00:00",10465,280.5,"$0.00","$0.00",15909,"$5.00","$70,000.00",7000
"NHL","NHL $10 Double Up [$100 Guaranteed]","2016-01-05 19:00:00",8,26.1,"$0.00","$0.00",11,"$10.00","$100.00",5
"NBA","NBA $10K Layup [$10,000 Guaranteed]","2016-01-04 19:00:00",3592,235.25,"$0.00","$0.00",5750,"$2.00","$10,000.00",1150
"NBA","NBA $6K Daily Dollar [Single Entry]","2016-01-04 19:00:00",4821,233,"$0.00","$0.00",7058,"$1.00","$6,000.00",1400
"NBA","NBA GIANT $1 Double Up [$22,000 Guaranteed]","2016-01-04 19:00:00",14954,246.75,"$0.00","$0.00",25000,"$1.00","$22,000.00",11000
"NBA","NBA $20K Sky Hook [$20,000 Guaranteed]","2016-01-04 19:00:00",1828,233,"$0.00","$0.00",2555,"$9.00","$20,000.00",510
"NBA","NBA $50K Zone [$50,000 Guaranteed]","2016-01-04 19:00:00",7896,233,"$0.00","$0.00",11500,"$5.00","$50,000.00",2300
"NBA","NBA $35K And One [$35,000 Gtd]","2016-01-04 19:00:00",18812,246.75,"$0.00","$0.00",41176,"$1.00","$35,000.00",8275
"NBA","NBA GIANT $5 Double Up [$75,000 Guaranteed]","2016-01-04 19:00:00",10253,246.75,"$0.00","$0.00",17045,"$5.00","$75,000.00",7500
"NBA","NBA $450K Tip-Off Special [$50K to 1st]","2016-01-04 19:00:00",116301,233,"$0.00","$0.00",172500,"$3.00","$450,000.00",34940
"NBA","NBA $3 Double Up [$60 Guaranteed]","2016-01-04 19:00:00",18,235.25,"$0.00","$0.00",23,"$3.00","$60.00",10
"NBA","NBA $4M January Jam / Slam Dunk SUPERSat [10x] (2/3)","2016-01-04 19:00:00",48,246.75,"$0.00","$0.00",115,"$10.00","$1,000.00",10
"NBA","NBA $4M January Jam / Slam Dunk SUPERSat [10x] (1/3)","2016-01-04 19:00:00",68,235.25,"$0.00","$0.00",115,"$10.00","$1,000.00",10
"NBA","NBA $4M January Jam / Slam Dunk SUPERSat [10x] (3/3)","2016-01-04 19:00:00",76,233,"$0.00","$0.00",115,"$10.00","$1,000.00",10
"CBB","CBB $10 Double Up [$100 Guaranteed]","2016-01-03 14:00:00",10,152,"$0.00","$0.00",11,"$10.00","$100.00",5
"NBA","NBA $5 50/50  (All Day)","2016-01-03 15:30:00",1,290.25,"$9.00","$0.00",20,"$5.00","$90.00",10
"NBA","NBA $10 50/50  (All Day)","2016-01-03 15:30:00",5,259.25,"$18.00","$0.00",20,"$10.00","$180.00",10
"NBA","NBA $10 50/50   (All Day)","2016-01-03 15:30:00",9,204.75,"$0.00","$0.00",10,"$10.00","$90.00",5
"NBA","NBA $5 50/50  (All Day)","2016-01-03 15:30:00",1,290.25,"$9.00","$0.00",20,"$5.00","$90.00",10
"NFL","NFL GIANT $50 Double Up [$8,000 Guaranteed]  (Afternoon)","2016-01-03 16:25:00",56,116.92,"$100.00","$0.00",181,"$50.00","$8,000.00",80
"NFL","NFL MASSIVE $10 Double Up [$110,000 Guaranteed]","2016-01-03 13:00:00",8650,136.86,"$0.00","$0.00",12500,"$10.00","$110,000.00",5500
"NBA","NBA $25K And-One [$25,000 Guaranteed]","2016-01-02 19:00:00",14902,231.5,"$0.00","$0.00",29411,"$1.00","$25,000.00",5860
"NBA","NBA $25 Double Up [$65,000 Gtd] (Multi-Entry) (2/2)","2016-01-02 19:00:00",1865,246,"$0.00","$0.00",2941,"$25.00","$65,000.00",1300
"NBA","NBA $25 Double Up [$65,000 Gtd] (Multi-Entry) (1/2)","2016-01-02 19:00:00",2341,231.5,"$0.00","$0.00",2941,"$25.00","$65,000.00",1300
"NBA","NBA $25K Sharpshooter [$25,000 Guaranteed]  (Turbo)","2016-01-02 20:00:00",333,289.25,"$10.00","$0.00",9583,"$3.00","$25,000.00",1920
"MMA","Beginner MMA $5 50/50 [Top 50% Win]","2016-01-02 18:30:00",6,352,"$9.00","$0.00",30,"$5.00","$135.00",15
"NBA","NBA GIANT $10 Double Up [$20,000 Guaranteed] (1/2)","2016-01-01 19:00:00",2231,199,"$0.00","$0.00",2272,"$10.00","$20,000.00",1000
"NBA","NBA GIANT $10 Double Up [$20,000 Guaranteed] (2/2)","2016-01-01 19:00:00",2231,199,"$0.00","$0.00",2272,"$10.00","$20,000.00",1000
"NBA","NBA $260K Sharpshooter [$260,000 Guaranteed]","2016-01-01 19:00:00",94078,199,"$0.00","$0.00",99666,"$3.00","$260,000.00",20805
"NBA","NBA $10 Head-to-Head  vs. petteytheft89","2016-01-01 19:00:00",2,199,"$0.00","$0.00",2,"$10.00","$18.00",1
"NBA","NBA $5 Double Up [$10,000 Gtd] (Multi-Entry)","2016-01-01 19:00:00",1915,223.5,"$0.00","$0.00",2272,"$5.00","$10,000.00",1000
"NBA","NBA $10 Head-to-Head  vs. Wmetz","2016-01-01 19:00:00",2,199,"$0.00","$0.00",2,"$10.00","$18.00",1
"NBA","NBA $50 Double Up [$6,000 Gtd] (Multi-Entry)","2016-01-01 19:00:00",117,223.5,"$0.00","$0.00",136,"$50.00","$6,000.00",60
"NBA","NBA $5 Double Up [$15,000 Gtd] (Multi-Entry)","2015-12-31 18:00:00",594,295.25,"$10.00","$0.00",3409,"$5.00","$15,000.00",1500
"NBA","NBA $25 Double Up [$14,000 Gtd] (Multi-Entry)","2015-12-31 18:00:00",100,297.5,"$50.00","$0.00",633,"$25.00","$14,000.00",280
"NBA","NBA $25 Double Up [$500 Guaranteed]","2015-12-31 18:00:00",6,295.25,"$50.00","$0.00",22,"$25.00","$500.00",10
"NBA","NBA GIANT $5 Double Up [$70,000 Guaranteed] (1/2)","2015-12-30 19:00:00",172,297.5,"$10.00","$0.00",15909,"$5.00","$70,000.00",7000
