Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,LastGame,dvp,value,fvalue,odds,O/U
PF/C,DeMarcus Cousins,11400,Sac@Den 09:00PM ET,52.953,Sac,0,0,47.000,40.000,55.250,50.500,11.000,68.400,0.129,3.500,214.500
PG,John Wall,10600,Was@Dal 08:30PM ET,49.121,Was,0,0,46.750,42.328,54.062,45.250,1.000,63.600,0.071,1.000,1.000
PF/C,Karl-Anthony Towns,9900,Min@Phi 07:00PM ET,44.566,Min,0,0,42.964,37.575,46.938,40.250,16.750,59.400,0.100,-4.500,205.500
SF,Kawhi Leonard,8500,Tor@SA 08:30PM ET,41.352,SA,1,0,39.214,32.696,43.375,25.000,9.000,51.000,0.159,-6.000,206.000
PG,Kyle Lowry,8400,Tor@SA 08:30PM ET,43.644,Tor,0,0,48.250,36.533,52.500,63.750,5.000,50.400,0.223,6.000,206.000
C,Marc Gasol,8400,Mem@LAL 10:30PM ET,38.331,Mem,0,1,41.393,28.078,33.625,7.000,30.000,50.400,0.169,-5.000,207.000
SG,DeMar DeRozan,8100,Tor@SA 08:30PM ET,41.856,Tor,0,0,42.321,34.161,42.812,40.250,19.000,48.600,0.214,6.000,206.000
SF,Gordon Hayward,8000,Uta@Bos 07:30PM ET,38.491,Uta,0,0,39.250,30.212,42.125,46.000,12.500,48.000,0.170,5.500,200.000
C,Hassan Whiteside,8000,Mia@Pho 09:00PM ET,42.316,Mia,0,1,33.429,30.109,28.625,26.000,24.500,48.000,0.339,5.000,212.500
SF/PF,Paul George,7900,Ind@Det 07:30PM ET,39.009,Ind,0,0,36.607,33.283,37.938,30.750,7.500,47.400,0.133,5.000,205.000
PG,Eric Bledsoe,7700,Mia@Pho 09:00PM ET,38.221,Pho,1,0,41.821,28.542,40.562,50.000,7.000,46.200,0.254,-5.000,212.500
PF/C,LaMarcus Aldridge,7600,Tor@SA 08:30PM ET,32.556,SA,1,0,32.607,25.056,40.000,53.250,15.750,45.600,0.115,-6.000,206.000
PF/C,Joel Embiid,7500,Min@Phi 07:00PM ET,36.330,Phi,1,0,36.964,28.275,37.562,46.000,10.750,45.000,0.172,4.500,205.500
PG,Isaiah Thomas,7400,Uta@Bos 07:30PM ET,42.358,Bos,1,0,41.571,35.750,45.062,60.000,6.000,44.400,0.411,-5.500,200.000
C,Rudy Gobert,7300,Uta@Bos 07:30PM ET,35.721,Uta,0,0,39.214,26.821,38.688,46.500,23.000,43.800,0.186,5.500,200.000
C,Andre Drummond,7300,Ind@Det 07:30PM ET,37.971,Det,1,0,37.179,29.395,41.312,55.500,18.500,43.800,0.311,-5.000,205.000
SF,Andrew Wiggins,7200,Min@Phi 07:00PM ET,32.721,Min,0,0,35.929,23.734,37.562,31.750,19.000,43.200,0.185,-4.500,205.500
PG,Jeff Teague,7100,Ind@Det 07:30PM ET,35.650,Ind,0,1,35.071,26.176,32.375,31.750,25.000,42.600,0.263,5.000,205.000
PG,Goran Dragic,7000,Mia@Pho 09:00PM ET,35.167,Mia,0,1,34.071,27.625,29.688,18.750,26.000,42.000,0.276,5.000,212.500
C,Nikola Jokic,6900,Sac@Den 09:00PM ET,30.315,Den,1,0,39.071,21.145,45.375,47.750,11.000,41.400,0.216,-3.500,214.500
SF/PF,Harrison Barnes,6700,Was@Dal 08:30PM ET,31.368,Dal,1,0,31.179,24.000,31.125,37.250,20.000,40.200,0.145,-1.000,1.000
