Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,LastGame,dvp,value,fvalue,odds,O/U
PG/SG,James Harden,12800,Hou@Ind 06:00PM ET,61.260,Hou,0,0,68.607,52.954,70.062,97.750,19.500,76.800,0.119,-3.500,228.000
SF,Kevin Durant,10100,GS@Por 09:00PM ET,49.851,GS,0,0,51.464,42.146,45.062,44.000,18.500,60.600,0.142,-8.500,230.500
C,Anthony Davis,10000,Was@NO 06:00PM ET,53.360,NO,1,0,42.000,38.750,38.438,48.500,6.000,60.000,0.352,-1.000,1.000
PG,John Wall,9800,Was@NO 06:00PM ET,48.523,Was,0,0,43.929,41.214,44.125,38.500,27.000,58.800,0.137,1.000,1.000
PG,Kyle Lowry,8900,Orl@Tor 06:00PM ET,43.201,Tor,1,0,40.536,34.250,42.250,47.250,13.000,53.400,0.156,-9.500,208.000
SG/SF,Jimmy Butler,8800,Phi@Chi 07:00PM ET,43.446,Chi,1,0,43.107,33.889,37.125,10.250,17.250,52.800,0.262,-7.000,205.000
SF,Kawhi Leonard,8700,Dal@SA 07:00PM ET,42.679,SA,1,0,47.250,33.931,51.125,40.500,3.000,52.200,0.160,-12.500,196.000
PG,Stephen Curry,8600,GS@Por 09:00PM ET,43.984,GS,0,0,42.536,37.458,50.688,66.750,10.500,51.600,0.195,-8.500,230.500
C,Joel Embiid,8400,Phi@Chi 07:00PM ET,38.992,Phi,0,1,42.214,30.804,50.438,56.250,10.000,50.400,0.116,7.000,205.000
PG,Damian Lillard,8300,GS@Por 09:00PM ET,43.227,Por,1,0,39.464,35.125,40.562,48.750,15.500,49.800,0.285,8.500,230.500
SF/PF,Paul George,7900,Hou@Ind 06:00PM ET,38.814,Ind,1,0,39.107,33.386,42.062,45.000,19.750,47.400,0.124,3.500,228.000
PF/C,Draymond Green,7800,GS@Por 09:00PM ET,39.028,GS,0,0,33.857,32.083,28.375,26.250,28.500,46.800,0.197,-8.500,230.500
SG,DeMar DeRozan,7700,Orl@Tor 06:00PM ET,42.170,Tor,1,1,40.036,34.864,40.750,34.750,23.500,46.200,0.332,-9.500,208.000
PG,Jrue Holiday,7500,Was@NO 06:00PM ET,33.820,NO,1,0,42.536,26.426,46.688,53.000,3.000,45.000,0.142,-1.000,1.000
PG,Jeff Teague,7200,Hou@Ind 06:00PM ET,36.408,Ind,1,0,38.250,27.217,39.125,41.000,10.500,43.200,0.270,3.500,228.000
PG/SG,C.J. McCollum,7100,GS@Por 09:00PM ET,36.901,Por,1,0,39.857,29.214,34.750,23.500,13.750,42.600,0.308,8.500,230.500
SG,Dwyane Wade,7000,Phi@Chi 07:00PM ET,33.895,Chi,1,0,39.821,26.045,46.125,29.000,17.500,42.000,0.217,-7.000,205.000
PF,LaMarcus Aldridge,6900,Dal@SA 07:00PM ET,33.143,SA,1,0,32.536,24.631,39.125,35.000,2.000,41.400,0.209,-12.500,196.000
SG,Klay Thompson,6800,GS@Por 09:00PM ET,31.663,GS,0,0,29.536,25.125,30.250,20.750,9.000,40.800,0.166,-8.500,230.500
C,Myles Turner,6700,Hou@Ind 06:00PM ET,32.606,Ind,1,0,39.429,25.125,33.062,31.000,25.500,40.200,0.224,3.500,228.000
PG,Elfrid Payton,6700,Orl@Tor 06:00PM ET,29.042,Orl,0,0,32.357,20.464,34.500,30.250,9.000,40.200,0.187,9.500,208.000
SG,Bradley Beal,6600,Was@NO 06:00PM ET,33.631,Was,0,0,33.607,25.619,34.062,25.250,17.500,39.600,0.273,1.000,1.000
SF/PF,Markieff Morris,6600,Was@NO 06:00PM ET,28.233,Was,0,0,33.357,20.680,37.688,32.250,24.500,39.600,0.136,1.000,1.000
SF/PF,Harrison Barnes,6500,Dal@SA 07:00PM ET,31.370,Dal,0,0,34.821,24.238,29.062,39.500,2.500,39.000,0.178,12.500,196.000
C,Nikola Vucevic,6400,Orl@Tor 06:00PM ET,33.656,Orl,0,0,36.071,25.700,27.562,27.250,7.000,38.400,0.329,9.500,208.000
PF/C,Nerlens Noel,6300,Phi@Chi 07:00PM ET,18.908,Phi,0,0,22.321,9.778,28.625,22.500,12.750,37.800,0.059,7.000,205.000
SF/PF,Otto Porter,6300,Was@NO 06:00PM ET,30.054,Was,0,0,37.714,21.510,31.000,48.750,24.500,37.800,0.262,1.000,1.000
PF/C,Terrence Jones,6200,Was@NO 06:00PM ET,24.411,NO,1,0,31.286,16.160,36.625,31.750,15.500,37.200,0.145,-1.000,1.000
C,Mason Plumlee,6200,GS@Por 09:00PM ET,31.021,Por,1,0,35.500,23.540,39.312,33.000,22.000,37.200,0.265,8.500,230.500
PF/C,Serge Ibaka,6000,Orl@Tor 06:00PM ET,29.793,Orl,0,0,26.286,21.750,21.812,7.500,14.500,36.000,0.272,9.500,208.000
SF,Robert Covington,5900,Phi@Chi 07:00PM ET,25.643,Phi,0,0,29.964,18.071,31.000,21.750,9.000,35.400,0.166,7.000,205.000
PF,Ersan Ilyasova,5800,Phi@Chi 07:00PM ET,26.806,Phi,0,0,32.679,19.159,24.750,7.750,15.500,34.800,0.205,7.000,205.000
