Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,LastGame,dvp,value,fvalue,odds,O/U
PF,Kyle Wiltjer,3000,Hou@Min 08:00PM ET,2.306,Hou,0,0,1.042,0.375,1.000,3.250,6.500,18.000,0.006,-3.500,218.500
C,Nikola Pekovic,3000,Hou@Min 08:00PM ET,0.000,Min,1,1,0.000,0.000,0.000,0.000,26.000,18.000,0.000,3.500,218.500
C,Chinanu Onuaku,3000,Hou@Min 08:00PM ET,13.250,Hou,0,0,0.000,0.000,13.250,13.250,15.000,18.000,0.159,-3.500,218.500
PG,Jerryd Bayless,3000,NY@Phi 07:00PM ET,21.333,Phi,1,1,21.333,15.750,21.333,18.500,13.000,18.000,0.635,2.000,211.500
SG/SF,Timothe Luwawu-Cabarrot,3000,NY@Phi 07:00PM ET,4.784,Phi,1,0,6.500,1.795,5.562,5.750,20.000,18.000,0.002,2.000,211.500
SG,Sasha Vujacic,3000,NY@Phi 07:00PM ET,5.489,NY,0,0,5.071,0.591,8.562,11.500,17.500,18.000,0.019,-2.000,211.500
SF/PF,Lance Thomas,3000,NY@Phi 07:00PM ET,9.389,NY,0,0,8.214,5.783,13.750,11.250,12.750,18.000,0.056,-2.000,211.500
SF,Mindaugas Kuzminskas,3000,NY@Phi 07:00PM ET,9.685,NY,0,1,9.036,5.194,17.688,19.750,19.000,18.000,0.116,-2.000,211.500
SF,Ben Simmons,3000,NY@Phi 07:00PM ET,0.000,Phi,1,1,0.000,0.000,0.000,0.000,14.000,18.000,0.000,2.000,211.500
PF,Maurice Ndour,3000,NY@Phi 07:00PM ET,5.078,NY,0,0,5.179,2.714,4.438,5.250,6.500,18.000,0.001,-2.000,211.500
C,Marshall Plumlee,3000,NY@Phi 07:00PM ET,5.000,NY,0,0,6.875,0.625,5.000,0.000,27.000,18.000,0.105,-2.000,211.500
C,Guillermo Hernangomez,3000,NY@Phi 07:00PM ET,13.250,NY,0,0,18.607,5.125,10.500,14.500,27.000,18.000,0.313,-2.000,211.500
PG/SG,C.J. Watson,3000,Orl@LAC 10:30PM ET,6.875,Orl,0,0,6.071,2.462,7.188,0.000,4.250,18.000,0.026,10.500,209.000
SG,Alan Anderson,3000,Orl@LAC 10:30PM ET,5.268,LAC,1,0,3.071,2.167,9.562,1.000,22.000,18.000,0.021,-10.500,209.000
SG,C.J. Wilcox,3000,Orl@LAC 10:30PM ET,2.609,Orl,0,0,2.107,0.614,3.375,0.000,6.500,18.000,0.001,10.500,209.000
SG,Mario Hezonja,3000,Orl@LAC 10:30PM ET,5.990,Orl,0,0,3.071,1.859,4.375,4.500,6.500,18.000,0.037,10.500,209.000
SF/PF,Luc Richard Mbah a Moute,3000,Orl@LAC 10:30PM ET,13.539,LAC,1,0,18.321,9.542,14.625,10.750,18.000,18.000,0.237,-10.500,209.000
SF,Paul Pierce,3000,Orl@LAC 10:30PM ET,6.917,LAC,1,0,4.292,3.500,6.938,8.250,25.000,18.000,0.012,-10.500,209.000
SF,Wesley Johnson,3000,Orl@LAC 10:30PM ET,10.279,LAC,1,0,10.679,5.487,8.562,10.000,25.000,18.000,0.130,-10.500,209.000
SF,Damjan Rudez,3000,Orl@LAC 10:30PM ET,4.065,Orl,0,0,3.000,0.788,2.438,0.000,21.000,18.000,0.005,10.500,209.000
PF,Brandon Bass,3000,Orl@LAC 10:30PM ET,9.646,LAC,1,0,11.250,4.833,15.062,20.000,11.000,18.000,0.112,-10.500,209.000
PF,Brice Johnson,3000,Orl@LAC 10:30PM ET,0.000,LAC,1,1,0.000,0.000,0.000,0.000,11.000,18.000,0.000,-10.500,209.000
PF,Stephen Zimmerman Jr.,3000,Orl@LAC 10:30PM ET,4.125,Orl,0,0,2.583,1.950,5.000,11.000,9.000,18.000,0.011,10.500,209.000
C,Diamond Stone,3000,Orl@LAC 10:30PM ET,2.813,LAC,1,0,2.812,0.250,2.812,0.000,18.500,18.000,0.048,-10.500,209.000
PG,Shabazz Napier,3000,Cle@Por 10:30PM ET,7.550,Por,1,0,7.821,3.000,8.250,4.750,22.000,18.000,0.039,5.000,222.000
PG,Tim Quarterman,3000,Cle@Por 10:30PM ET,3.250,Por,1,0,3.100,1.750,1.750,3.750,22.000,18.000,0.001,5.000,222.000
PG,Kay Felder,3000,Cle@Por 10:30PM ET,10.175,Cle,0,0,12.464,4.312,6.375,5.500,11.000,18.000,0.175,-5.000,222.000
SG,James Jones,3000,Cle@Por 10:30PM ET,4.545,Cle,0,0,6.143,1.536,3.688,0.000,10.000,18.000,0.010,-5.000,222.000
SF/PF,Richard Jefferson,3000,Cle@Por 10:30PM ET,10.061,Cle,0,0,5.893,6.060,4.562,0.250,23.500,18.000,0.105,-5.000,222.000
SF,Pat Connaughton,3000,Cle@Por 10:30PM ET,2.971,Por,1,0,2.583,0.778,2.125,1.500,27.000,18.000,0.001,5.000,222.000
PF/C,Meyers Leonard,3000,Cle@Por 10:30PM ET,11.451,Por,1,0,16.286,4.987,7.625,1.250,10.000,18.000,0.236,5.000,222.000
PF,Jake Layman,3000,Cle@Por 10:30PM ET,4.525,Por,1,0,1.571,1.411,1.625,5.500,14.000,18.000,0.025,5.000,222.000
PF,Noah Vonleh,3000,Cle@Por 10:30PM ET,8.265,Por,1,0,9.464,3.934,3.312,0.000,14.000,18.000,0.059,5.000,222.000
C,Chris Andersen,3000,Cle@Por 10:30PM ET,7.979,Cle,0,1,7.688,4.607,8.312,11.000,28.000,18.000,0.035,-5.000,222.000
C,Festus Ezeli,3000,Cle@Por 10:30PM ET,0.000,Por,1,1,0.000,0.000,0.000,0.000,6.000,18.000,0.000,5.000,222.000
C,Ed Davis,3000,Cle@Por 10:30PM ET,13.007,Por,1,0,13.393,6.556,10.312,20.000,6.000,18.000,0.256,5.000,222.000
