Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,LastGame,dvp,value,fvalue,odds,O/U,penalty,Final,NN,RF
PF/C,Karl-Anthony Towns,10800,Orl@Min 08:00PM ET,47.064,Min,1,0,58.857,38.713,56.938,66.250,14.500,64.800,0.070,0.000,210.500,-0.237,0.000,57.957,55.875
SF,LeBron James,10000,Cle@Dal 08:30PM ET,52.140,Cle,0,0,48.286,43.750,59.375,57.000,3.500,60.000,0.235,0.000,208.000,-27.699,0.000,54.892,51.270
PG,Isaiah Thomas,9400,Det@Bos 08:00PM ET,44.424,Bos,1,0,50.750,36.978,52.000,56.250,25.500,56.400,0.108,0.000,215.000,2.964,0.000,52.196,51.697
PG,Eric Bledsoe,9000,Mem@Pho 10:30PM ET,40.202,Pho,1,0,44.500,29.815,51.062,64.500,8.000,54.000,0.139,3.500,208.500,-1.660,0.000,46.676,47.405
PG,Kyrie Irving,8200,Cle@Dal 08:30PM ET,40.439,Cle,0,0,38.714,32.250,50.500,51.250,1.000,49.200,0.218,0.000,208.000,-34.168,0.000,43.036,49.947
PF/C,Kevin Love,8000,Cle@Dal 08:30PM ET,40.043,Cle,0,1,33.857,32.022,38.875,12.500,6.750,48.000,0.253,0.000,208.000,-14.036,0.000,43.104,45.510
C,Marc Gasol,7800,Mem@Pho 10:30PM ET,39.527,Mem,0,0,40.357,29.393,49.625,33.500,24.000,46.800,0.269,0.000,208.500,-1.660,0.000,41.607,43.717
C,Andre Drummond,7700,Det@Bos 08:00PM ET,38.636,Det,0,0,46.857,30.050,38.562,54.500,21.500,46.200,0.258,6.000,215.000,0.964,0.000,43.011,39.300
PG,Goran Dragic,7600,Bkn@Mia 07:30PM ET,35.881,Mia,1,0,36.321,28.696,41.125,33.500,30.000,45.600,0.180,0.000,218.000,5.099,0.000,41.489,39.383
C,Hassan Whiteside,7500,Bkn@Mia 07:30PM ET,40.587,Mia,1,0,33.643,29.284,28.188,27.000,29.500,45.000,0.374,0.000,218.000,5.099,0.000,42.043,37.617
SF,Andrew Wiggins,7200,Orl@Min 08:00PM ET,32.739,Min,1,0,31.179,23.727,38.250,36.250,23.000,43.200,0.176,0.000,210.500,-0.237,0.000,37.486,40.703
PG,Ricky Rubio,7100,Orl@Min 08:00PM ET,28.055,Min,1,0,34.429,20.391,26.438,27.750,17.000,42.600,0.088,0.000,210.500,-0.237,0.000,37.379,36.605
C,Al Horford,7000,Det@Bos 08:00PM ET,36.471,Bos,1,1,38.750,30.013,37.562,47.750,5.000,42.000,0.269,0.000,215.000,-9.036,0.000,38.875,41.735
SG/SF,Dion Waiters,7000,Bkn@Mia 07:30PM ET,27.205,Mia,1,0,36.250,15.583,37.625,29.750,30.000,42.000,0.119,0.000,218.000,5.099,0.000,35.071,34.082
PG,Mike Conley,7000,Mem@Pho 10:30PM ET,36.142,Mem,0,0,41.429,28.053,32.438,36.750,25.500,42.000,0.282,0.000,208.500,-1.660,0.000,38.932,41.023
SG,Devin Booker,7000,Mem@Pho 10:30PM ET,30.815,Pho,1,0,37.786,23.323,33.625,33.500,8.000,42.000,0.127,3.500,208.500,-1.660,0.000,37.839,37.057
PG,Elfrid Payton,6700,Orl@Min 08:00PM ET,29.173,Orl,0,0,34.071,20.464,33.500,35.500,22.000,40.200,0.188,9.500,210.500,-2.237,0.000,35.157,35.783
SG,Zach LaVine,6700,Orl@Min 08:00PM ET,30.716,Min,1,0,29.750,21.900,27.500,37.500,24.500,40.200,0.177,0.000,210.500,-0.237,0.000,35.669,36.512
C,Brook Lopez,6500,Bkn@Mia 07:30PM ET,35.232,Bkn,0,0,36.464,27.511,36.625,40.250,17.000,39.000,0.357,8.500,218.000,3.099,0.000,36.897,34.218
C,Nikola Vucevic,6400,Orl@Min 08:00PM ET,34.163,Orl,0,0,38.821,26.019,36.062,57.000,16.000,38.400,0.352,9.500,210.500,-2.237,0.000,35.705,39.285
PG,Reggie Jackson,6300,Det@Bos 08:00PM ET,29.750,Det,0,0,28.643,22.429,37.125,36.250,24.000,37.800,0.204,6.000,215.000,0.964,0.000,34.081,32.325
SF/PF,Harrison Barnes,6300,Cle@Dal 08:30PM ET,31.261,Dal,1,0,29.393,24.330,28.562,26.250,20.500,37.800,0.212,4.500,208.000,-2.016,0.000,35.164,38.150
SF,Jae Crowder,6100,Det@Bos 08:00PM ET,27.526,Bos,1,0,33.214,21.663,38.625,37.500,3.500,36.600,0.126,0.000,215.000,-9.893,0.000,32.507,32.300
PF/C,Serge Ibaka,6000,Orl@Min 08:00PM ET,29.656,Orl,0,0,25.321,21.810,21.875,23.250,11.750,36.000,0.266,9.500,210.500,-12.438,0.000,32.905,34.123
C,Tyson Chandler,5900,Mem@Pho 10:30PM ET,26.961,Pho,1,0,35.857,17.944,33.250,36.250,1.000,35.400,0.205,3.500,208.500,-21.660,0.000,30.765,31.238
PF,James Johnson,5800,Bkn@Mia 07:30PM ET,25.657,Mia,1,0,29.429,16.368,27.938,41.500,30.000,34.800,0.179,0.000,218.000,5.099,0.000,30.905,30.362
PF/C,Zach Randolph,5800,Mem@Pho 10:30PM ET,28.577,Mem,0,0,33.000,23.470,34.000,42.250,22.500,34.800,0.227,0.000,208.500,-1.660,0.000,31.730,35.347
PF/C,Gorgui Dieng,5700,Orl@Min 08:00PM ET,27.112,Min,1,0,21.429,19.238,28.312,35.000,14.500,34.200,0.210,0.000,210.500,-0.237,0.000,29.879,29.950
SG,Avery Bradley,5600,Det@Bos 08:00PM ET,33.458,Bos,1,1,29.429,26.044,29.125,16.750,6.500,33.600,0.494,0.000,215.000,-6.189,0.000,31.240,34.355
SF/PF,Tobias Harris,5600,Det@Bos 08:00PM ET,28.234,Det,0,0,29.071,20.443,26.500,20.000,18.000,33.600,0.269,6.000,215.000,0.964,0.000,31.303,33.502
PG/SG,Marcus Smart,5500,Det@Bos 08:00PM ET,25.006,Bos,1,0,28.107,20.185,26.312,21.500,16.000,33.000,0.152,0.000,215.000,2.964,0.000,30.317,30.660
SG,Kentavious Caldwell-Pope,5500,Det@Bos 08:00PM ET,26.411,Det,0,0,23.429,16.038,19.750,8.500,13.000,33.000,0.286,6.000,215.000,-10.652,0.000,29.391,32.157
PG,Deron Williams,5500,Cle@Dal 08:30PM ET,28.453,Dal,1,1,29.107,20.000,26.125,18.000,23.000,33.000,0.308,4.500,208.000,-11.058,0.000,30.191,32.060
SF,Marcus Morris,5400,Det@Bos 08:00PM ET,24.652,Det,0,0,24.143,17.630,31.500,20.500,13.000,32.400,0.205,6.000,215.000,0.964,0.000,28.715,28.842
SG,Evan Fournier,5300,Orl@Min 08:00PM ET,27.068,Orl,0,1,28.071,20.125,22.938,19.250,5.000,31.800,0.333,9.500,210.500,-14.237,0.000,29.051,30.113
SG,Seth Curry,5300,Cle@Dal 08:30PM ET,21.076,Dal,1,0,19.679,15.156,31.500,48.500,28.000,31.800,0.125,4.500,208.000,-2.016,0.000,26.852,29.595
SF/PF,Aaron Gordon,5200,Orl@Min 08:00PM ET,22.658,Orl,0,0,24.214,15.462,19.938,12.750,6.750,31.200,0.185,9.500,210.500,-2.237,0.000,27.540,29.975
C,Willie Reed,5100,Bkn@Mia 07:30PM ET,14.269,Mia,1,0,13.571,7.896,21.562,13.750,29.500,30.600,0.078,0.000,218.000,5.099,0.000,23.520,23.993
PF/C,Dirk Nowitzki,5100,Cle@Dal 08:30PM ET,25.940,Dal,1,0,26.000,19.068,27.562,37.000,10.000,30.600,0.299,4.500,208.000,-2.016,0.000,27.263,26.700
PG,Jeremy Lin,5000,Bkn@Mia 07:30PM ET,30.146,Bkn,0,1,27.929,25.472,29.125,26.500,7.000,30.000,0.506,8.500,218.000,3.099,0.000,28.799,31.243
PG,Tyler Johnson,5000,Bkn@Mia 07:30PM ET,28.488,Mia,1,1,30.179,22.038,31.938,31.000,30.000,30.000,0.425,0.000,218.000,5.099,0.000,28.386,30.878
SG,Tony Allen,4700,Mem@Pho 10:30PM ET,22.399,Mem,0,0,23.143,15.859,20.875,16.500,15.000,28.200,0.256,0.000,208.500,-1.660,0.000,23.878,24.997
C,Tristan Thompson,4600,Cle@Dal 08:30PM ET,24.380,Cle,0,0,23.107,18.077,28.438,52.500,9.500,27.600,0.362,0.000,208.000,-10.490,0.000,23.930,22.632
SF,Wayne Ellington,4500,Bkn@Mia 07:30PM ET,19.116,Mia,1,0,20.321,12.050,27.812,26.000,30.000,27.000,0.204,0.000,218.000,5.099,0.000,23.391,26.457
PF,Trevor Booker,4500,Bkn@Mia 07:30PM ET,27.161,Bkn,0,0,22.357,19.707,16.625,13.250,7.500,27.000,0.507,8.500,218.000,-6.347,0.000,25.833,18.083
