Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,LastGame,dvp,value,fvalue,odds,O/U,penalty,Final,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10
PF/C,Anthony Davis,11800,NO@Bkn 07:30PM ET,55.426,NO,0,1,48.036,42.222,59.750,73.500,29.500,70.800,0.181,2.500,214.500,0.000,0.000,73.500,63.500,51.000,51.000,51.500,37.750,56.500,68.000,61.500,59.000,19.000
SF,Kevin Durant,9700,Det@GS 10:30PM ET,49.788,GS,1,0,46.786,40.903,52.062,44.500,3.000,58.200,0.206,-13.500,218.500,0.000,48.000,48.000,44.500,56.250,54.750,52.750,31.250,51.250,63.750,65.750,46.000,56.250
SG/SF,Jimmy Butler,9300,Chi@NY 08:00PM ET,44.053,Chi,0,1,39.679,34.477,52.250,13.500,20.000,55.800,0.206,3.000,207.500,0.000,0.000,13.500,67.500,43.000,85.000,50.250,39.000,67.000,33.250,32.250,39.000,40.750
PG,Stephen Curry,8800,Det@GS 10:30PM ET,43.218,GS,1,0,45.107,36.798,52.750,52.000,25.000,52.800,0.141,-13.500,218.500,0.000,44.500,44.500,52.000,48.500,57.250,53.250,33.250,29.500,47.750,28.750,44.750,38.500
SF,Kawhi Leonard,8600,LAL@SA 08:30PM ET,41.528,SA,1,0,42.250,32.417,43.062,54.250,28.000,51.600,0.148,-14.000,212.000,0.000,42.000,42.000,54.250,28.500,44.000,45.500,25.000,55.000,43.250,50.250,39.750,20.000
PF/C,Draymond Green,7600,Det@GS 10:30PM ET,39.514,GS,1,0,40.893,34.050,38.062,39.250,8.500,45.600,0.232,-13.500,218.500,0.000,36.250,36.250,39.250,39.250,31.500,42.250,49.500,32.500,45.000,26.000,38.250,46.250
C,Andre Drummond,7500,Det@GS 10:30PM ET,38.667,Det,0,0,37.607,29.762,44.750,44.500,20.500,45.000,0.298,13.500,218.500,0.000,31.000,31.000,44.500,58.500,28.000,48.000,55.500,37.750,28.750,43.250,33.750,39.750
SF,Carmelo Anthony,7300,Chi@NY 08:00PM ET,37.158,NY,1,0,39.107,27.925,37.125,40.500,12.500,43.800,0.296,-3.000,207.500,0.000,45.750,45.750,40.500,27.500,27.500,53.000,60.750,39.750,12.250,48.750,17.750,44.750
PF,Kristaps Porzingis,7200,Chi@NY 08:00PM ET,36.826,NY,1,0,32.143,27.819,27.625,18.500,18.000,43.200,0.292,-3.000,207.500,0.000,0.000,18.500,18.500,35.000,38.500,50.000,43.000,50.500,24.000,39.000,41.000,13.250
PF/C,LaMarcus Aldridge,7100,LAL@SA 08:30PM ET,33.154,SA,1,0,35.714,25.056,42.812,36.750,28.250,42.600,0.183,-14.000,212.000,0.000,20.500,20.500,36.750,38.500,42.750,53.250,17.500,44.000,45.250,52.000,18.000,40.500
PG,Eric Bledsoe,7100,Dal@Pho 10:00PM ET,38.559,Pho,1,0,42.893,29.462,44.375,52.000,1.000,42.600,0.365,2.000,207.500,0.000,28.000,28.000,52.000,38.000,37.500,50.000,41.500,51.250,19.500,41.500,49.500,27.500
PG,Jrue Holiday,7000,NO@Bkn 07:30PM ET,32.323,NO,0,0,28.464,26.839,30.812,26.000,29.000,42.000,0.106,2.500,214.500,0.000,37.250,37.250,26.000,25.250,30.000,42.000,40.500,32.000,28.750,37.500,46.000,30.500
PG,Reggie Jackson,6900,Det@GS 10:30PM ET,29.684,Det,0,0,29.714,23.000,39.938,25.500,14.500,41.400,0.122,13.500,218.500,0.000,22.000,22.000,25.500,40.750,41.250,52.250,37.000,38.000,29.250,23.250,29.250,29.750
SG,Dwyane Wade,6800,Chi@NY 08:00PM ET,33.129,Chi,0,1,33.964,25.328,31.688,38.500,26.000,40.800,0.205,3.000,207.500,0.000,32.250,32.250,38.500,39.000,24.500,24.750,33.000,23.000,39.250,39.250,27.250,30.750
SF/PF,Harrison Barnes,6700,Dal@Pho 10:00PM ET,31.862,Dal,0,0,32.929,24.868,36.062,35.500,22.250,40.200,0.154,-2.000,207.500,0.000,41.000,41.000,35.500,31.000,33.500,44.250,37.250,35.750,26.750,24.750,35.500,36.750
PF/C,Julius Randle,6600,LAL@SA 08:30PM ET,32.243,LAL,0,0,29.929,24.188,32.750,22.000,2.500,39.600,0.252,14.000,212.000,0.000,39.000,39.000,22.000,41.250,31.000,36.750,58.500,44.250,25.500,47.500,37.750,30.000
SG,Klay Thompson,6500,Det@GS 10:30PM ET,31.974,GS,1,1,31.964,25.087,30.125,26.500,8.500,39.000,0.240,-13.500,218.500,0.000,36.750,36.750,26.500,28.500,28.750,36.750,42.500,39.000,33.500,25.750,41.750,26.750
C,Brook Lopez,6400,NO@Bkn 07:30PM ET,34.610,Bkn,1,0,33.107,27.184,27.812,32.000,20.500,38.400,0.362,-2.500,214.500,0.000,33.500,33.500,32.000,36.000,17.750,25.500,29.000,26.750,43.750,40.250,24.750,44.000
SF/PF,Tobias Harris,6300,Det@GS 10:30PM ET,28.381,Det,0,0,25.929,20.592,32.188,31.250,10.000,37.800,0.147,13.500,218.500,0.000,29.000,29.000,31.250,32.750,32.500,32.250,33.750,25.750,42.500,35.500,37.750,22.500
