Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,LastGame,dvp,value,fvalue,odds,O/U,penalty,Final,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10
PF,Bobby Portis,3000,Mil@Chi 07:00PM ET,9.557,Chi,1,0,9.107,5.554,8.875,0.750,16.500,18.000,0.105,-3.000,204.000,0.000,0.000,0.000,0.750,2.250,20.500,12.000,8.250,11.250,8.000,16.750,1.250,8.500
PF,Thon Maker,3000,Mil@Chi 07:00PM ET,4.308,Mil,0,0,3.500,1.250,5.062,0.000,18.000,18.000,0.006,3.000,204.000,0.000,3.500,3.500,0.000,2.000,7.500,10.750,3.500,6.250,0.000,2.000,5.250,0.000
C,Miles Plumlee,3000,Mil@Chi 07:00PM ET,6.489,Mil,0,0,1.607,2.058,3.250,1.500,8.500,18.000,0.044,3.000,204.000,0.000,0.000,1.500,2.000,3.000,6.500,0.250,-0.500,0.000,0.000,1.500,13.750,8.500
C,Cristiano Felicio,3000,Mil@Chi 07:00PM ET,11.230,Chi,1,0,12.786,6.135,16.625,33.500,13.000,18.000,0.176,-3.000,204.000,0.000,13.500,13.500,33.500,14.750,4.500,13.750,7.500,11.750,21.750,8.250,16.500,11.750
PG,Mo Williams,3000,Cle@Cha 07:00PM ET,0.000,Cle,0,0,0.000,0.000,0.000,0.000,14.500,18.000,0.000,-1.000,210.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PG,Brian Roberts,3000,Cle@Cha 07:00PM ET,3.656,Cha,1,0,2.800,0.562,5.250,5.000,22.000,18.000,0.012,1.000,210.500,0.000,-0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PG,Aaron Harrison,3000,Cle@Cha 07:00PM ET,1.625,Cha,1,0,1.333,0.625,1.625,1.250,22.000,18.000,0.024,1.000,210.500,0.000,2.750,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PG,Kay Felder,3000,Cle@Cha 07:00PM ET,9.911,Cle,0,0,12.958,4.778,16.938,19.250,14.500,18.000,0.168,-1.000,210.500,0.000,23.000,23.000,19.250,20.250,0.000,28.250,7.000,9.000,8.000,3.750,3.000,13.250
SG,James Jones,3000,Cle@Cha 07:00PM ET,4.736,Cle,0,0,7.929,1.792,2.062,3.250,20.500,18.000,0.014,-1.000,210.500,0.000,0.000,0.000,3.250,2.750,1.250,1.000,19.250,0.000,2.000,12.500,3.750,7.000
SG,DeAndre Liggins,3000,Cle@Cha 07:00PM ET,8.413,Cle,0,0,9.179,2.432,6.438,10.500,20.500,18.000,0.082,-1.000,210.500,0.000,12.500,12.500,10.500,2.250,8.000,5.000,12.000,12.000,2.750,18.750,21.250,2.000
SG,Jordan McRae,3000,Cle@Cha 07:00PM ET,7.132,Cle,0,0,9.450,2.062,8.562,11.000,20.500,18.000,0.026,-1.000,210.500,0.000,28.000,28.000,11.000,10.000,13.250,0.000,11.500,4.750,0.000,7.000,8.250,13.250
SF,Mike Dunleavy,3000,Cle@Cha 07:00PM ET,9.293,Cle,0,0,8.964,5.077,11.562,0.750,22.000,18.000,0.089,-1.000,210.500,0.000,0.000,0.750,14.500,20.500,10.500,5.000,21.500,9.500,7.500,1.500,9.250,3.500
SF,Treveon Graham,3000,Cle@Cha 07:00PM ET,4.107,Cha,1,0,4.250,0.750,3.500,1.000,27.000,18.000,0.013,1.000,210.500,0.000,5.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PF/C,Spencer Hawes,3000,Cle@Cha 07:00PM ET,15.804,Cha,1,0,16.571,8.583,7.688,12.250,10.000,18.000,0.406,1.000,210.500,0.000,1.500,1.500,12.250,6.250,4.250,8.000,13.000,16.250,12.000,15.750,12.250,0.000
PF,Christian Wood,3000,Cle@Cha 07:00PM ET,2.500,Cha,1,0,0.000,0.000,0.000,,14.000,18.000,,1.000,210.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
C,Chris Andersen,3000,Cle@Cha 07:00PM ET,7.979,Cle,0,0,7.688,4.607,8.312,11.000,24.500,18.000,0.035,-1.000,210.500,0.000,0.000,11.000,0.000,15.000,7.250,3.250,7.250,15.000,5.250,10.500,5.250,12.000
