Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,LastGame,dvp,value,fvalue,odds,O/U,penalty,Final,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10
PG,Russell Westbrook,12500,Min@OKC 08:00PM ET,65.117,OKC,1,0,69.500,54.533,76.062,82.250,20.000,75.000,0.236,-4.000,212.000,0.000,65.750,65.750,82.250,67.500,73.250,81.250,42.500,35.500,64.000,61.000,74.250,69.750
SF,LeBron James,10300,GS@Cle 02:30PM ET,51.856,Cle,1,0,50.964,42.786,53.188,39.750,10.000,61.800,0.212,3.500,219.500,0.000,60.250,60.250,39.750,50.250,66.500,56.250,45.500,79.750,54.000,47.500,59.000,50.750
SF,Kevin Durant,9500,GS@Cle 02:30PM ET,49.081,GS,0,0,43.179,40.733,48.062,46.000,27.000,57.000,0.217,-3.500,219.500,0.000,65.750,65.750,46.000,56.250,29.250,60.750,49.500,37.000,39.500,37.250,47.250,39.000
PG,Chris Paul,9300,LAC@LAL 10:30PM ET,44.017,LAC,0,0,42.393,36.309,40.938,39.500,28.000,55.800,0.141,-2.500,209.500,0.000,0.000,39.500,51.500,40.500,32.250,37.500,54.250,65.250,31.500,39.000,49.500,40.500
PG,Stephen Curry,8500,GS@Cle 02:30PM ET,43.032,GS,0,0,41.643,37.847,39.688,44.750,22.000,51.000,0.169,-3.500,219.500,0.000,28.750,28.750,44.750,38.500,42.750,32.750,34.000,49.000,43.500,31.000,39.250,45.500
PF/C,Karl-Anthony Towns,8300,Min@OKC 08:00PM ET,44.543,Min,0,0,43.179,37.597,54.375,45.250,13.500,49.800,0.332,4.000,212.000,0.000,34.500,34.500,45.250,47.500,55.250,69.500,42.000,52.000,31.500,34.750,39.500,53.750
PF/C,Kevin Love,8200,GS@Cle 02:30PM ET,42.270,Cle,1,0,45.714,34.411,46.688,36.750,15.250,49.200,0.258,3.500,219.500,0.000,35.500,35.500,36.750,58.250,55.750,36.000,56.750,32.750,49.000,34.750,20.500,36.250
PG,Isaiah Thomas,8100,Bos@NY 12:00PM ET,41.942,Bos,0,0,44.179,35.950,49.250,53.500,13.000,48.600,0.227,-2.000,210.000,0.000,37.250,37.250,53.500,43.750,65.750,34.000,37.250,31.500,54.500,37.750,33.500,44.500
PF/C,Draymond Green,8000,GS@Cle 02:30PM ET,39.888,GS,0,0,39.357,35.069,39.312,38.250,10.000,48.000,0.173,-3.500,219.500,0.000,26.000,26.000,38.250,46.250,40.500,32.250,59.000,35.750,19.250,48.500,39.250,32.750
PF/C,Blake Griffin,7900,LAC@LAL 10:30PM ET,41.942,LAC,0,0,38.143,35.625,41.750,46.250,28.250,47.400,0.259,-2.500,209.500,0.000,0.000,46.250,35.500,34.250,51.000,24.750,57.500,43.750,37.750,30.250,39.250,32.500
SF,Kawhi Leonard,7800,Chi@SA 05:00PM ET,41.492,SA,1,0,37.929,33.288,38.312,43.250,12.500,46.800,0.277,-8.500,199.000,0.000,55.000,55.000,43.250,50.250,39.750,20.000,42.000,43.250,49.250,43.000,42.750,35.750
PG,Kyrie Irving,7700,GS@Cle 02:30PM ET,38.481,Cle,1,0,39.464,31.042,51.000,47.750,14.500,46.200,0.201,3.500,219.500,0.000,63.000,63.000,47.750,60.000,42.250,54.000,23.000,28.750,41.750,35.000,40.500,32.000
SF,Carmelo Anthony,7600,Bos@NY 12:00PM ET,37.196,NY,1,0,40.071,29.594,38.000,31.000,12.500,45.600,0.228,2.000,210.000,0.000,44.750,44.750,31.000,53.500,39.500,28.000,34.250,52.250,16.500,44.750,28.000,47.750
SG/SF,Jimmy Butler,7500,Chi@SA 05:00PM ET,42.759,Chi,0,0,45.214,34.067,35.688,39.000,10.500,45.000,0.421,8.500,199.000,0.000,32.250,32.250,39.000,40.750,36.250,26.750,32.750,54.750,50.750,35.250,46.000,48.250
C,DeAndre Jordan,7400,LAC@LAL 10:30PM ET,33.387,LAC,0,0,39.714,28.167,33.875,32.250,30.000,44.400,0.096,-2.500,209.500,0.000,26.500,26.500,32.250,28.250,35.750,39.250,43.250,48.750,37.000,31.250,30.500,34.250
PF,Kristaps Porzingis,7200,Bos@NY 12:00PM ET,36.940,NY,1,0,34.036,28.583,29.312,24.000,23.000,43.200,0.293,2.000,210.000,0.000,50.500,50.500,24.000,39.000,41.000,13.250,57.000,63.750,34.750,20.250,32.500,46.000
PF/C,LaMarcus Aldridge,6800,Chi@SA 05:00PM ET,31.454,SA,1,0,29.500,24.700,36.250,52.000,13.250,40.800,0.169,-8.500,199.000,0.000,45.250,45.250,52.000,18.000,40.500,34.500,25.250,29.250,28.000,13.000,41.250,27.750
SF,Andrew Wiggins,6600,Min@OKC 08:00PM ET,32.034,Min,0,0,34.000,20.917,31.062,17.500,7.000,39.600,0.268,4.000,212.000,0.000,33.250,33.250,17.500,32.250,39.000,35.500,43.250,33.250,18.500,33.500,18.250,41.250
SG,Klay Thompson,6500,GS@Cle 02:30PM ET,31.597,GS,0,0,29.571,24.588,28.938,25.750,28.000,39.000,0.244,-3.500,219.500,0.000,33.500,33.500,25.750,41.750,26.750,21.500,40.250,29.250,45.500,11.250,19.000,34.500
C,Al Horford,6500,Bos@NY 12:00PM ET,37.588,Bos,0,0,35.821,29.325,38.250,43.000,22.000,39.000,0.439,-2.000,210.000,0.000,41.750,41.750,43.000,24.750,42.000,43.250,48.500,24.750,36.000,38.250,33.500,46.500
SG,Zach LaVine,6400,Min@OKC 08:00PM ET,32.634,Min,0,0,34.000,25.953,39.750,55.000,12.000,38.400,0.291,4.000,212.000,0.000,22.250,22.250,55.000,31.500,37.500,35.000,42.000,36.750,25.750,41.500,32.250,31.500
SG,Dwyane Wade,6200,Chi@SA 05:00PM ET,33.398,Chi,0,0,35.393,25.635,26.438,27.250,19.000,37.200,0.346,8.500,199.000,0.000,39.250,39.250,27.250,30.750,25.500,22.250,34.750,35.750,40.750,36.750,35.750,48.000
PG,Derrick Rose,6100,Bos@NY 12:00PM ET,29.740,NY,1,0,36.286,21.045,26.562,30.250,24.000,36.600,0.255,2.000,210.000,0.000,34.250,34.250,30.250,40.000,3.250,32.750,20.500,34.500,39.250,15.500,44.250,48.000
SG,Avery Bradley,6000,Bos@NY 12:00PM ET,33.883,Bos,0,0,34.036,27.467,26.938,25.000,26.000,36.000,0.404,-2.000,210.000,0.000,27.500,27.500,25.000,26.250,28.250,28.250,26.250,54.000,31.000,28.750,37.500,33.000
C,Pau Gasol,6000,Chi@SA 05:00PM ET,29.223,SA,1,0,32.714,21.650,33.875,38.750,8.500,36.000,0.262,-8.500,199.000,0.000,24.750,24.750,38.750,30.000,34.000,32.750,50.250,28.250,33.500,21.750,29.750,42.000
