team,odds,overUnder
MIA,-10.000,195.500
PHI,10.000,195.500
BKN,-3.000,194.000
CLE,3.000,194.000
BOS,8.000,190.000
TOR,-8.000,190.000
WAS,2.500,189.000
DET,-2.500,189.000
MIL,8.000,196.500
NY,-8.000,196.500
CHA,13.000,201.000
HOU,-13.000,201.000
ORL,10.500,199.500
MIN,-10.500,199.500
IND,1.000,187.500
NO,-1.000,187.500
ATL,6.000,196.000
DAL,-6.000,196.000
MEM,6.000,189.000
SA,-6.000,189.000
OKC,-6.500,191.500
UTA,6.500,191.500
POR,-5.500,197.500
PHO,5.500,197.500
DEN,2.500,203.500
SAC,-2.500,203.500
LAL,12.000,206.500
GS,-12.000,206.500
