team,odds,overUnder
WAS,-3.000,205.000
BKN,3.000,205.000
TOR,-3.000,193.000
MIL,3.000,193.000
HOU,-1.500,209.500
NO,1.500,209.500
MEM,2.500,192.000
CHA,-2.500,192.000
MIA,5.000,193.000
ORL,-5.000,193.000
BOS,-1.500,204.000
DET,1.500,204.000
NY,7.500,203.000
ATL,-7.500,203.000
IND,-4.000,206.000
MIN,4.000,206.000
CHI,2.500,200.500
DAL,-2.500,200.500
DEN,14.500,194.500
SA,-14.500,194.500
PHI,11.500,205.000
PHO,-11.500,205.000
LAC,-2.000,192.500
UTA,2.000,192.500
CLE,-7.500,195.500
POR,7.500,195.500
