team,odds,overUnder
BOS,8.500,200.500
WAS,-8.500,200.500
BKN,2.500,195.500
NY,-2.500,195.500
DET,10.500,191.000
IND,-10.500,191.000
HOU,2.000,202.500
TOR,-2.000,202.500
CLE,-2.000,197.000
ORL,2.000,197.000
CHA,-8.500,205.000
PHI,8.500,205.000
CHI,-2.000,183.500
ATL,2.000,183.500
MIL,13.000,195.000
MIA,-13.000,195.000
MEM,-4.500,198.000
MIN,4.500,198.000
GS,9.500,201.000
SA,-9.500,201.000
NO,3.500,209.000
DEN,-3.500,209.000
LAC,2.500,212.000
PHO,-2.500,212.000
LAL,8.000,218.500
SAC,-8.000,218.500
