team,odds,overUnder
CHA,7.500,192.000
WAS,-7.500,192.000
NY,-4.000,196.000
CLE,4.000,196.000
BKN,11.500,192.000
PHI,-11.500,192.000
MIA,-8.500,187.000
DET,8.500,187.000
IND,8.500,187.000
CHI,-8.500,187.000
NO,11.500,186.500
OKC,-11.500,186.500
MIL,4.500,190.000
HOU,-4.500,190.000
ATL,4.500,189.000
SA,-4.500,189.000
MIN,5.500,182.500
DAL,-5.500,182.500
TOR,10.000,188.000
UTA,-10.000,188.000
DEN,-6.500,205.000
SAC,6.500,205.000
POR,3.500,192.500
GS,-3.500,192.500
LAC,4.000,186.500
LAL,-4.000,186.500
