team,odds,overUnder
WAS,3.000,208.500
CHA,-3.000,208.500
BKN,11.000,228.000
CLE,-11.000,228.000
POR,4.000,211.000
PHI,-4.000,211.000
LAC,-3.000,209.000
ATL,3.000,209.000
TOR,-4.000,210.500
NY,4.000,210.500
BOS,-1.500,196.000
MIA,1.500,196.000
ORL,7.000,217.000
MIN,-7.000,217.000
GS,-5.500,222.000
OKC,5.500,222.000
DEN,9.000,223.000
HOU,-9.000,223.000
DAL,5.500,199.500
MEM,-5.500,199.500
SA,1.000,207.000
NO,-1.000,207.000
CHI,8.500,195.500
UTA,-8.500,195.500
MIL,-2.000,218.500
PHO,2.000,218.500
LAL,1.000,206.000
SAC,-1.000,206.000
