team,odds,overUnder
NY,3.000,193.500
BOS,-3.000,193.500
ATL,1.500,191.500
CHA,-1.500,191.500
MIA,4.500,196.500
TOR,-4.500,196.500
DET,4.500,205.000
PHI,-4.500,205.000
IND,5.500,193.000
ORL,-5.500,193.000
BKN,14.500,193.000
CHI,-14.500,193.000
WAS,5.000,211.000
CLE,-5.000,211.000
MIL,9.000,193.000
OKC,-9.000,193.000
HOU,-5.500,221.500
MIN,5.500,221.500
NO,10.500,186.000
DAL,-10.500,186.000
DEN,5.000,210.000
UTA,-5.000,210.000
MEM,7.500,197.000
LAC,-7.500,197.000
POR,5.500,202.500
GS,-5.500,202.500
SA,-3.000,213.000
PHO,3.000,213.000
LAL,-4.000,202.000
SAC,4.000,202.000
