team,odds,overUnder
BKN,13.000,188.500
ORL,-13.000,188.500
SAC,6.500,215.000
IND,-6.500,215.000
MIL,6.500,196.500
NY,-6.500,196.500
PHI,8.000,196.000
MIA,-8.000,196.000
DET,-4.500,197.000
CLE,4.500,197.000
CHA,13.000,178.000
BOS,-13.000,178.000
MIN,16.000,209.000
OKC,-16.000,209.000
MEM,9.000,189.000
CHI,-9.000,189.000
WAS,17.000,216.500
DEN,-17.000,216.500
SA,4.500,192.500
POR,-4.500,192.500
NO,6.500,198.500
PHO,-6.500,198.500
TOR,7.500,219.500
GS,-7.500,219.500
LAC,9.500,198.000
LAL,-9.500,198.000
