team,odds,overUnder
WAS,-7.500,193.500
PHI,7.500,193.500
CLE,2.500,193.500
IND,-2.500,193.500
NY,13.000,192.000
DET,-13.000,192.000
ORL,11.000,195.500
ATL,-11.000,195.500
GS,-2.000,213.000
TOR,2.000,213.000
CHA,2.000,196.000
BOS,-2.000,196.000
LAC,5.000,199.000
MEM,-5.000,199.000
BKN,8.000,208.000
HOU,-8.000,208.000
MIA,-2.000,196.000
NO,2.000,196.000
MIN,5.500,193.500
CHI,-5.500,193.500
UTA,-4.500,194.000
DEN,4.500,194.000
SA,-9.500,202.000
SAC,9.500,202.000
MIL,-6.500,193.000
LAL,6.500,193.000
OKC,6.000,206.500
POR,-6.000,206.500
