overUnder,odds,team
207.500,6.500,MIL
207.500,-6.500,CLE
188.500,6.000,MEM
188.500,-6.000,DET
216.000,4.000,MIN
216.000,-4.000,ATL
209.500,4.000,WAS
209.500,-4.000,CHI
209.000,-2.000,OKC
209.000,2.000,NO
227.500,-6.500,HOU
227.500,6.500,PHO
194.000,8.000,SAC
194.000,-8.000,UTA
210.000,6.000,DAL
210.000,-6.000,POR
