team,odds,overUnder
CLE,2.000,195.000
ORL,-2.000,195.000
PHI,7.000,202.000
TOR,-7.000,202.000
CHA,12.000,183.500
IND,-12.000,183.500
NY,3.000,190.000
BOS,-3.000,190.000
BKN,6.000,198.000
DET,-6.000,198.000
WAS,6.000,194.000
ATL,-6.000,194.000
LAL,12.500,211.000
OKC,-12.500,211.000
MEM,2.500,192.000
NO,-2.500,192.000
MIN,8.000,208.000
SA,-8.000,208.000
CHI,-4.500,177.000
MIL,4.500,177.000
UTA,10.500,201.000
DEN,-10.500,201.000
SAC,6.500,209.000
PHO,-6.500,209.000
HOU,3.500,213.500
GS,-3.500,213.500
