team,odds,overUnder
PHI,7.500,218.000
TOR,-7.500,218.000
ORL,12.000,212.000
WAS,-12.000,212.000
BKN,9.500,215.000
IND,-9.500,215.000
MIL,4.500,207.000
CHA,-4.500,207.000
CHI,8.000,204.500
BOS,-8.000,204.500
DAL,-1.000,203.000
ATL,1.000,203.000
NOP,-3.500,209.000
MIA,3.500,209.000
LAC,2.500,197.500
MEM,-2.500,197.500
OKC,1.500,197.500
UTH,-1.500,197.500
DEN,8.000,217.000
GSW,-8.000,217.000
MIN,-8.000,217.000
PHX,8.000,217.000
POR,3.000,200.500
LAL,-3.000,200.500
SAS,-6.000,196.000
SAC,6.000,196.000
