team,odds,overUnder
CHA,10.500,194.000
TOR,-10.500,194.000
OKC,-14.000,211.500
MIN,14.000,211.500
ATL,5.000,198.000
CHI,-5.000,198.000
POR,6.000,208.500
DAL,-6.000,208.500
UTA,11.500,194.000
HOU,-11.500,194.000
SA,-5.500,193.500
NO,5.500,193.500
WAS,8.000,191.000
CLE,-8.000,191.000
ORL,9.000,203.000
BKN,-9.000,203.000
BOS,5.500,198.000
MIL,-5.500,198.000
DET,-9.000,193.000
NY,9.000,193.000
IND,-2.500,184.500
MEM,2.500,184.500
MIA,2.000,192.500
PHI,-2.000,192.500
DEN,11.500,215.500
GS,-11.500,215.500
SAC,3.000,206.500
LAL,-3.000,206.500
