team,overUnder,odds
POR,218,+8
BOS,218,-8
WAS,208,+1
DET,208,-1
BKN,221.5,+12
CHA,221.5,-12
PHI,198.5,+10
ATL,198.5,-10
PHO,222.5,+5.5
NY,222.5,-5.5
MIL,206,+1.5
MIA,206,-1.5
HOU,215.5,-1.5
MEM,215.5,+1.5
SA,211.5,+2.5
CLE,211.5,-2.5
LAC,222.5,+5
DEN,222.5,-5
IND,200,+7.5
UTA,200,-7.5
SAC,205,+6.5
CHI,205,-6.5
