team,odds,overUnder
CHI,-13.000,179.000
CHA,13.000,179.000
MIL,-8.000,205.000
WAS,8.000,205.000
PHI,-9.000,185.000
CLE,9.000,185.000
DET,9.000,190.500
ATL,-9.000,190.500
NY,-8.000,193.000
BKN,8.000,193.000
TOR,10.000,187.500
MIA,-10.000,187.500
NO,9.500,179.500
MEM,-9.500,179.500
ORL,4.500,178.000
BOS,-4.500,178.000
HOU,4.500,191.500
DAL,-4.500,191.500
LAC,3.000,201.500
DEN,-3.000,201.500
OKC,-4.000,208.500
PHO,4.000,208.500
SA,-5.000,215.500
SAC,5.000,215.500
UTA,-5.000,198.500
POR,5.000,198.500
LAL,-7.000,203.500
GS,7.000,203.500
