team,odds,overUnder
NY,12.500,195.000
CLE,-12.500,195.000
BOS,1.500,204.000
CHA,-1.500,204.000
HOU,1.000,207.500
ORL,-1.000,207.500
MEM,1.000,1.000
WAS,-1.000,1.000
SAC,6.500,215.000
IND,-6.500,215.000
DAL,-3.500,199.000
BKN,3.500,199.000
SA,-10.500,195.000
MIN,10.500,195.000
POR,7.500,203.500
NO,-7.500,203.500
PHI,11.000,196.000
MIL,-11.000,196.000
DET,7.000,200.000
ATL,-7.000,200.000
DEN,9.000,208.000
PHO,-9.000,208.000
UTA,14.000,208.000
GS,-14.000,208.000
OKC,-14.000,207.500
LAL,14.000,207.500
