team,odds,overUnder
BKN,-7.000,199.500
PHI,7.000,199.500
WAS,7.500,201.000
CLE,-7.500,201.000
GS,-8.000,202.500
ORL,8.000,202.500
POR,-6.000,191.500
CHA,6.000,191.500
LAC,-9.000,199.000
DET,9.000,199.000
TOR,-3.500,204.500
ATL,3.500,204.500
NY,14.000,201.500
DAL,-14.000,201.500
MIL,-1.500,206.000
MIN,1.500,206.000
SAC,4.500,193.000
HOU,-4.500,193.000
UTA,4.500,185.000
OKC,-4.500,185.000
IND,13.000,187.000
SA,-13.000,187.000
DEN,7.500,215.500
PHO,-7.500,215.500
MEM,-7.000,203.000
LAL,7.000,203.000
