team,odds,overUnder
DET,2.000,209.000
WAS,-2.000,209.000
DAL,1.500,201.000
ORL,-1.500,201.000
NY,-5.000,199.000
BKN,5.000,199.000
PHI,9.000,204.500
NO,-9.000,204.500
MIA,10.500,197.000
ATL,-10.500,197.000
IND,8.000,215.000
OKC,-8.000,215.000
MIN,4.500,205.500
MEM,-4.500,205.500
TOR,-7.500,200.000
CHI,7.500,200.000
CHA,-1.500,201.500
MIL,1.500,201.500
HOU,-8.000,214.000
PHO,8.000,214.000
DEN,4.000,218.500
SAC,-4.000,218.500
GS,-8.000,225.500
POR,8.000,225.500
SA,-10.000,200.500
LAL,10.000,200.500
BOS,1.000,1.000
UTA,-1.000,1.000
