team,odds,overUnder
WAS,-7.500,194.000
ORL,7.500,194.000
NY,5.000,194.000
TOR,-5.000,194.000
IND,6.000,181.500
MIA,-6.000,181.500
ATL,4.500,199.000
BKN,-4.500,199.000
CHA,-5.000,192.000
BOS,5.000,192.000
NO,15.500,204.500
OKC,-15.500,204.500
HOU,-3.000,216.000
MIN,3.000,216.000
DET,10.500,192.500
CHI,-10.500,192.500
PHI,14.500,201.500
MEM,-14.500,201.500
CLE,-4.500,207.000
MIL,4.500,207.000
PHO,4.000,206.500
SA,-4.000,206.500
POR,-8.500,198.500
UTA,8.500,198.500
GS,-10.000,221.500
LAL,10.000,221.500
