team,odds,overUnder
MIL,5.000,185.000
CHA,-5.000,185.000
SA,-9.000,194.000
ORL,9.000,194.000
MIA,-6.000,196.000
TOR,6.000,196.000
DAL,-1.500,202.500
ATL,1.500,202.500
CLE,4.000,189.500
BOS,-4.000,189.500
LAL,5.500,202.000
DET,-5.500,202.000
BKN,11.000,205.000
HOU,-11.000,205.000
GS,7.500,204.000
OKC,-7.500,204.000
WAS,11.000,186.000
IND,-11.000,186.000
NO,-4.000,209.500
PHI,4.000,209.500
NY,8.000,202.500
DEN,-8.000,202.500
PHO,-2.000,190.500
UTA,2.000,190.500
LAC,-2.500,203.000
SAC,2.500,203.000
