team,odds,overUnder
CHI,4.500,205.000
CHA,-4.500,205.000
LAL,5.000,209.500
ORL,-5.000,209.500
GS,-8.000,214.500
DET,8.000,214.500
BKN,16.500,225.500
CLE,-16.500,225.500
OKC,5.500,211.500
BOS,-5.500,211.500
WAS,3.000,214.500
MIL,-3.000,214.500
MIA,4.500,205.500
NO,-4.500,205.500
HOU,-3.500,205.500
MEM,3.500,205.500
SAC,5.000,206.500
MIN,-5.000,206.500
PHI,6.000,212.500
PHO,-6.000,212.500
ATL,5.500,217.000
DEN,-5.500,217.000
TOR,-1.000,198.500
UTA,1.000,198.500
SA,-2.000,211.500
POR,2.000,211.500
DAL,4.500,194.500
LAC,-4.500,194.500
