team,odds,overUnder
SAC,15.500,220.000
HOU,-15.500,220.000
SA,5.000,187.500
DAL,-5.000,187.500
NO,9.500,212.500
MIN,-9.500,212.500
TOR,-5.500,206.500
BKN,5.500,206.500
ATL,-9.000,209.500
WAS,9.000,209.500
IND,5.000,201.500
MIL,-5.000,201.500
DET,4.000,194.000
CLE,-4.000,194.000
PHI,9.500,210.000
CHI,-9.500,210.000
MIA,4.500,205.000
BOS,-4.500,205.000
ORL,7.500,211.000
CHA,-7.500,211.000
UTA,-3.500,196.000
LAL,3.500,196.000
MEM,17.500,213.500
GS,-17.500,213.500
DEN,9.500,217.000
POR,-9.500,217.000
LAC,5.000,206.000
PHO,-5.000,206.000
