team,odds,overUnder
MIN,8.500,226.500
HOU,-8.500,226.500
DAL,8.500,189.000
MEM,-8.500,189.000
DEN,6.000,224.500
OKC,-6.000,224.500
TOR,-4.000,202.000
CLE,4.000,202.000
ATL,15.000,200.500
IND,-15.000,200.500
MIL,13.500,206.000
BOS,-13.500,206.000
DET,1.500,206.500
ORL,-1.500,206.500
PHI,3.000,209.500
NY,-3.000,209.500
WAS,11.000,206.000
MIA,-11.000,206.000
BKN,14.500,212.500
CHI,-14.500,212.500
SA,4.000,192.000
UTA,-4.000,192.000
NO,6.500,202.500
POR,-6.500,202.500
LAL,13.500,222.500
GS,-13.500,222.500
SAC,18.000,209.500
LAC,-18.000,209.500
