team,odds,overUnder
BOS,6.500,176.500
PHI,-6.500,176.500
HOU,-1.500,188.000
TOR,1.500,188.000
UTA,-7.000,192.500
CHA,7.000,192.500
LAL,-7.000,193.500
WAS,7.000,193.500
ATL,12.500,188.500
MIA,-12.500,188.500
CHI,-7.500,194.500
MIL,7.500,194.500
LAC,-7.000,191.500
BKN,7.000,191.500
POR,-1.000,195.000
MIN,1.000,195.000
PHO,9.500,203.000
OKC,-9.500,203.000
NY,7.500,201.000
SA,-7.500,201.000
CLE,10.000,208.000
DEN,-10.000,208.000
NO,5.000,192.000
SAC,-5.000,192.000
MEM,-1.000,193.000
GS,1.000,193.000
