team,odds,overUnder
PHO,4.000,209.500
ORL,-4.000,209.500
POR,11.500,219.000
CLE,-11.500,219.000
ATL,-1.000,204.500
IND,1.000,204.500
SA,-5.500,201.000
CHA,5.500,201.000
MEM,-6.000,195.500
PHI,6.000,195.500
MIA,5.000,188.500
DET,-5.000,188.500
BOS,-7.500,215.000
BKN,7.500,215.000
TOR,4.000,216.500
HOU,-4.000,216.500
LAC,-10.000,193.000
DAL,10.000,193.000
DEN,7.500,198.500
UTA,-7.500,198.500
MIN,-2.500,210.000
NO,2.500,210.000
OKC,2.000,214.000
SAC,-2.000,214.000
LAL,18.000,230.000
GS,-18.000,230.000
