team,odds,overUnder
DET,4.000,188.000
TOR,-4.000,188.000
BOS,8.500,186.000
OKC,-8.500,186.000
NO,5.000,183.000
CLE,-5.000,183.000
IND,-5.500,190.000
CHA,5.500,190.000
SAC,3.000,203.500
WAS,-3.000,203.500
ATL,7.000,187.000
NY,-7.000,187.000
ORL,-6.500,184.000
BKN,6.500,184.000
PHI,4.000,187.000
HOU,-4.000,187.000
MIL,11.000,189.000
CHI,-11.000,189.000
UTA,5.500,198.000
MIN,-5.500,198.000
GS,4.000,205.500
PHO,-4.000,205.500
LAL,4.500,180.500
DAL,-4.500,180.500
DEN,9.000,199.500
LAC,-9.000,199.500
