team,odds,overUnder
IND,6.000,219.000
CLE,-6.000,219.000
SA,-10.500,207.000
ORL,10.500,207.000
DAL,4.500,200.500
DET,-4.500,200.500
MIL,-5.000,218.500
BKN,5.000,218.500
PHI,10.000,219.000
BOS,-10.000,219.000
CHA,6.000,213.000
TOR,-6.000,213.000
MIA,10.000,224.500
HOU,-10.000,224.500
NO,8.000,205.000
MEM,-8.000,205.000
MIN,6.500,226.000
DEN,-6.500,226.000
LAL,4.000,226.500
PHO,-4.000,226.500
POR,9.000,205.000
UTA,-9.000,205.000
NY,7.500,218.000
OKC,-7.500,218.000
ATL,3.500,213.500
LAC,-3.500,213.500
SAC,19.000,225.500
GS,-19.000,225.500
