Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,dvp,value,LastGame,fvalue,O/U,odds,penalty,Final
SF/PF,Luol Deng,3600,LAL@Uta 10:30PM ET,20.244,LAL,0,0,22.607,13.537,13.125,1.000,21.600,13.000,0.443,201.500,13.000,-9010.071,10.500
SG/SF,Shabazz Muhammad,3500,Ind@Min 08:00PM ET,13.091,Min,1,0,19.679,7.466,21.125,20.500,21.000,22.250,0.143,211.500,-3.000,1.071,12.500
SF,Andre Roberson,3400,Dal@OKC 08:00PM ET,18.478,OKC,1,0,20.750,10.900,16.750,3.000,20.400,22.500,0.405,197.000,-9.000,-9009.286,16.500
SG,Alec Burks,3400,LAL@Uta 10:30PM ET,9.477,Uta,1,0,15.750,2.042,18.250,21.000,20.400,21.000,0.132,201.500,-13.000,-6.071,14.250
PG/SG,Brandon Knight,3300,Pho@Den 09:00PM ET,19.417,Pho,0,0,14.321,12.705,13.875,29.000,19.800,16.000,0.483,230.000,7.000,14.286,25.750
C,Andrew Bogut,3300,Dal@OKC 08:00PM ET,19.435,Dal,0,0,18.750,14.271,13.062,12.000,19.800,15.500,0.477,197.000,9.000,-13.286,8.750
C,Alex Len,3200,Pho@Den 09:00PM ET,20.140,Pho,0,0,15.179,13.159,14.500,18.500,19.200,23.500,0.540,230.000,7.000,14.286,10.750
SG,Monta Ellis,3200,Ind@Min 08:00PM ET,19.271,Ind,0,0,14.857,12.026,16.438,8.000,19.200,13.250,0.503,211.500,3.000,1.071,0.250
C,Al Jefferson,3200,Ind@Min 08:00PM ET,16.313,Ind,0,0,18.536,11.426,23.000,15.000,19.200,18.250,0.353,211.500,3.000,1.071,16.000
PF,Marquese Chriss,3100,Pho@Den 09:00PM ET,14.494,Pho,0,0,14.179,9.370,16.625,8.500,18.600,12.000,0.294,230.000,7.000,14.286,9.000
PF,Dwight Powell,3100,Dal@OKC 08:00PM ET,17.439,Dal,0,0,15.714,11.490,15.312,16.500,18.600,5.750,0.441,197.000,9.000,-21.072,11.250
SG/SF,Joe Johnson,3100,LAL@Uta 10:30PM ET,15.342,Uta,1,0,7.464,8.102,13.500,24.500,18.600,11.500,0.353,201.500,-13.000,-6.071,9.500
SF/PF,Larry Nance Jr.,3100,LAL@Uta 10:30PM ET,18.683,LAL,0,0,16.536,12.094,14.688,1.000,18.600,15.750,0.504,201.500,13.000,-9010.071,16.250
PG/SG,Leandro Barbosa,3000,Pho@Den 09:00PM ET,10.125,Pho,0,0,11.500,4.107,4.562,29.000,18.000,2.750,0.155,230.000,7.000,14.286,6.750
PG,Tyler Ulis,3000,Pho@Den 09:00PM ET,6.542,Pho,0,0,3.393,3.163,3.500,29.000,18.000,4.250,0.052,230.000,7.000,14.286,0.000
PG,Malik Beasley,3000,Pho@Den 09:00PM ET,4.333,Den,1,0,2.714,0.969,4.500,25.500,18.000,2.000,0.013,230.000,-7.000,14.286,0.000
SG,Mike Miller,3000,Pho@Den 09:00PM ET,4.938,Den,1,0,5.800,1.312,4.625,15.000,18.000,7.250,0.022,230.000,-7.000,14.286,0.000
SF/PF,Dragan Bender,3000,Pho@Den 09:00PM ET,7.872,Pho,0,0,6.536,3.604,6.312,12.250,18.000,2.750,0.108,230.000,7.000,14.286,0.000
PF,Jared Dudley,3000,Pho@Den 09:00PM ET,16.858,Pho,0,0,12.786,11.000,7.750,8.500,18.000,2.000,0.443,230.000,7.000,6.313,9.500
PF,Darrell Arthur,3000,Pho@Den 09:00PM ET,13.063,Den,1,0,15.214,6.727,22.375,20.500,18.000,31.000,0.278,230.000,-7.000,14.286,11.500
