Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,floorAvg,4GameAvg,communityBonus,penalty,dvp,value,Final,O/U,odds
SF/PF,Sam Dekker,3400,Mem@Hou 08:00PM ET,15.159,Hou,1,0,13.929,10.344,11.500,0.000,-8995.959,3.250,17.000,16.500,216.000,-7.500
SF,Chandler Parsons,3400,Mem@Hou 08:00PM ET,11.783,Mem,0,0,10.250,6.667,14.000,0.000,0.041,24.000,17.000,13.500,216.000,7.500
SF,James Ennis III,3400,Mem@Hou 08:00PM ET,17.583,Mem,0,0,16.964,11.768,18.625,0.000,0.041,24.000,17.000,22.000,216.000,7.500
PF/C,Channing Frye,3400,Cle@Sac 10:30PM ET,16.710,Cle,0,0,15.071,11.294,14.250,0.000,2.971,19.000,17.000,18.500,214.500,-6.500
PG,Ramon Sessions,3400,Cha@Phi 07:00PM ET,13.244,Cha,0,0,11.964,9.641,8.625,0.000,-53.877,15.500,17.000,7.250,208.000,-5.000
PG,Cory Joseph,3400,Bkn@Tor 07:30PM ET,17.743,Tor,1,0,21.929,12.786,20.688,0.000,10.460,29.000,17.000,35.500,225.000,-15.500
PG,Isaiah Whitehead,3400,Bkn@Tor 07:30PM ET,15.984,BKN,0,1,14.750,11.062,17.688,0.000,-58.229,14.000,17.000,0.000,225.000,15.500
PF/C,Justin Hamilton,3400,Bkn@Tor 07:30PM ET,16.515,BKN,0,0,18.750,10.368,19.062,0.000,6.460,14.000,17.000,19.000,225.000,15.500
PF/C,Mike Muscala,3300,Bos@Atl 08:00PM ET,17.270,Atl,1,0,12.750,9.967,16.625,0.000,-66.368,23.500,16.500,7.500,212.000,-3.500
PG/SG,Iman Shumpert,3300,Cle@Sac 10:30PM ET,15.250,Cle,0,0,15.000,10.929,15.062,0.000,2.971,20.000,16.500,22.000,214.500,-6.500
C,Lucas Nogueira,3300,Bkn@Tor 07:30PM ET,16.952,Tor,1,0,19.786,11.097,22.125,0.000,10.460,30.000,16.500,31.250,225.000,-15.500
C,John Henson,3200,Mia@Mil 08:00PM ET,18.064,Mil,1,0,18.536,11.250,14.312,0.000,-3.803,20.000,16.000,14.250,205.000,-7.500
C,Kosta Koufos,3200,Cle@Sac 10:30PM ET,16.138,Sac,1,0,15.000,10.131,14.688,0.000,-9078.423,5.000,16.000,7.750,214.500,6.500
PG,Ish Smith,3200,Det@Uta 10:30PM ET,20.848,Det,0,0,13.821,13.716,13.312,0.000,-9110.974,3.500,16.000,0.000,191.000,11.000
SG/SF,Caris LeVert,3200,Bkn@Tor 07:30PM ET,13.333,BKN,0,0,12.250,7.795,13.125,0.000,-9072.593,7.250,16.000,3.750,225.000,15.500
SG,Jodie Meeks,3200,Orl@Por 10:00PM ET,16.300,Orl,0,0,20.750,8.841,14.875,0.000,-8997.742,3.000,16.000,15.750,213.500,7.000
SF/PF,Jeff Green,3200,Orl@Por 10:00PM ET,15.776,Orl,0,0,16.643,9.643,11.875,0.000,2.258,26.250,16.000,14.250,213.500,7.000
SG/SF,Rodney McGruder,3100,Mia@Mil 08:00PM ET,14.174,Mia,0,0,13.464,7.734,11.625,2.000,-7.803,21.750,15.500,10.500,205.000,7.500
SF,Wayne Ellington,3100,Mia@Mil 08:00PM ET,17.650,Mia,0,0,11.607,10.932,6.688,0.000,-7.803,29.000,15.500,12.750,205.000,7.500
PF,Domantas Sabonis,3100,OKC@Min 08:00PM ET,14.169,OKC,0,0,11.821,8.863,12.125,0.000,-9001.664,8.000,15.500,14.500,208.000,-2.000
PF,Trey Lyles,3100,Det@Uta 10:30PM ET,17.250,Uta,1,0,20.071,10.816,18.812,0.000,-13.788,14.000,15.500,17.250,191.000,-11.000
PG,Malcolm Delaney,3000,Bos@Atl 08:00PM ET,12.283,Atl,1,0,13.000,7.221,20.312,0.000,1.189,21.000,15.000,32.000,212.000,-3.500
PG,Demetrius Jackson,3000,Bos@Atl 08:00PM ET,5.000,Bos,0,0,2.375,1.583,5.000,0.000,1.189,25.000,15.000,0.000,212.000,3.500
PG,Terry Rozier,3000,Bos@Atl 08:00PM ET,13.857,Bos,0,0,9.429,8.300,11.688,0.000,1.189,25.000,15.000,16.000,212.000,3.500
SG,James Young,3000,Bos@Atl 08:00PM ET,3.523,Bos,0,1,4.750,0.594,2.125,0.000,1.189,21.000,15.000,0.000,212.000,3.500
SF,Mike Dunleavy,3000,Bos@Atl 08:00PM ET,9.293,Atl,1,1,10.821,5.667,12.625,0.000,1.189,22.500,15.000,14.750,212.000,-3.500
SF,Taurean Prince,3000,Bos@Atl 08:00PM ET,8.580,Atl,1,0,9.214,2.604,10.312,0.000,-69.239,22.500,15.000,0.000,212.000,-3.500
SF,DeAndre' Bembry,3000,Bos@Atl 08:00PM ET,4.179,Atl,1,0,2.417,1.389,4.188,0.000,1.189,22.500,15.000,3.750,212.000,-3.500
SF,Jaylen Brown,3000,Bos@Atl 08:00PM ET,9.099,Bos,0,1,5.429,4.729,4.688,0.000,1.189,21.000,15.000,5.750,212.000,3.500
PF/C,Kris Humphries,3000,Bos@Atl 08:00PM ET,10.302,Atl,1,0,7.679,4.566,9.562,0.000,1.189,23.500,15.000,2.750,212.000,-3.500
PF,Mike Scott,3000,Bos@Atl 08:00PM ET,8.469,Atl,1,0,9.375,2.917,9.938,0.000,-56.435,26.000,15.000,0.000,212.000,-3.500
PF,Jonas Jerebko,3000,Bos@Atl 08:00PM ET,11.532,Bos,0,0,10.036,6.412,11.625,0.000,-59.525,18.500,15.000,2.000,212.000,3.500
PF,Jordan Mickey,3000,Bos@Atl 08:00PM ET,5.675,Bos,0,0,6.200,1.812,6.312,0.000,1.189,18.500,15.000,0.000,212.000,3.500
C,Tyler Zeller,3000,Bos@Atl 08:00PM ET,10.454,Bos,0,1,8.071,3.650,3.125,0.000,-8998.811,4.000,15.000,0.000,212.000,3.500
PG,Jason Terry,3000,Mia@Mil 08:00PM ET,8.398,Mil,1,0,10.857,4.484,13.125,0.000,-9003.803,8.000,15.000,14.750,205.000,-7.500
SG,Rashad Vaughn,3000,Mia@Mil 08:00PM ET,7.839,Mil,1,0,11.458,1.406,4.125,0.000,-9003.803,6.000,15.000,0.000,205.000,-7.500
SF,Steve Novak,3000,Mia@Mil 08:00PM ET,1.156,Mil,1,0,0.417,0.000,1.688,0.000,-9003.803,10.000,15.000,0.000,205.000,-7.500
PF,Josh McRoberts,3000,Mia@Mil 08:00PM ET,13.523,Mia,0,1,15.393,8.917,9.188,0.000,-7.803,17.000,15.000,0.000,205.000,7.500
PF,Luke Babbitt,3000,Mia@Mil 08:00PM ET,8.298,Mia,0,0,12.536,3.344,11.938,0.000,-7.803,17.000,15.000,30.000,205.000,7.500
PF,Derrick Williams,3000,Mia@Mil 08:00PM ET,12.636,Mia,0,0,14.857,7.769,11.312,0.000,-70.758,17.000,15.000,5.500,205.000,7.500
PF,Mirza Teletovic,3000,Mia@Mil 08:00PM ET,13.648,Mil,1,0,14.357,7.783,11.375,0.000,-9079.462,6.000,15.000,0.000,205.000,-7.500
PF,Justise Winslow,3000,Mia@Mil 08:00PM ET,25.833,Mia,0,1,24.143,20.250,23.875,0.000,-7.803,17.000,15.000,0.000,205.000,7.500
PF,Thon Maker,3000,Mia@Mil 08:00PM ET,4.433,Mil,1,0,6.850,1.806,3.625,0.000,-9003.803,6.000,15.000,4.000,205.000,-7.500
C,Udonis Haslem,3000,Mia@Mil 08:00PM ET,5.846,Mia,0,1,7.750,1.321,10.750,0.000,-9007.803,7.000,15.000,3.500,205.000,7.500
C,Miles Plumlee,3000,Mia@Mil 08:00PM ET,6.080,Mil,1,0,7.250,1.967,1.562,0.000,-3.803,20.000,15.000,0.000,205.000,-7.500
PG,Semaj Christon,3000,OKC@Min 08:00PM ET,9.081,OKC,0,0,10.429,4.809,10.312,0.000,-51.885,22.000,15.000,0.000,208.000,-2.000
PG,Kris Dunn,3000,OKC@Min 08:00PM ET,12.699,Min,1,0,13.714,7.554,11.250,0.000,-1.664,24.000,15.000,8.000,208.000,2.000
PG,Cameron Payne,3000,OKC@Min 08:00PM ET,8.500,OKC,0,0,10.500,3.500,9.250,0.000,-1.664,22.000,15.000,11.500,208.000,-2.000
PG,Tyus Jones,3000,OKC@Min 08:00PM ET,9.080,Min,1,0,2.643,2.227,4.188,0.000,-1.664,24.000,15.000,0.000,208.000,2.000
SG/SF,Alex Abrines,3000,OKC@Min 08:00PM ET,9.402,OKC,0,0,11.286,4.222,9.375,0.000,-9067.164,5.250,15.000,-0.500,208.000,-2.000
SG,Anthony Morrow,3000,OKC@Min 08:00PM ET,8.759,OKC,0,0,7.464,4.044,5.125,0.000,-9001.664,5.000,15.000,0.000,208.000,-2.000
SF/PF,Jerami Grant,3000,OKC@Min 08:00PM ET,13.282,OKC,0,0,11.821,9.103,11.375,0.000,-9047.304,6.750,15.000,5.750,208.000,-2.000
SF,Kyle Singler,3000,OKC@Min 08:00PM ET,4.338,OKC,0,0,3.393,1.200,2.500,0.000,-9034.381,5.500,15.000,0.000,208.000,-2.000
PF,Jordan Hill,3000,OKC@Min 08:00PM ET,5.350,Min,1,0,2.667,0.625,5.000,0.000,-1.664,16.000,15.000,0.000,208.000,2.000
PF,Adreian Payne,3000,OKC@Min 08:00PM ET,9.000,Min,1,0,10.750,4.625,4.812,0.000,-1.664,16.000,15.000,0.000,208.000,2.000
C,Nick Collison,3000,OKC@Min 08:00PM ET,3.818,OKC,0,0,5.850,0.333,4.312,0.000,-1.664,16.000,15.000,0.000,208.000,-2.000
C,Joffrey Lauvergne,3000,OKC@Min 08:00PM ET,12.184,OKC,0,0,8.929,6.417,6.750,0.000,-1.664,16.000,15.000,5.250,208.000,-2.000
PG,Bobby Brown,3000,Mem@Hou 08:00PM ET,1.111,Hou,1,0,1.333,0.000,2.188,0.000,-8995.959,7.000,15.000,0.000,216.000,-7.500
PG,Tyler Ennis,3000,Mem@Hou 08:00PM ET,4.957,Hou,1,0,2.143,2.054,1.500,0.000,-8995.959,7.000,15.000,0.000,216.000,-7.500
PG,Wade Baldwin IV,3000,Mem@Hou 08:00PM ET,9.402,Mem,0,0,5.000,3.327,3.125,0.000,-8999.959,12.000,15.000,0.000,216.000,7.500
SG,Troy Daniels,3000,Mem@Hou 08:00PM ET,14.850,Mem,0,0,13.607,6.438,12.125,0.000,0.041,25.000,15.000,18.750,216.000,7.500
SG,Troy Williams,3000,Mem@Hou 08:00PM ET,10.720,Mem,0,0,11.821,2.729,4.188,0.000,-93.042,25.000,15.000,0.000,216.000,7.500
PF/C,Jarell Martin,3000,Mem@Hou 08:00PM ET,10.395,Mem,0,0,6.286,4.862,5.875,0.000,0.041,15.000,15.000,0.000,216.000,7.500
PF,Kyle Wiltjer,3000,Mem@Hou 08:00PM ET,2.306,Hou,1,0,4.833,0.375,1.000,0.000,-8995.959,3.000,15.000,0.000,216.000,-7.500
PF,Deyonta Davis,3000,Mem@Hou 08:00PM ET,5.881,Mem,0,1,4.143,2.062,4.750,0.000,-8999.959,8.000,15.000,0.000,216.000,7.500
C,Chinanu Onuaku,3000,Mem@Hou 08:00PM ET,6.625,Hou,1,0,13.250,0.000,6.625,0.000,-8995.959,1.000,15.000,0.000,216.000,-7.500
PG,Kay Felder,3000,Cle@Sac 10:30PM ET,10.214,Cle,0,0,9.143,4.135,5.125,0.000,-77.045,18.000,15.000,2.000,214.500,-6.500
SG,James Jones,3000,Cle@Sac 10:30PM ET,4.696,Cle,0,0,4.679,1.517,4.750,0.000,2.971,22.000,15.000,1.250,214.500,-6.500
SG,Arron Afflalo,3000,Cle@Sac 10:30PM ET,12.395,Sac,1,0,8.643,6.422,6.625,0.000,2.971,29.500,15.000,6.500,214.500,6.500
SG,DeAndre Liggins,3000,Cle@Sac 10:30PM ET,9.525,Cle,0,0,10.964,3.429,11.812,0.000,2.971,22.000,15.000,4.750,214.500,-6.500
SG,Jordan McRae,3000,Cle@Sac 10:30PM ET,8.640,Cle,0,0,8.643,3.036,2.500,0.000,-76.045,22.000,15.000,0.000,214.500,-6.500
SG,Ben McLemore,3000,Cle@Sac 10:30PM ET,9.208,Sac,1,0,3.643,3.833,2.750,0.000,-59.008,29.500,15.000,0.000,214.500,6.500
SG,Malachi Richardson,3000,Cle@Sac 10:30PM ET,5.700,Sac,1,0,4.375,0.875,6.250,0.000,2.971,29.500,15.000,0.000,214.500,6.500
SF/PF,Richard Jefferson,3000,Cle@Sac 10:30PM ET,9.908,Cle,0,0,5.964,5.977,5.938,0.000,2.971,17.500,15.000,14.750,214.500,-6.500
SF,Omri Casspi,3000,Cle@Sac 10:30PM ET,14.036,Sac,1,0,14.286,7.100,9.062,0.000,-68.061,25.000,15.000,4.750,214.500,6.500
PF,Skal Labissiere,3000,Cle@Sac 10:30PM ET,4.625,Sac,1,0,4.000,2.250,4.625,0.000,-8997.029,13.000,15.000,0.000,214.500,6.500
C,Chris Andersen,3000,Cle@Sac 10:30PM ET,7.979,Cle,0,1,7.688,4.607,8.312,0.000,-8997.029,13.000,15.000,0.000,214.500,-6.500
C,Willie Cauley-Stein,3000,Cle@Sac 10:30PM ET,9.008,Sac,1,0,7.071,3.764,2.062,0.000,-9063.310,5.000,15.000,0.000,214.500,6.500
PG,Beno Udrih,3000,Det@Uta 10:30PM ET,13.550,Det,0,0,10.143,8.538,11.562,0.000,-9017.788,3.500,15.000,19.750,191.000,11.000
PG,Raul Neto,3000,Det@Uta 10:30PM ET,5.638,Uta,1,0,7.107,1.159,8.125,0.000,-13.788,23.000,15.000,0.000,191.000,-11.000
PG,Dante Exum,3000,Det@Uta 10:30PM ET,12.190,Uta,1,0,14.643,6.542,8.812,0.000,-13.788,23.000,15.000,16.000,191.000,-11.000
