Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,LastGame,dvp,value,fvalue,odds,O/U,penalty,Final
SG/SF,Vince Carter,3000,Mem@Bos 07:30PM ET,17.673,Mem,0,0,13.571,13.078,13.562,9.750,13.000,18.000,0.482,7.500,198.000,-8.054,15.750
SG,Gerald Green,3000,Mem@Bos 07:30PM ET,9.250,Bos,1,0,12.042,4.938,9.125,19.500,8.000,18.000,0.087,0.000,198.000,-4.054,29.750
SG,Troy Daniels,3000,Mem@Bos 07:30PM ET,14.920,Mem,0,0,17.500,6.308,18.750,26.500,13.000,18.000,0.404,7.500,198.000,-8.054,9.000
SG,Troy Williams,3000,Mem@Bos 07:30PM ET,10.720,Mem,0,0,11.821,2.729,4.188,0.000,13.000,18.000,0.234,7.500,198.000,-17.362,0.000
SG,James Young,3000,Mem@Bos 07:30PM ET,3.523,Bos,1,0,2.500,0.594,2.125,1.250,8.000,18.000,0.033,0.000,198.000,-4.054,0.000
SF,Jaylen Brown,3000,Mem@Bos 07:30PM ET,9.540,Bos,1,0,6.857,4.764,6.125,2.500,5.000,18.000,0.134,0.000,198.000,-9011.566,1.500
PF/C,Jarell Martin,3000,Mem@Bos 07:30PM ET,11.531,Mem,0,0,13.036,6.925,10.438,16.000,22.250,18.000,0.191,7.500,198.000,-15.481,1.250
PF,Brandan Wright,3000,Mem@Bos 07:30PM ET,0.000,Mem,0,0,0.000,0.000,0.000,0.000,23.000,18.000,,7.500,198.000,-8.054,0.000
PF,Jonas Jerebko,3000,Mem@Bos 07:30PM ET,11.395,Bos,1,0,13.286,7.484,7.188,6.500,2.500,18.000,0.101,0.000,198.000,-9009.233,2.750
PF,Jordan Mickey,3000,Mem@Bos 07:30PM ET,5.306,Bos,1,0,4.188,1.812,5.500,7.750,2.500,18.000,0.014,0.000,198.000,-9004.054,0.000
PF,Deyonta Davis,3000,Mem@Bos 07:30PM ET,5.881,Mem,0,0,4.143,2.062,4.750,11.000,23.000,18.000,0.041,7.500,198.000,-8.054,0.000
C,Tyler Zeller,3000,Mem@Bos 07:30PM ET,10.920,Bos,1,0,5.000,4.000,3.688,2.000,1.000,18.000,0.234,0.000,198.000,-9013.704,1.250
PG,Semaj Christon,3000,OKC@Mia 07:30PM ET,9.158,OKC,0,0,9.179,4.625,10.250,10.750,7.000,18.000,0.048,0.000,203.000,-0.369,5.250
PG,Cameron Payne,3000,OKC@Mia 07:30PM ET,0.000,OKC,0,0,0.000,0.000,0.000,0.000,7.000,18.000,,0.000,203.000,-0.369,0.000
SG,Anthony Morrow,3000,OKC@Mia 07:30PM ET,9.340,OKC,0,0,12.036,4.232,5.375,3.250,3.000,18.000,0.113,0.000,203.000,-9000.369,11.000
