Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,LastGame,dvp,value,fvalue,odds,O/U,penalty,Final
PG,Russell Westbrook,12800,Atl@OKC 08:00PM ET,64.111,OKC,1,0,69.500,54.533,55.812,81.250,20.500,76.800,0.183,0.000,211.500,2.671,73.250
PG,John Wall,9700,Was@Ind 07:00PM ET,49.010,Was,0,0,49.821,41.812,52.938,43.750,17.000,58.200,0.180,5.000,211.000,0.310,42.500
PF/C,Karl-Anthony Towns,8900,Pho@Min 08:00PM ET,43.990,Min,1,0,53.429,37.597,48.750,69.500,22.500,53.400,0.228,0.000,213.000,3.754,55.250
SG/SF,Jimmy Butler,8500,Det@Chi 08:00PM ET,43.231,Chi,1,0,43.536,32.917,41.250,26.750,5.000,51.000,0.255,0.000,196.500,-20.157,36.250
SF/PF,Paul George,8100,Was@Ind 07:00PM ET,39.595,Ind,1,0,40.000,33.773,37.000,44.750,20.000,48.600,0.122,0.000,211.000,2.310,41.000
C,Andre Drummond,7700,Det@Chi 08:00PM ET,38.411,Det,0,0,37.750,29.483,32.188,32.750,9.500,46.200,0.256,2.500,196.500,-20.514,16.000
PF,Paul Millsap,7500,Atl@OKC 08:00PM ET,37.698,Atl,0,0,38.250,26.977,41.562,36.250,15.500,45.000,0.271,3.000,211.500,2.671,50.250
PG,Eric Bledsoe,7400,Pho@Min 08:00PM ET,37.639,Pho,0,0,41.464,27.946,38.750,21.250,22.000,44.400,0.293,6.000,213.000,1.754,40.750
C,Dwight Howard,7300,Atl@OKC 08:00PM ET,36.913,Atl,0,0,33.964,24.200,40.188,43.250,12.000,43.800,0.288,3.000,211.500,2.671,0.000
PG,Jeff Teague,7000,Was@Ind 07:00PM ET,34.634,Ind,1,0,34.536,26.550,39.562,44.750,3.000,42.000,0.244,0.000,211.000,-11.023,49.500
PG,Dennis Schroder,6900,Atl@OKC 08:00PM ET,31.167,Atl,0,0,36.536,23.839,37.750,24.000,20.500,41.400,0.150,3.000,211.500,2.671,47.750
SG,Zach LaVine,6800,Pho@Min 08:00PM ET,31.590,Min,1,0,32.357,23.938,34.875,35.000,15.000,40.800,0.181,0.000,213.000,3.754,37.500
SG,Bradley Beal,6800,Was@Ind 07:00PM ET,34.793,Was,0,0,32.714,25.750,42.188,53.750,23.000,40.800,0.289,5.000,211.000,0.310,29.500
SF,Andrew Wiggins,6700,Pho@Min 08:00PM ET,32.337,Min,1,0,26.107,22.146,32.625,35.500,25.500,40.200,0.264,0.000,213.000,3.754,39.000
SG,Dwyane Wade,6600,Det@Chi 08:00PM ET,34.031,Chi,1,0,36.393,25.773,33.375,22.250,6.500,39.600,0.292,0.000,196.500,-8.157,25.500
SF/PF,Harrison Barnes,6500,Dal@Den 09:00PM ET,31.287,Dal,0,0,29.857,23.625,31.750,37.750,11.500,39.000,0.194,8.000,207.000,-2.577,25.000
C,Nikola Jokic,6400,Dal@Den 09:00PM ET,26.969,Den,1,0,29.071,19.817,35.375,28.250,9.500,38.400,0.174,0.000,207.000,-0.577,64.250
C,Myles Turner,6300,Was@Ind 07:00PM ET,31.741,Ind,1,0,35.607,23.250,34.562,22.250,7.500,37.800,0.270,0.000,211.000,2.310,40.250
SF/PF,Wilson Chandler,6200,Dal@Den 09:00PM ET,30.792,Den,1,0,33.179,21.462,19.500,20.250,3.750,37.200,0.306,0.000,207.000,-13.244,32.500
C,Marcin Gortat,6000,Was@Ind 07:00PM ET,31.654,Was,0,0,34.536,26.333,31.625,22.750,19.000,36.000,0.298,5.000,211.000,0.310,38.750
PG,Deron Williams,5900,Dal@Den 09:00PM ET,26.632,Dal,0,0,21.393,17.143,31.062,27.500,29.000,35.400,0.185,8.000,207.000,-2.577,38.250
SG/SF,Devin Booker,5900,Pho@Min 08:00PM ET,28.385,Pho,0,0,27.679,21.617,30.312,42.750,5.500,35.400,0.246,6.000,213.000,1.754,26.500
PG,Reggie Jackson,5800,Det@Chi 08:00PM ET,25.094,Det,0,0,23.250,21.667,27.625,40.250,11.500,34.800,0.122,2.500,196.500,-15.880,15.750
SG/SF,Will Barton,5700,Dal@Den 09:00PM ET,26.183,Den,1,0,25.583,17.036,23.750,36.000,3.750,34.200,0.227,0.000,207.000,-13.244,18.000
SF,Danilo Gallinari,5700,Dal@Den 09:00PM ET,27.365,Den,1,0,29.036,22.250,29.312,22.250,3.500,34.200,0.165,0.000,207.000,-13.435,29.000
PF/C,Gorgui Dieng,5700,Pho@Min 08:00PM ET,27.183,Min,1,0,27.429,19.808,25.500,17.000,22.500,34.200,0.226,0.000,213.000,3.754,27.750
SG,Victor Oladipo,5700,Atl@OKC 08:00PM ET,28.500,OKC,1,0,29.250,19.479,20.188,2.750,26.000,34.200,0.314,0.000,211.500,-9.032,0.000
SG,Wesley Matthews,5600,Dal@Den 09:00PM ET,26.692,Dal,0,0,26.071,18.583,25.250,21.500,29.000,33.600,0.219,8.000,207.000,-2.577,18.500
PG,Rajon Rondo,5600,Det@Chi 08:00PM ET,28.955,Chi,1,0,31.250,20.562,27.312,19.000,25.500,33.600,0.347,0.000,196.500,-8.157,47.500
SF/PF,Otto Porter,5600,Was@Ind 07:00PM ET,29.712,Was,0,0,30.429,21.232,23.188,23.000,19.500,33.600,0.381,5.000,211.000,0.310,36.750
SF/PF,Tobias Harris,5500,Det@Chi 08:00PM ET,27.336,Det,0,0,28.679,19.933,21.938,24.750,15.000,33.000,0.271,2.500,196.500,-17.472,16.000
PG,Ricky Rubio,5400,Pho@Min 08:00PM ET,24.571,Min,1,0,26.179,19.625,29.062,34.500,25.500,32.400,0.173,0.000,213.000,3.754,32.250
PG,Emmanuel Mudiay,5300,Dal@Den 09:00PM ET,25.240,Den,1,0,25.571,13.917,23.750,40.750,1.000,31.800,0.300,0.000,207.000,-20.577,35.000
SG,Kentavious Caldwell-Pope,5300,Det@Chi 08:00PM ET,27.018,Det,0,0,31.893,17.288,28.250,35.250,14.000,31.800,0.329,2.500,196.500,-19.259,9.250
C,Tyson Chandler,5200,Pho@Min 08:00PM ET,25.342,Pho,0,0,22.857,18.386,31.688,23.250,16.000,31.200,0.273,6.000,213.000,1.754,22.000
SF/PF,Marcus Morris,5200,Det@Chi 08:00PM ET,24.216,Det,0,0,24.000,17.339,20.875,13.750,15.000,31.200,0.196,2.500,196.500,-16.630,7.750
SF/PF,Markieff Morris,5200,Was@Ind 07:00PM ET,26.470,Was,0,0,29.964,19.517,32.500,46.250,19.500,31.200,0.328,5.000,211.000,0.310,18.000
C,Steven Adams,5100,Atl@OKC 08:00PM ET,25.991,OKC,1,0,26.321,19.327,29.000,33.750,4.000,30.600,0.275,0.000,211.500,-9.829,24.750
SG,Gary Harris,5000,Dal@Den 09:00PM ET,23.036,Den,1,0,26.000,12.875,26.000,23.500,4.000,30.000,0.229,0.000,207.000,-13.077,37.000
SF,T.J. Warren,4900,Pho@Min 08:00PM ET,27.250,Pho,0,0,21.036,15.929,14.125,6.500,6.000,29.400,0.438,6.000,213.000,-12.944,2.750
PF,Kenneth Faried,4800,Dal@Den 09:00PM ET,24.933,Den,1,0,27.036,15.083,26.125,41.750,4.000,28.800,0.368,0.000,207.000,-25.085,2.750
PF/C,Taj Gibson,4800,Det@Chi 08:00PM ET,26.413,Chi,1,0,25.964,20.096,20.062,14.500,8.500,28.800,0.378,0.000,196.500,-8.157,24.500
PF,Thaddeus Young,4800,Was@Ind 07:00PM ET,24.223,Ind,1,0,27.286,17.683,20.000,20.500,25.000,28.800,0.312,0.000,211.000,2.310,33.250
PF,Dirk Nowitzki,4700,Dal@Den 09:00PM ET,24.800,Dal,0,0,29.250,17.667,20.000,27.000,6.000,28.200,0.382,8.000,207.000,-2.577,0.000
PG/SG,Tim Hardaway Jr.,4700,Atl@OKC 08:00PM ET,18.583,Atl,0,0,19.286,12.214,27.750,36.000,15.750,28.200,0.128,3.000,211.500,2.671,12.000
SF,Thabo Sefolosha,4600,Atl@OKC 08:00PM ET,20.802,Atl,0,0,21.250,14.788,23.312,10.500,7.000,27.600,0.203,3.000,211.500,2.671,26.000
C,Robin Lopez,4600,Det@Chi 08:00PM ET,24.240,Chi,1,0,25.071,18.607,21.812,18.750,5.000,27.600,0.319,0.000,196.500,-20.157,21.000
PG,J.J. Barea,4500,Dal@Den 09:00PM ET,30.361,Dal,0,0,29.500,24.062,30.500,22.500,29.000,27.000,0.703,8.000,207.000,-8.866,23.250
SG/SF,Kent Bazemore,4500,Atl@OKC 08:00PM ET,22.240,Atl,0,0,22.714,12.750,16.562,31.000,9.000,27.000,0.321,3.000,211.500,2.671,32.250
SG/SF,Glenn Robinson III,4400,Was@Ind 07:00PM ET,13.308,Ind,1,0,18.214,4.827,19.688,28.000,12.000,26.400,0.109,0.000,211.000,2.310,9.000
C,Enes Kanter,4300,Atl@OKC 08:00PM ET,23.250,OKC,1,0,24.750,16.250,23.062,21.250,4.000,25.800,0.407,0.000,211.500,-8997.329,19.750
PF,Jon Leuer,4200,Det@Chi 08:00PM ET,23.170,Det,0,0,27.714,17.038,24.938,35.250,18.000,25.200,0.392,2.500,196.500,-8.157,23.250
SF,C.J. Miles,4200,Was@Ind 07:00PM ET,19.761,Ind,1,0,16.679,13.771,17.625,16.250,15.000,25.200,0.265,0.000,211.000,2.310,13.000
SG/SF,Andre Roberson,4100,Atl@OKC 08:00PM ET,18.944,OKC,1,0,20.893,12.077,15.000,18.750,25.750,24.600,0.244,0.000,211.500,2.671,23.750
C,Andrew Bogut,4000,Dal@Den 09:00PM ET,22.188,Dal,0,0,21.250,17.562,23.062,9.500,15.000,24.000,0.375,8.000,207.000,-10.236,0.000
PF/C,Mike Muscala,4000,Atl@OKC 08:00PM ET,18.046,Atl,0,0,17.036,12.788,16.562,4.250,13.750,24.000,0.188,3.000,211.500,-4.462,2.750
SG/SF,Kelly Oubre Jr.,4000,Was@Ind 07:00PM ET,13.260,Was,0,0,10.821,6.571,24.375,16.500,17.000,24.000,0.146,5.000,211.000,-1.690,17.250
SG,Monta Ellis,4000,Was@Ind 07:00PM ET,21.781,Ind,1,0,22.393,13.688,12.312,17.500,9.000,24.000,0.414,0.000,211.000,2.310,0.000
PG/SG,Brandon Knight,3900,Pho@Min 08:00PM ET,21.056,Pho,0,0,19.500,16.353,17.000,12.250,13.500,23.400,0.385,6.000,213.000,-0.246,28.000
