Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,communityBonus,penalty,dvp,value,O/U,odds,Final
PG/SG,James Harden,12200,GS@Hou 08:00PM ET,61.011,HOU,1,0,64.036,52.865,60.688,15.253,-103.859,14.250,73.200,240.500,5.000,42.250
PF/C,Anthony Davis,11400,Bkn@NO 08:00PM ET,54.694,NO,1,1,50.857,41.025,45.000,0.000,6.517,29.000,68.400,221.500,-9.500,44.250
PG,Giannis Antetokounmpo,10600,Mil@Orl 07:00PM ET,50.363,MIL,0,0,49.821,40.329,52.188,5.036,-0.903,14.500,63.600,211.000,-3.500,44.000
SF,Kevin Durant,10500,GS@Hou 08:00PM ET,50.161,GS,0,0,50.964,41.562,55.250,12.540,19.942,24.000,63.000,240.500,-5.000,56.000
PF/C,DeMarcus Cousins,10200,Sac@Mem 08:00PM ET,52.794,SAC,0,0,45.500,39.971,54.062,5.279,-154.180,2.750,61.200,199.500,8.500,37.000
SG/SF,Jimmy Butler,8900,Chi@Atl 08:00PM ET,44.524,CHI,0,0,35.857,34.312,44.812,4.452,-147.733,23.000,53.400,204.500,4.000,24.500
PG,Stephen Curry,8700,GS@Hou 08:00PM ET,43.411,GS,0,0,41.821,36.932,45.062,4.341,19.942,10.000,52.200,240.500,-5.000,39.750
PG,Damian Lillard,8500,Por@Phi 07:00PM ET,43.462,POR,0,0,43.000,34.898,42.188,4.346,-1.963,12.000,51.000,209.500,-2.000,38.250
PF/C,Joel Embiid,8400,Por@Phi 07:00PM ET,38.147,PHI,1,0,43.464,30.192,46.812,3.815,-1.963,29.000,50.400,209.500,2.000,45.000
PG,Kyle Lowry,8300,Tor@Cha 07:00PM ET,43.598,TOR,0,0,46.000,35.132,40.562,4.360,-99.129,19.000,49.800,215.500,-1.000,32.750
SG,DeMar DeRozan,8200,Tor@Cha 07:00PM ET,42.667,TOR,0,0,40.679,35.205,41.000,4.267,-90.467,21.000,49.200,215.500,-1.000,28.750
PG,Kemba Walker,8000,Tor@Cha 07:00PM ET,39.652,CHA,1,0,44.750,32.946,38.438,3.965,2.277,9.000,48.000,215.500,1.000,51.000
PF/C,Draymond Green,7900,GS@Hou 08:00PM ET,39.913,GS,0,0,37.286,34.833,45.188,3.991,19.942,17.250,47.400,240.500,-5.000,43.500
PG,Jeff Teague,7900,Ind@LAL 10:30PM ET,36.378,IND,0,0,32.893,26.369,32.938,3.638,5.810,28.000,47.400,220.500,-3.500,26.750
SF/PF,Paul George,7800,Ind@LAL 10:30PM ET,38.485,IND,0,0,32.286,30.484,27.375,3.849,5.810,27.500,46.800,220.500,-3.500,37.000
SF,Gordon Hayward,7600,Uta@Dal 08:30PM ET,37.375,UTA,0,0,33.286,29.569,38.000,0.000,-29.155,5.000,45.600,188.000,-5.500,44.750
PF,Paul Millsap,7500,Chi@Atl 08:00PM ET,38.731,ATL,1,0,42.500,28.882,38.750,9.683,-5.496,16.500,45.000,204.500,-4.000,33.750
SG/SF,Nicolas Batum,7400,Tor@Cha 07:00PM ET,36.276,CHA,1,0,42.036,27.408,34.125,0.000,-9.152,7.000,44.400,215.500,1.000,27.000
PG,Mike Conley,7300,Sac@Mem 08:00PM ET,36.438,MEM,1,0,36.571,28.625,41.500,0.000,-9.029,21.500,43.800,199.500,-8.500,41.500
PG/SG,C.J. McCollum,7300,Por@Phi 07:00PM ET,37.097,POR,0,0,39.393,29.250,31.938,9.274,-1.963,14.500,43.800,209.500,-2.000,32.000
C,Marc Gasol,7200,Sac@Mem 08:00PM ET,38.321,MEM,1,0,38.893,29.087,42.250,3.832,-9.029,11.000,43.200,199.500,-8.500,47.750
PG,Jrue Holiday,7200,Bkn@NO 08:00PM ET,31.848,NO,1,0,33.643,26.078,27.875,0.000,6.517,30.000,43.200,221.500,-9.500,28.750
C,Rudy Gobert,7100,Uta@Dal 08:30PM ET,36.174,UTA,0,0,43.000,28.300,48.812,3.617,-17.155,12.000,42.600,188.000,-5.500,65.750
PF/C,Julius Randle,7000,Ind@LAL 10:30PM ET,31.518,LAL,1,0,30.679,22.190,19.375,0.000,5.810,23.000,42.000,220.500,3.500,31.250
C,Dwight Howard,6900,Chi@Atl 08:00PM ET,36.074,ATL,1,0,33.571,24.141,25.562,9.018,-125.002,8.500,41.400,204.500,-4.000,22.000
SF/PF,Jabari Parker,6900,Mil@Orl 07:00PM ET,34.476,MIL,0,0,35.107,25.921,34.625,3.448,-0.903,16.500,41.400,211.000,-3.500,41.000
C,Myles Turner,6900,Ind@LAL 10:30PM ET,32.631,IND,0,0,27.286,23.700,23.750,3.263,5.810,29.000,41.400,220.500,-3.500,30.500
C,Brook Lopez,6800,Bkn@NO 08:00PM ET,34.824,BKN,0,0,36.321,27.845,38.812,0.000,4.517,18.500,40.800,221.500,9.500,43.500
C,Nikola Vucevic,6700,Mil@Orl 07:00PM ET,34.250,ORL,1,0,28.429,25.685,28.000,3.425,-109.974,13.000,40.200,211.000,3.500,23.000
PG,D'Angelo Russell,6600,Ind@LAL 10:30PM ET,29.159,LAL,1,0,29.036,18.906,16.000,0.000,-111.615,16.500,39.600,220.500,3.500,-0.500
SG,Klay Thompson,6500,GS@Hou 08:00PM ET,32.067,GS,0,0,31.857,25.045,30.125,0.000,-76.148,27.000,39.000,240.500,-5.000,20.750
PG,George Hill,6400,Uta@Dal 08:30PM ET,32.026,UTA,0,1,33.071,22.417,26.438,0.000,-137.460,1.000,38.400,188.000,-5.500,15.250
SG,Dwyane Wade,6300,Chi@Atl 08:00PM ET,33.151,CHI,0,0,29.179,24.667,27.875,0.000,-99.176,24.000,37.800,204.500,4.000,13.250
PF/C,Terrence Jones,6200,Bkn@NO 08:00PM ET,23.220,NO,1,0,23.000,15.068,28.062,0.000,6.517,29.000,37.200,221.500,-9.500,28.500
PF/C,Serge Ibaka,6100,Mil@Orl 07:00PM ET,30.564,ORL,1,0,30.893,22.870,25.562,0.000,-0.903,15.500,36.600,211.000,3.500,23.000
SF,Rudy Gay,6000,Sac@Mem 08:00PM ET,35.200,SAC,0,1,39.929,27.797,39.438,3.520,-22.458,7.000,36.000,199.500,8.500,0.000
PG,Elfrid Payton,6000,Mil@Orl 07:00PM ET,28.545,ORL,1,0,30.357,20.398,40.938,0.000,-14.236,3.000,36.000,211.000,3.500,39.500
PG,Dennis Schroder,5900,Chi@Atl 08:00PM ET,31.345,ATL,1,0,28.821,23.050,27.500,0.000,-5.496,11.000,35.400,204.500,-4.000,38.250
PF/C,Zach Randolph,5800,Sac@Mem 08:00PM ET,27.750,MEM,1,0,32.500,22.833,33.312,0.000,-9.029,17.500,34.800,199.500,-8.500,37.500
SF/PF,Harrison Barnes,5800,Uta@Dal 08:30PM ET,31.589,DAL,1,0,31.679,24.712,25.812,0.000,-39.155,1.000,34.800,188.000,5.500,28.250
SG/SF,Tyreke Evans,5800,Bkn@NO 08:00PM ET,22.217,NO,1,0,21.321,13.781,26.875,2.222,6.517,30.000,34.800,221.500,-9.500,16.500
C,Jonas Valanciunas,5700,Tor@Cha 07:00PM ET,27.756,TOR,0,0,22.929,20.345,27.625,2.776,2.277,26.000,34.200,215.500,-1.000,23.000
PG/SG,Malcolm Brogdon,5700,Mil@Orl 07:00PM ET,20.951,MIL,0,0,31.143,13.190,26.000,2.095,-0.903,16.750,34.200,211.000,-3.500,29.500
SF,Trevor Ariza,5700,GS@Hou 08:00PM ET,27.994,HOU,1,0,26.536,21.500,26.438,0.000,-60.212,9.500,34.200,240.500,5.000,18.750
PG,Patrick Beverley,5600,GS@Hou 08:00PM ET,28.105,HOU,1,0,28.714,21.317,33.000,0.000,17.942,14.500,33.600,240.500,5.000,23.250
SG,Eric Gordon,5600,GS@Hou 08:00PM ET,28.488,HOU,1,0,28.357,21.583,23.750,2.849,-65.038,14.000,33.600,240.500,5.000,17.500
PF,Thaddeus Young,5500,Ind@LAL 10:30PM ET,25.695,IND,0,0,24.107,19.462,21.625,0.000,5.810,27.000,33.000,220.500,-3.500,36.000
PF/C,Taj Gibson,5400,Chi@Atl 08:00PM ET,25.536,CHI,0,1,23.679,19.281,25.625,0.000,-86.887,11.500,32.400,204.500,4.000,9.250
SF/PF,Aaron Gordon,5400,Mil@Orl 07:00PM ET,22.614,ORL,1,0,26.500,15.354,28.875,2.261,-0.903,23.500,32.400,211.000,3.500,35.500
PF/C,Dirk Nowitzki,5400,Uta@Dal 08:30PM ET,25.559,DAL,1,0,21.929,18.500,27.250,0.000,-124.828,1.500,32.400,188.000,5.500,15.500
PG/SG,Darren Collison,5300,Sac@Mem 08:00PM ET,23.402,SAC,0,0,17.679,16.833,24.812,0.000,-93.275,5.000,31.800,199.500,8.500,13.750
SG/SF,Evan Fournier,5300,Mil@Orl 07:00PM ET,27.068,ORL,1,1,28.964,18.583,16.625,0.000,-0.903,22.500,31.800,211.000,3.500,0.000
PG,Deron Williams,5300,Uta@Dal 08:30PM ET,28.559,DAL,1,0,28.607,20.700,31.312,0.000,-30.822,6.000,31.800,188.000,5.500,32.000
PF,Ersan Ilyasova,5300,Por@Phi 07:00PM ET,26.700,PHI,1,0,28.821,19.500,30.625,2.670,-1.963,30.000,31.800,209.500,2.000,40.500
PF,Trevor Booker,5300,Bkn@NO 08:00PM ET,28.316,BKN,0,0,22.321,20.421,27.250,0.000,4.517,25.000,31.800,221.500,9.500,0.000
PF/C,Derrick Favors,5200,Uta@Dal 08:30PM ET,20.938,UTA,0,0,19.500,13.333,20.562,2.094,-114.053,7.500,31.200,188.000,-5.500,11.000
SF,Robert Covington,5200,Por@Phi 07:00PM ET,24.777,PHI,1,0,29.393,17.500,25.000,2.478,-1.963,21.000,31.200,209.500,2.000,35.000
C,Mason Plumlee,5200,Por@Phi 07:00PM ET,30.267,POR,0,0,31.214,23.250,30.688,0.000,-1.963,27.000,31.200,209.500,-2.000,39.750
SF,Michael Kidd-Gilchrist,5100,Tor@Cha 07:00PM ET,23.530,CHA,1,0,26.464,17.193,28.562,0.000,2.277,12.000,30.600,215.500,1.000,27.250
C,Cody Zeller,5000,Tor@Cha 07:00PM ET,24.071,CHA,1,0,21.429,19.060,25.062,0.000,-69.919,8.500,30.000,215.500,1.000,15.750
C,Greg Monroe,5000,Mil@Orl 07:00PM ET,25.556,MIL,0,0,22.893,16.512,16.625,0.000,-0.903,22.500,30.000,211.000,-3.500,16.750
PF,Al-Farouq Aminu,5000,Por@Phi 07:00PM ET,21.722,POR,0,0,25.393,15.929,22.500,0.000,-13.630,6.000,30.000,209.500,-2.000,23.250
PG,Jeremy Lin,5000,Bkn@NO 08:00PM ET,30.146,BKN,0,1,27.929,25.472,29.125,0.000,4.517,27.000,30.000,221.500,9.500,0.000
SF,DeMarre Carroll,4900,Tor@Cha 07:00PM ET,19.709,TOR,0,1,12.750,12.905,16.375,0.000,-89.920,24.000,29.400,215.500,-1.000,7.250
PF/C,Montrezl Harrell,4900,GS@Hou 08:00PM ET,18.986,HOU,1,0,26.214,10.224,25.250,1.899,17.942,15.750,29.400,240.500,5.000,16.750
PF,Ryan Anderson,4800,GS@Hou 08:00PM ET,24.349,HOU,1,1,17.714,16.670,18.062,0.000,-83.158,9.000,28.800,240.500,5.000,1.250
PF,Marvin Williams,4700,Tor@Cha 07:00PM ET,22.014,CHA,1,0,23.607,16.111,23.688,2.201,2.277,22.000,28.200,215.500,1.000,26.000
PF,Nikola Mirotic,4600,Chi@Atl 08:00PM ET,21.216,CHI,0,0,20.857,13.395,16.438,0.000,-5.496,19.000,27.600,204.500,4.000,12.500
