Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,communityBonus,dvp,value,O/U,odds,penalty
PG/SG,Jordan Clarkson,4900,LAL@Por 10:30PM ET,23.042,LAL,0,0,25.750,16.083,22.750,2.304,10.250,29.400,221.000,8.500,3.197
PF,Trevor Booker,4800,Mia@Bkn 07:30PM ET,27.781,BKN,1,0,27.929,20.179,22.750,0.000,7.000,28.800,215.000,3.000,-10.445
PF,Marvin Williams,4800,GS@Cha 08:00PM ET,22.449,CHA,1,0,25.214,16.263,26.938,2.245,9.000,28.800,223.500,10.000,4.952
C,Greg Monroe,4700,Phi@Mil 08:00PM ET,25.395,MIL,1,0,34.536,16.466,19.938,2.540,27.000,28.200,207.000,-11.000,-6.635
SG/SF,Kent Bazemore,4700,Atl@Chi 08:00PM ET,21.808,ATL,0,0,18.214,13.200,21.188,2.181,10.000,28.200,202.500,-1.500,-7.795
SG,Seth Curry,4700,NY@Dal 08:30PM ET,20.094,DAL,1,0,18.036,14.062,23.562,0.000,23.500,28.200,204.000,-3.000,-6.742
PF/C,Kelly Olynyk,4600,Hou@Bos 07:30PM ET,19.007,BOS,1,0,21.929,11.816,18.625,1.901,18.750,27.600,229.000,4.000,10.815
SG,Sean Kilpatrick,4600,Mia@Bkn 07:30PM ET,24.831,BKN,1,0,19.679,15.830,22.750,0.000,3.000,27.600,215.000,3.000,-12.350
SF,Brandon Ingram,4600,LAL@Por 10:30PM ET,17.958,LAL,0,0,16.821,13.017,22.812,1.796,20.500,27.600,221.000,8.500,3.197
PF,Ryan Anderson,4500,Hou@Bos 07:30PM ET,23.778,HOU,0,0,29.679,16.865,14.188,2.378,25.000,27.000,229.000,-4.000,10.815
SG/SF,Josh Richardson,4500,Mia@Bkn 07:30PM ET,22.473,MIA,0,1,26.036,15.467,23.500,0.000,30.000,27.000,215.000,-3.000,0.983
C,Robin Lopez,4500,Atl@Chi 08:00PM ET,22.587,CHI,1,0,21.036,16.432,22.688,0.000,4.000,27.000,202.500,1.500,-20.295
SG/SF,Terrence Ross,4500,Tor@Mem 08:00PM ET,18.222,TOR,0,0,20.893,13.000,18.812,0.000,6.750,27.000,200.500,6.000,-20.681
SF,DeMarre Carroll,4500,Tor@Mem 08:00PM ET,19.263,TOR,0,0,12.750,12.727,12.688,0.000,7.000,27.000,200.500,6.000,-20.628
PG/SG,Darren Collison,4500,Sac@Cle 07:00PM ET,22.882,SAC,0,0,18.464,16.703,21.625,0.000,24.250,27.000,216.000,12.000,-0.315
SG/SF,Evan Turner,4500,LAL@Por 10:30PM ET,21.279,POR,1,0,24.571,15.652,21.812,0.000,24.500,27.000,221.000,-8.500,3.197
PF,Nikola Mirotic,4400,Atl@Chi 08:00PM ET,20.738,CHI,1,0,18.643,13.262,15.438,0.000,19.000,26.400,202.500,1.500,-7.795
SG,Tony Allen,4400,Tor@Mem 08:00PM ET,22.314,MEM,1,0,20.929,15.690,21.312,0.000,2.000,26.400,200.500,-6.000,-9009.199
PF,JaMychal Green,4400,Tor@Mem 08:00PM ET,22.989,MEM,1,0,21.786,16.087,25.000,2.299,22.000,26.400,200.500,-6.000,-9.199
C,Tristan Thompson,4400,Sac@Cle 07:00PM ET,23.733,CLE,1,0,22.857,18.020,19.625,0.000,11.000,26.400,216.000,-12.000,-9002.315
PF/C,Nerlens Noel,4300,Phi@Mil 08:00PM ET,17.691,PHI,0,0,17.893,9.917,21.062,1.769,13.250,25.800,207.000,11.000,-8.635
