max(s1.salary),max(s2.salary),avg(s2.salary),min(s2.salary),stddev(s2.salary),avg(t2.DKFPS),std(t2.DKFPS),min(t2.DKFPS),max(t2.DKFPS),player_id,game_id,Target,Name,Position,team,ou,odds,home,OPP
6000,6300,5880.0000,4600,649.3073232299172,24.15,10.441024853911612,7.25,33.75,201587,21700277,?,Nicolas Batum,SG/SF,CHA,201,-1,1,SAS
3600,4000,3700.0000,3600,152.75252316519467,14,3.06526235962492,8.75,17.5,203469,21700277,?,Cody Zeller,C,CHA,201,-1,1,SAS
4000,4200,4083.3333,4000,68.7184270936277,22.958333333333332,8.02783785060184,15.5,37.5,203077,21700277,?,Michael Kidd-Gilchrist,SF,CHA,201,-1,1,SAS
3200,3200,3200.0000,3200,0,18.25,7.134861596415168,12.5,30.25,203487,21700277,?,Michael Carter-Williams,PG,CHA,201,-1,1,SAS
6700,7200,6966.6667,6700,169.96731711975943,38,14.888474289418197,15.25,57,2730,21700277,?,Dwight Howard,C,CHA,201,-1,1,SAS
5400,5700,5266.6667,5100,205.48046676563266,31.958333333333332,7.6163429909344,24.75,47.25,203087,21700277,?,Jeremy Lamb,SG/SF,CHA,201,-1,1,SAS
3700,3900,3720.0000,3500,132.664991614216,5.65,6.711184694225007,-0.5,16.75,1628403,21700279,?,Caleb Swanigan,PF,POR,202,4,0,WAS
3400,3700,3471.4286,3400,103.01575072754255,14.892857142857142,3.547778839482184,10.25,22,202334,21700279,?,Ed Davis,PF/C,POR,202,4,0,WAS
3200,3200,3100.0000,3000,100.00000000000006,9.125,8.889073348780514,0,21.25,203086,21700279,?,Meyers Leonard,PF/C,POR,202,4,0,WAS
6900,7300,7085.7143,6900,145.6862718169366,31.892857142857142,9.612916480720413,11.75,40.5,203468,21700279,?,C.J. McCollum,PG/SG,POR,202,4,0,WAS
6300,7100,6785.7143,6500,203.03814862216984,30.428571428571427,14.475789076515142,16.25,63.25,203994,21700279,?,Jusuf Nurkic,C,POR,202,4,0,WAS
3000,3000,3000.0000,3000,0,7.928571428571429,3.2724889111300874,5,15.5,1626192,21700279,?,Pat Connaughton,SG/SF,POR,202,4,0,WAS
3500,3700,3528.5714,3500,69.98542122237652,10.535714285714286,5.319150998696951,1,15.75,203090,21700279,?,Maurice Harkless,SF/PF,POR,202,4,0,WAS
3000,3000,3000.0000,3000,0,3.45,2.12367605815953,0,6,1627774,21700279,?,Jake Layman,SF/PF,POR,202,4,0,WAS
3900,3700,3428.5714,3100,243.27694808466282,19.857142857142858,9.027593753575303,5.75,32,203894,21700279,?,Shabazz Napier,PG/SG,POR,202,4,0,WAS
3000,3000,3000.0000,3000,0,2.0833333333333335,2.1826334756181325,-1,3.75,1628380,21700279,?,Zach Collins,PF/C,POR,202,4,0,WAS
4200,4500,4371.4286,4200,88.06305718527108,13.821428571428571,8.379092055435923,2.5,26.25,202323,21700279,?,Evan Turner,SG/SF,POR,202,4,0,WAS
8500,9200,8857.1429,8300,266.4965443739662,42.964285714285715,8.6089950585633,30.25,57,203081,21700279,?,Damian Lillard,PG,POR,202,4,0,WAS
3500,3600,3542.8571,3500,49.48716593053934,21.535714285714285,9.261506907846133,14.25,42,203943,21700279,?,Noah Vonleh,PF/C,POR,202,4,0,WAS
3000,3000,3000.0000,3000,0,3.5,0,3.5,3.5,1626191,21700279,?,Chris McCullough,PF/C,WAS,202,-4,1,POR
3400,3400,3400.0000,3400,0,8.416666666666666,4.700768258723485,2.5,15.75,101133,21700279,?,Ian Mahinmi,C,WAS,202,-4,1,POR
3500,3500,3500.0000,3500,0,5.75,0,5.75,5.75,201160,21700279,?,Jason Smith,PF/C,WAS,202,-4,1,POR
4500,4800,4716.6667,4600,68.71842709362768,19.083333333333332,6.121455890735652,11.5,27,202693,21700279,?,Markieff Morris,SF/PF,WAS,202,-4,1,POR
6000,6300,6200.0000,6100,57.73502691896255,27,7.973915809270458,15.75,38.75,203490,21700279,?,Otto Porter,SF/PF,WAS,202,-4,1,POR
3600,3600,3500.0000,3400,81.64965809277263,11.666666666666666,6.842980994339301,6.25,26.5,204025,21700279,?,Tim Frazier,PG,WAS,202,-4,1,POR
4900,5400,5266.6667,5100,110.55415967851339,29.458333333333332,8.85580867127459,11.75,41,101162,21700279,?,Marcin Gortat,C,WAS,202,-4,1,POR
3400,3400,3400.0000,3400,0,9.208333333333334,2.0382624681058346,5.25,12,201975,21700279,?,Jodie Meeks,SG,WAS,202,-4,1,POR
7400,8000,7583.3333,7200,279.3842435706702,38.166666666666664,5.648869110027442,33.5,50,203078,21700279,?,Bradley Beal,SG,WAS,202,-4,1,POR
3200,3200,3200.0000,3200,0,7.625,5.625,2,13.25,203107,21700279,?,Tomas Satoransky,PG/SG,WAS,202,-4,1,POR
4300,4700,4516.6667,4400,89.75274678557514,18.541666666666668,6.940846290058744,9.5,30.5,1626162,21700279,?,Kelly Oubre Jr.,SG/SF,WAS,202,-4,1,POR
3500,3500,3375.0000,3200,108.97247358851679,13.5,7.086518891529183,3.5,21.25,203118,21700279,?,Mike Scott,PF,WAS,202,-4,1,POR
3800,3800,3700.0000,3600,100,20.541666666666668,7.26208284324974,9.75,32.5,1627783,21700280,?,Pascal Siakam,PF,TOR,209,-7,0,ATL
8200,8400,8100.0000,7600,294.39202887759495,41.166666666666664,10.963639399801913,23.75,58,201942,21700280,?,DeMar DeRozan,SG/SF,TOR,209,-7,0,ATL
3300,3600,3466.6667,3300,137.43685418725534,9.833333333333334,3.7127782349909104,2.25,14.5,1627751,21700280,?,Jakob Poeltl,PF/C,TOR,209,-7,0,ATL
3500,3500,3250.0000,3000,250,20.791666666666668,7.286426688637503,13.25,35.25,1627832,21700280,?,Fred VanVleet,PG,TOR,209,-7,0,ATL
7700,8200,7866.6667,7300,329.9831645537221,46.958333333333336,9.020135654313753,28.75,57,200768,21700280,?,Kyle Lowry,PG,TOR,209,-7,0,ATL
4800,5200,4933.3333,4700,169.96731711975946,19.333333333333332,6.53622385037586,10.75,31,202685,21700280,?,Jonas Valanciunas,C,TOR,209,-7,0,ATL
3000,3000,3000.0000,3000,0,5.166666666666667,2.5522321385189257,2,8.25,203485,21700280,?,Lorenzo Brown,PG,TOR,209,-7,0,ATL
3400,3400,3400.0000,3400,0,5.625,7.5605197131766895,0,20,203512,21700280,?,Lucas Nogueira,C,TOR,209,-7,0,ATL
3900,3700,3700.0000,3700,0,23.625,2.125,21.5,25.75,1626181,21700280,?,Norman Powell,SG/SF,TOR,209,-7,0,ATL
3700,3800,3483.3333,3000,343.5921354681384,11.458333333333334,5.783267290689196,6.25,23.5,1628384,21700280,?,OG Anunoby,SF/PF,TOR,209,-7,0,ATL
