Salary,max(s2.salary),avg(s2.salary),min(s2.salary),stddev(s2.salary),DKFPS,std(t2.DKFPS),min(t2.DKFPS),max(t2.DKFPS),player_id,Team,ou,odds,Home,OPP,Target,game_id,Position,Name,DISPLAY_FIRST_LAST,AdaBoost,Neural Network,Random Forest
4100,3600,3600,3600,0,8.625,5.375,3.25,14,1626158,PHI,221,-6,1,ORL,,21700278,PF/C,Richaun Holmes,Richaun Holmes,12.5,15.53940344,16.7122619
4900,4900,4825,4800,43.30127019,26.9375,4.017053491,20.5,31,200755,PHI,221,-6,1,ORL,,21700278,SG/SF,J.J. Redick,JJ Redick,25.75,26.79423338,26.77190476
6200,6300,6125,5800,204.6338193,36.25,11.45916664,23,54,203496,PHI,221,-6,1,ORL,,21700278,SF/PF,Robert Covington,Robert Covington,36,33.69561392,32.37
9800,10000,9100,7900,886.0022573,55.25,22.13382592,35.5,90.75,203954,PHI,221,-6,1,ORL,,21700278,C,Joel Embiid,Joel Embiid,37.75,49.22204944,50.34730159
3000,3000,3000,3000,0,0,0,0,0,1627788,PHI,221,-6,1,ORL,,21700278,SG/SF,Furkan Korkmaz,Furkan Korkmaz,2.75,14.09577201,3.41422619
3700,3700,3700,3700,0,6,0,6,6,201573,PHI,221,-6,1,ORL,,21700278,PG/SG,Jerryd Bayless,Jerryd Bayless,12.75,15.75750783,21.35994048
5100,4700,4575,4500,82.91561976,22.5625,10.54065789,11.25,39.75,203967,PHI,221,-6,1,ORL,,21700278,PF/C,Dario Saric,Dario Saric,26.25,26.66810455,31.62715278
3600,3200,3200,3200,0,15.5,13.3650664,1,33.25,101161,PHI,221,-6,1,ORL,,21700278,PF/C,Amir Johnson,Amir Johnson,13.5,18.02353294,18.67208333
3100,3100,3100,3100,0,12.3125,3.970103116,6.5,17.25,1627789,PHI,221,-6,1,ORL,,21700278,SG/SF,Timothe Luwawu-Cabarrot,Timothe Luwawu-Cabarrot,11.25,14.79061273,7.290178571
5000,5700,5450,5200,180.2775638,13.3125,4.255052144,6,16.5,200752,SAS,201,1,0,CHA,,21700277,SF/PF,Rudy Gay,Rudy Gay,17.75,19.62271175,21.24764881
