max(s1.salary),max(s2.salary),avg(s2.salary),min(s2.salary),stddev(s2.salary),avg(t2.DKFPS),std(t2.DKFPS),min(t2.DKFPS),max(t2.DKFPS),player_id,game_id,Target,Name,Position,DISPLAY_FIRST_LAST,team,ou,odds,home,OPP
5600,5900,5680.0000,5300,203.9607805437114,23.7,4.202380277890139,15.5,27.5,1627734,21700281,?,Domantas Sabonis,PF/C,Domantas Sabonis,IND,205,4,1,BOS
6300,7200,6860.0000,6700,185.47236990991405,28.6,11.173182178770737,17.75,49.75,1626167,21700281,?,Myles Turner,C,Myles Turner,IND,205,4,1,BOS
3000,3000,3000.0000,3000,0,4.5,3.1966779631361053,0,8.75,1628388,21700281,?,TJ Leaf,SF/PF,TJ Leaf,IND,205,4,1,BOS
5900,6300,6080.0000,5700,222.71057451320098,29.55,6.673454877348014,17,36.75,201152,21700281,?,Thaddeus Young,SF/PF,Thaddeus Young,IND,205,4,1,BOS
3500,3700,3620.0000,3600,40.00000000000003,17.95,7.073542252648244,6.25,26.25,202709,21700281,?,Cory Joseph,PG,Cory Joseph,IND,205,4,1,BOS
7800,8000,7600.0000,7100,289.82753492378873,43.85,13.513511756756643,27.75,65.75,203506,21700281,?,Victor Oladipo,PG/SG,Victor Oladipo,IND,205,4,1,BOS
5800,6100,5940.0000,5500,224.4994432064364,33.9,5.66259657754285,30,45,201954,21700281,?,Darren Collison,PG,Darren Collison,IND,205,4,1,BOS
4600,4500,4420.0000,4300,74.83314773547876,29.05,8.207313811473277,21.75,40.75,202711,21700281,?,Bojan Bogdanovic,SG/SF,Bojan Bogdanovic,IND,205,4,1,BOS
3000,3000,3000.0000,3000,0,1,0,1,1,1626202,21700281,?,Joe Young,PG/SG,Joe Young,IND,205,4,1,BOS
3500,3700,3560.0000,3500,80,21.65,6.2900715417235125,9.25,26.25,202362,21700281,?,Lance Stephenson,SG/SF,Lance Stephenson,IND,205,4,1,BOS
3000,3000,3000.0000,3000,0,2,0,2,2,2863,21700281,?,Damien Wilkins,SG/SF,Damien Wilkins,IND,205,4,1,BOS
3800,4000,3900.0000,3800,89.44271909999158,13.45,8.252878285786117,-0.5,24.25,1628373,21700282,?,Frank Ntilikina,PG/SG,Frank Ntilikina,NYK,217,15,0,HOU
6800,6700,6520.0000,6200,193.90719429665324,38.95,9.954144865331225,27.75,56,203501,21700282,?,Tim Hardaway Jr.,SG/SF,Tim Hardaway Jr.,NYK,217,15,0,HOU
3700,3900,3760.0000,3700,79.99999999999997,22.45,9.198369420718,10.5,37,101127,21700282,?,Jarrett Jack,PG,Jarrett Jack,NYK,217,15,0,HOU
3400,3400,3400.0000,3400,0,5.55,2.456623699307649,2,8.25,202498,21700282,?,Lance Thomas,SF/PF,Lance Thomas,NYK,217,15,0,HOU
3500,3700,3540.0000,3500,79.99999999999997,14.6,6.278136666241027,6,25.25,203926,21700282,?,Doug McDermott,SF/PF,Doug McDermott,NYK,217,15,0,HOU
3400,3500,3466.6667,3400,47.14045207910311,7.833333333333333,6.665624918607074,2.75,17.25,1626195,21700282,?,,,Willy Hernangomez,NYK,217,15,0,HOU
3300,3400,3400.0000,3400,0,9.375,3.375,6,12.75,201196,21700282,?,Ramon Sessions,PG,Ramon Sessions,NYK,217,15,0,HOU
4800,4600,4380.0000,4100,193.90719429665322,28.3,6.159139550294343,19,37,201584,21700282,?,Courtney Lee,SG/SF,Courtney Lee,NYK,217,15,0,HOU
6000,6600,6475.0000,6300,108.97247358851675,31.75,12.028611723719408,19,47,202683,21700282,?,Enes Kanter,PF/C,Enes Kanter,NYK,217,15,0,HOU
3300,3400,3400.0000,3400,0,11.125,6.875,4.25,18,201563,21700282,?,Michael Beasley,SF/PF,Michael Beasley,NYK,217,15,0,HOU
3500,3900,3660.0000,3500,135.64659966250537,12.6,3.59722114972099,8,18.5,203124,21700282,?,Kyle O'Quinn,PF/C,Kyle O'Quinn,NYK,217,15,0,HOU
8600,9600,9020.0000,8700,305.941170815567,36.8,6.10204883625164,25.5,43.25,204001,21700282,?,Kristaps Porzingis,PF/C,Kristaps Porzingis,NYK,217,15,0,HOU
7800,7500,7300.0000,7100,200,36,1,35,37,101108,21700282,?,Chris Paul,PG/SG,Chris Paul,HOU,217,-15,1,NYK
5500,6600,6266.6667,6000,249.44382578492952,19,3.409545424246464,15.25,23.5,201569,21700282,?,Eric Gordon,SG,Eric Gordon,HOU,217,-15,1,NYK
11500,12700,12033.3333,11100,679.8692684790382,61.083333333333336,5.90315358280828,53.25,67.5,201935,21700282,?,James Harden,PG/SG,James Harden,HOU,217,-15,1,NYK
3500,3500,3333.3333,3000,235.70226039551582,15.5,8.753570700005799,3.75,24.75,204028,21700282,?,Tarik Black,PF/C,Tarik Black,HOU,217,-15,1,NYK
3800,3800,3766.6667,3700,47.1404520791032,17.583333333333332,7.586537784494029,7.25,25.25,200782,21700282,?,P.J. Tucker,SF/PF,PJ Tucker,HOU,217,-15,1,NYK
4700,4700,4533.3333,4400,124.72191289246463,24.833333333333332,6.182412330330469,19.5,33.5,201583,21700282,?,Ryan Anderson,PF/C,Ryan Anderson,HOU,217,-15,1,NYK
5200,5200,5133.3333,5100,47.14045207910311,26.333333333333332,7.930251502246879,18,37,2772,21700282,?,Trevor Ariza,SG/SF,Trevor Ariza,HOU,217,-15,1,NYK
6600,7200,7000.0000,6700,216.02468994692867,34.666666666666664,3.280836614171589,31.75,39.25,203991,21700282,?,Clint Capela,C,Clint Capela,HOU,217,-15,1,NYK
3000,3000,3000.0000,3000,0,0,0,0,0,1627743,21700282,?,Demetrius Jackson,PG,Demetrius Jackson,HOU,217,-15,1,NYK
3100,3100,3100.0000,3100,0,3.1666666666666665,3.0912061651652345,0.5,7.5,201628,21700282,?,Bobby Brown,PG,Bobby Brown,HOU,217,-15,1,NYK
3500,3500,3500.0000,3500,0,11.45,5.163332257370235,4,18,201967,21700284,?,Dante Cunningham,SF/PF,Dante Cunningham,NOP,229,11,0,GSW
10600,11000,10440.0000,9800,412.7953488110057,41.9,11.447270417003349,28.25,61.25,203076,21700284,?,Anthony Davis,PF/C,Anthony Davis,NOP,229,11,0,GSW
3500,3900,3780.0000,3600,97.97958971132714,20.15,5.3376024580330075,11.5,27,2749,21700284,?,Jameer Nelson,PG/SG,Jameer Nelson,NOP,229,11,0,GSW
3300,3300,3300.0000,3300,0,6.875,5.075985126061738,0,11.75,1627767,21700284,?,Cheick Diallo,PF,Cheick Diallo,NOP,229,11,0,GSW
3000,3000,3000.0000,3000,0,1.5,0,1.5,1.5,1628429,21700284,?,Charles Cooke,SG,Charles Cooke,NOP,229,11,0,GSW
11000,11400,11120.0000,10900,203.9607805437114,44,11.010222522728593,26,58,202326,21700284,?,DeMarcus Cousins,PF/C,DeMarcus Cousins,NOP,229,11,0,GSW
3000,3000,3000.0000,3000,0,13.5,3,10.5,16.5,2754,21700284,?,Tony Allen,SG/SF,Tony Allen,NOP,229,11,0,GSW
5100,5200,4740.0000,4400,307.2458299147444,19.25,7.8390050389064045,4.5,26.5,200765,21700284,?,Rajon Rondo,PG,Rajon Rondo,NOP,229,11,0,GSW
6200,6800,6560.0000,6400,135.64659966250528,30.55,2.3790754506740637,27.5,34.5,201950,21700284,?,Jrue Holiday,PG/SG,Jrue Holiday,NOP,229,11,0,GSW
3400,3300,3240.0000,3000,120,21.15,7.64950978821519,8,28.25,203121,21700284,?,Darius Miller,SF,Darius Miller,NOP,229,11,0,GSW
3000,3000,3000.0000,3000,0,3.375,1.375,2,4.75,1627883,21700284,?,Jalen Jones,SF,Jalen Jones,NOP,229,11,0,GSW
3700,4100,3960.0000,3700,149.66629547095764,21,8.442452250383178,10,34.5,202734,21700284,?,E'Twaun Moore,SG/SF,E'Twaun Moore,NOP,229,11,0,GSW
3300,3400,3400.0000,3400,0,8.166666666666666,1.649915822768611,6,10,203546,21700284,?,Ian Clark,PG/SG,Ian Clark,NOP,229,11,0,GSW
3000,3000,3000.0000,3000,0,15.875,1.6345871038277526,13.75,18.25,1626172,21700284,?,Kevon Looney,SF/PF,Kevon Looney,GSW,229,-11,1,NOP
