Player_ID,,Name,TEAM,ou,odds,Position,GAME_DATE,Game_ID,Home,OPP,PACE,AST,TO,ORR,DRR,REBR,EFF FG%,TS%,OFF EFF,DEF EFF,DKFPS,salary,shiftedDKFPS,shiftedsalaryavg,shiftedsalarystd,shiftedDEF_RAT,shiftedOFF_RAT,shiftedNET_RAT,shiftedDKFPSavg,shiftedMIN,shiftedMINavg,shiftedMINstd,shiftedDKFPSstd,shiftedOFF_RATINGavg,shiftedDEF_RATINGavg,shiftedNET_RATINGavg
2738,46078,Andre Iguodala,GSW,207.0,-14.0,SG/SF,2017-12-30,21700535.0,1.0,MEM,102.4,21.4,14.6,21.8,76.4,51.6,57.4,60.7,112.4,100.6,0.0,4000.0,0.0,4210.0,159.51314818673865,1.2789769243681803e-13,1.7053025658242404e-13,-7.105427357601002e-15,15.95,0.0,22.8,12.787146323989226,11.096045341572019,86.02000000000005,10.620000000000003,96.65000000000002
2747,46090,J.R. Smith,CLE,208.0,-4.0,SG/SF,2017-12-30,21700534.0,0.0,UTA,98.6,18.0,13.5,20.2,76.6,49.3,55.5,59.4,111.4,108.7,0.0,4000.0,0.0,3980.0,78.88106377466171,104.30000000000004,115.90000000000005,11.59999999999999,15.575,0.0,26.2,10.685400216078833,8.447591701517988,110.38,-0.40000000000000285,110.00999999999996
2749,46111,Jameer Nelson,NOP,218.0,-6.0,PG/SG,2017-12-30,21700532.0,1.0,NYK,101.9,19.5,14.6,20.3,76.9,49.8,55.8,58.8,108.6,107.4,0.0,3300.0,0.0,3390.0,31.622776601690337,-2.842170943040401e-14,0.0,-7.105427357601002e-15,11.425,0.0,18.2,10.612361764575395,7.459194549905029,103.69000000000001,-9.540000000000001,94.16
101112,46096,Channing Frye,CLE,208.0,-4.0,PF/C,2017-12-30,21700534.0,0.0,UTA,98.6,18.0,13.5,20.2,76.6,49.3,55.5,59.4,111.4,108.7,0.0,3300.0,0.0,3270.0,82.32726023485645,161.2999999999999,105.60000000000005,-55.70000000000006,5.55,0.0,7.9,6.854844191437846,4.676774767104148,95.32,-4.719999999999991,90.59
101127,46172,Jarrett Jack,NYK,218.0,6.0,PG,2017-12-30,21700532.0,0.0,NOP,98.70000000000003,17.0,14.3,26.2,76.9,52.100000000000016,51.2,54.8,104.29999999999997,104.6,0.0,4300.0,0.0,4480.0,91.89365834726814,122.00000000000003,108.60000000000004,-13.3,18.825,0.0,20.6,11.529671865813583,11.592053072879041,110.02000000000005,-7.019999999999998,103.02000000000001
101141,46159,Ersan Ilyasova,ATL,208.0,4.0,SF/PF,2017-12-30,21700533.0,1.0,POR,99.49999999999994,18.2,14.3,21.800000000000008,74.29999999999997,47.8,52.3,55.8,104.4,108.50000000000006,0.0,5100.0,0.0,4960.0,271.6206504995115,1.2789769243681803e-13,-1.1368683772161603e-13,2.0594637106796654e-14,20.65,0.0,23.7,12.996153277027785,13.37763473530023,101.97000000000003,0.7599999999999969,102.7
101161,46021,Amir Johnson,PHI,216.0,7.0,PF/C,2017-12-30,21700536.0,0.0,DEN,103.3,18.3,15.799999999999997,26.4,77.8,52.9,51.7,55.2,103.40000000000003,103.7,0.0,3700.0,0.0,3600.0,94.28090415820688,115.70000000000007,104.50000000000003,-11.199999999999996,11.775,0.0,14.2,7.269418439218113,9.789059936707133,116.90000000000009,-26.940000000000005,89.95
101181,46093,Jose Calderon,CLE,208.0,-4.0,PG,2017-12-30,21700534.0,0.0,UTA,98.6,18.000000000000007,13.500000000000004,20.2,76.60000000000002,49.3,55.499999999999986,59.4,111.4,108.7,0.0,3700.0,0.0,3470.0,356.05867181937555,81.6999999999999,110.10000000000002,28.39999999999994,17.4,0.0,21.3,8.525126261691259,9.456919865015953,113.25999999999996,1.3499999999999983,114.61999999999998
200746,46133,LaMarcus Aldridge,SAS,196.0,-5.0,PF/C,2017-12-30,21700530.0,0.0,DET,96.5,17.2,13.3,23.8,79.6,51.9,51.3,54.9,105.1,101.5,0.0,7500.0,0.0,8010.0,317.80497164141406,120.70000000000005,135.1,14.40000000000001,28.9,0.0,27.0,14.757295747452433,16.963277330096872,103.29999999999998,3.2900000000000085,106.61000000000006
200755,46019,J.J. Redick,PHI,216.0,7.0,SG/SF,2017-12-30,21700536.0,0.0,DEN,103.3,18.3,15.8,26.39999999999999,77.8,52.9,51.70000000000002,55.2,103.4,103.7,0.0,5300.0,0.0,5300.0,182.57418583505552,110.69999999999996,111.90000000000013,1.0999999999999517,25.4,0.0,30.5,13.235054464061205,12.476199563791672,106.05999999999999,0.4500000000000052,106.51999999999987
