max(s1.salary),max(s2.salary),avg(s2.salary),min(s2.salary),stddev(s2.salary),avg(t2.DKFPS),std(t2.DKFPS),min(t2.DKFPS),max(t2.DKFPS),player_id,game_id,Target,Position,team,ou,odds,home,OPP,Name,AdaBoost,Neural Network
continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,discrete,discrete,continuous,continuous,discrete,discrete,string,continuous,continuous
,,,,,,,,,,,,,,,,,,meta,meta,meta
3100.0,3100.0,3066.6667,3000.0,47.1404520791,17.0833333333,3.82880166922,10.0,21.25,201578.0,21700278.0,,PF/C,ORL,221.0,6.0,0,PHI,Marreese Speights,21.75,22.329530718439017
3900.0,3700.0,3650.0,3500.0,76.3762615826,17.75,7.96868872525,5.0,32.0,203082.0,21700278.0,,SG/SF,ORL,221.0,6.0,0,PHI,Terrence Ross,21.0,22.47336723633564
6400.0,7000.0,6316.6667,5700.0,421.966296706,23.5416666667,8.84286042837,13.0,41.5,203901.0,21700278.0,,PG,ORL,221.0,6.0,0,PHI,Elfrid Payton,23.0,23.665606575424924
3000.0,3000.0,3000.0,3000.0,0.0,6.25,3.38655429604,3.25,12.0,1626209.0,21700278.0,,PG/SF,ORL,221.0,6.0,0,PHI,Mario Hezonja,22.25,19.688937200353006
3000.0,3000.0,3000.0,3000.0,0.0,8.45,6.15913955029,0.75,17.75,201167.0,21700278.0,,SG/SF,ORL,221.0,6.0,0,PHI,Arron Afflalo,22.25,20.288623213149755
3200.0,3200.0,3200.0,3200.0,0.0,16.3333333333,5.26518966631,8.75,23.5,202687.0,21700278.0,,PF/C,ORL,221.0,6.0,0,PHI,Bismack Biyombo,26.75,22.165910149063002
6100.0,6400.0,6233.3333,5900.0,179.505493571,23.7916666667,4.83566753981,17.75,30.25,203095.0,21700278.0,,SG/SF,ORL,221.0,6.0,0,PHI,Evan Fournier,18.75,23.714838642124327
7000.0,7400.0,7033.3333,6500.0,309.120616517,30.5,7.25143663927,23.25,44.25,203932.0,21700278.0,,SF/PF,ORL,221.0,6.0,0,PHI,Aaron Gordon,23.5,24.963181970908675
3700.0,4200.0,4025.0,3700.0,204.633819297,10.75,6.33689592782,1.75,19.0,201571.0,21700278.0,,PG/SG,ORL,221.0,6.0,0,PHI,D.J. Augustin,22.25,20.87329607935372
6700.0,7300.0,6966.6667,6600.0,228.521820013,35.2083333333,8.10274730501,22.5,49.25,202696.0,21700278.0,,C,ORL,221.0,6.0,0,PHI,Nikola Vucevic,23.5,25.748717427356617
3400.0,3700.0,3475.0,3400.0,129.903810568,13.4375,5.37172865566,6.75,21.25,202714.0,21700278.0,,PG,ORL,221.0,6.0,0,PHI,Shelvin Mack,27.75,21.51395886480296
4400.0,4600.0,4450.0,4200.0,138.443731049,18.5833333333,4.98678810013,10.0,25.0,203613.0,21700278.0,,SG/SF,ORL,221.0,6.0,0,PHI,Jonathon Simmons,20.75,22.651136841793296
4100.0,3600.0,3600.0,3600.0,0.0,8.625,5.375,3.25,14.0,1626158.0,21700278.0,,PF/C,PHI,221.0,-6.0,1,ORL,Richaun Holmes,22.25,20.334509564840793
4900.0,5000.0,4860.0,4800.0,80.0,25.6,4.47939728089,20.25,31.0,200755.0,21700278.0,,SG/SF,PHI,221.0,-6.0,1,ORL,J.J. Redick,25.0,24.065356016084692
4000.0,4700.0,4320.0,4000.0,248.19347292,19.85,5.50136346736,11.75,28.75,204456.0,21700278.0,,PG,PHI,221.0,-6.0,1,ORL,T.J. McConnell,29.75,22.9172221151828
3000.0,3000.0,3000.0,3000.0,0.0,0.0,0.0,0.0,0.0,1627788.0,21700278.0,,SG/SF,PHI,221.0,-6.0,1,ORL,Furkan Korkmaz,22.25,17.70598284659455
6200.0,6300.0,6140.0,5800.0,185.47236991,35.0,10.5498815159,23.0,54.0,203496.0,21700278.0,,SF/PF,PHI,221.0,-6.0,1,ORL,Robert Covington,23.5,25.715630169084005
9800.0,10000.0,9280.0,7900.0,870.40220588,53.9,19.980365362,35.5,90.75,203954.0,21700278.0,,C,PHI,221.0,-6.0,1,ORL,Joel Embiid,23.5,28.10551864528454
3600.0,3600.0,3300.0,3200.0,173.205080757,18.0625,12.396288507,1.0,33.25,101161.0,21700278.0,,PF/C,PHI,221.0,-6.0,1,ORL,Amir Johnson,21.0,22.54028989840002
3100.0,3100.0,3100.0,3100.0,0.0,12.0,3.60555127546,6.5,17.25,1627789.0,21700278.0,,SG/SF,PHI,221.0,-6.0,1,ORL,Timothe Luwawu-Cabarrot,24.75,21.17624474754627
3700.0,3900.0,3800.0,3700.0,100.0,4.75,1.25,3.5,6.0,201573.0,21700278.0,,PG/SG,PHI,221.0,-6.0,1,ORL,Jerryd Bayless,22.25,19.253018267700618
5100.0,5000.0,4660.0,4500.0,185.47236991,23.5,9.61249187256,11.25,39.75,203967.0,21700278.0,,PF/C,PHI,221.0,-6.0,1,ORL,Dario Saric,23.0,23.657383189251526
5000.0,5700.0,5400.0,5200.0,189.73665961,16.2,6.91628513004,6.0,27.75,200752.0,21700277.0,,SF/PF,SAS,201.0,1.0,0,CHA,Rudy Gay,21.0,21.033326101221814
3600.0,3700.0,3660.0,3500.0,80.0,3.25,2.15058131676,1.25,6.75,203464.0,21700277.0,,SG,SAS,201.0,1.0,0,CHA,Brandon Paul,20.5,17.309758363835826
4700.0,4600.0,4520.0,4500.0,40.0,26.95,7.36444159458,15.25,38.5,203937.0,21700277.0,,PG/SF,SAS,201.0,1.0,0,CHA,Kyle Anderson,19.75,23.31476024293103
3000.0,3000.0,3000.0,3000.0,0.0,4.85,4.94368283772,0.0,13.75,202722.0,21700277.0,,SF/PF,SAS,201.0,1.0,0,CHA,Davis Bertans,20.5,17.86879313456548
