Player_ID,,Name,TEAM,ou,odds,Position,GAME_DATE,Game_ID,Home,OPP,PACE,AST,TO,ORR,DRR,REBR,EFF FG%,TS%,OFF EFF,DEF EFF,MIN,salary,DKFPS,NET_RATING,DEF_RATING,OFF_RATING,shiftedMINavg,shiftedDKFPS,shiftedsalaryavg,shiftedDEF_RAT,shiftedOFF_RAT,shiftedNET_RAT,shiftedDKFPSavg,shiftedMINstd,shiftedsalarystd,shiftedDKFPSstd,shiftedOFF_RATINGavg,shiftedDEF_RATINGavg,shiftedNET_RATINGavg,MINavg,salaryavg,DKFPSavg,NET_RATINGavg,DEF_RATINGavg,OFF_RATINGavg,MINstd,salarystd,DKFPSstd,NET_RATINGstd,DEF_RATINGstd,OFF_RATINGstd
1713,45386,Vince Carter,SAC,205.0,5.0,SG/SF,2017-12-26,21700505.0,0.0,LAC,96.5,16.3,13.5,21.400000000000006,76.0,47.7,49.9,52.499999999999986,99.5,109.4,0.0,3100.0,0.0,1.454392162258955e-14,4.263256414560601e-14,-9.947598300641403e-14,12.1,7.725,3030.0,4.263256414560601e-14,-9.947598300641403e-14,1.454392162258955e-14,7.725,11.029757728778764,48.30458915396453,7.9647225661384775,80.11999999999992,1.8300000000000012,81.94999999999995,11.3,3040.0,7.725,2.1300000000000012,66.68999999999991,68.81999999999994,11.633763124820948,51.63977794943197,7.9647225661384775,19.778048999388744,61.86902743340608,61.88120877940249
1717,45333,Dirk Nowitzki,DAL,209.0,6.0,PF/C,2017-12-26,21700499.0,1.0,TOR,96.6,17.3,12.4,17.4,79.6,47.4,51.1,54.3,102.8,106.2,0.0,4500.0,0.0,8.600000000000003,86.99999999999991,95.7,27.0,24.675,4550.0,126.49999999999991,107.30000000000001,-19.199999999999996,24.675,2.1081851067789006,108.01234497346434,7.493562051669579,111.98000000000002,-10.46,101.49999999999999,24.2,4560.0,22.025,-5.690000000000001,109.06000000000002,103.35999999999999,8.75341203315725,96.6091783079296,10.753197198972975,14.966440235852135,14.923300200990672,15.540499062485457
1938,45274,Manu Ginobili,SAS,207.0,-11.0,SG/SF,2017-12-26,21700502.0,1.0,BKN,96.5,17.2,13.3,23.8,79.6,51.9,51.3,54.9,105.1,101.5,0.0,4000.0,0.0,18.099999999999994,99.59999999999982,117.70000000000022,19.8,16.75,3800.0,109.09999999999982,125.60000000000021,16.49999999999999,16.75,9.077444574328174,200.0,9.351173426070359,92.65999999999998,5.870000000000007,98.53000000000002,19.8,3840.0,16.75,7.680000000000007,102.61999999999998,110.30000000000003,9.077444574328174,195.50504398153572,9.351173426070359,32.303966044778804,14.500406124580808,26.978468781192504
2199,45360,Tyson Chandler,PHX,205.0,2.0,C,2017-12-26,21700504.0,1.0,MEM,103.3,15.1,13.9,24.1,76.3,50.0,49.2,53.5,102.0,108.3,0.0,4400.0,0.0,-1.599999999999997,117.00000000000021,115.50000000000003,23.1,20.2,4370.0,110.30000000000021,106.00000000000003,-4.299999999999997,20.2,10.01609815358367,82.32726023485645,12.86727114296837,98.98999999999994,-13.360000000000003,85.61000000000007,21.3,4370.0,18.975,-14.39,99.77999999999994,85.39000000000007,12.37425643108394,82.32726023485645,14.220217415121795,23.411651894824594,36.644744962045195,35.944940920493636
2200,45267,Pau Gasol,SAS,207.0,-11.0,PF/C,2017-12-26,21700502.0,1.0,BKN,96.5,17.2,13.3,23.8,79.6,51.9,51.3,54.9,105.1,101.5,0.0,6400.0,0.0,12.700000000000015,98.90000000000012,111.60000000000008,23.1,26.425,5500.0,113.4000000000001,114.60000000000008,1.2000000000000153,26.425,6.261877602693227,230.9401076758503,16.707886527691706,106.92999999999992,-9.879999999999995,97.0800000000001,21.5,5590.0,25.3,-5.549999999999995,105.27999999999993,99.7600000000001,9.489760563657834,366.51512019742563,18.158943312379773,27.48329795833584,19.53536963219967,16.923172804701192
2207,45298,Joe Johnson,UTA,205.0,6.0,SG/SF,2017-12-26,21700503.0,0.0,DEN,96.9,16.6,13.7,19.8,78.3,48.2,51.6,55.5,104.1,104.6,0.0,3700.0,0.0,-16.09999999999999,106.39999999999986,90.30000000000014,20.5,12.225,3680.0,134.49999999999986,110.80000000000014,-23.69999999999999,12.225,5.254627590144809,103.27955589886444,5.148422088368438,109.43000000000004,-15.839999999999998,93.58999999999996,18.3,3680.0,10.525,-15.329999999999998,109.03000000000004,93.69999999999996,8.287205667640793,103.27955589886444,6.112884843599716,30.15121335314163,20.730066730878278,20.29641457116115
2210,45240,Richard Jefferson,DEN,205.0,-6.0,SF/PF,2017-12-26,21700503.0,1.0,UTA,98.4,17.4,13.9,27.3,78.3,52.6,52.8,56.000000000000014,107.9,106.60000000000002,0.0,3000.0,0.0,210.09999999999994,51.50000000000006,261.6,0.0,0.0,3000.0,5.684341886080802e-14,1.4210854715202004e-14,-5.684341886080802e-14,0.0,0.0,0.0,0.0,0.0,1.1368683772161604e-14,4.973799150320701e-14,0.0,3000.0,0.0,21.010000000000012,5.149999999999994,26.160000000000053,0.0,0.0,0.0,66.43945364013766,16.285729949867306,82.72518359000479
2216,45383,Zach Randolph,SAC,205.0,5.0,PF/C,2017-12-26,21700505.0,0.0,LAC,96.5,16.3,13.5,21.400000000000006,76.0,47.7,49.9,52.499999999999986,99.5,109.4,0.0,6000.0,0.0,-40.29999999999996,132.9,92.60000000000011,30.3,38.525,6080.0,116.0,122.90000000000012,6.9000000000000306,38.525,3.5916569992135656,728.4687135812126,10.199026369653568,110.60999999999993,-2.3200000000000025,108.27000000000002,27.1,6160.0,33.65,-8.470000000000002,113.75999999999992,105.27000000000002,10.15928693910704,661.9835513230086,15.195576841816685,25.07074656513708,16.901952549927504,17.79800550623577
2225,45269,Tony Parker,SAS,207.0,-11.0,PG,2017-12-26,21700502.0,1.0,BKN,96.5,17.2,13.3,23.8,79.6,51.9,51.3,54.9,105.1,101.5,0.0,4200.0,0.0,13.200000000000003,90.00000000000001,103.20000000000002,20.6,19.375,3980.0,117.30000000000003,118.4,1.1000000000000032,19.375,3.272783388968946,234.75755815545355,6.95346636178277,101.56999999999998,1.5400000000000116,103.09999999999995,18.8,4000.0,17.425,0.2400000000000116,101.11999999999998,101.34999999999995,7.315128919650771,244.9489742783179,9.264665551317963,17.690311221431664,14.179547085699,16.784930410606023
2617,45324,Udonis Haslem,MIA,205.0,-7.0,PF/C,2017-12-26,21700500.0,1.0,ORL,97.0,16.7,14.8,19.3,79.0,49.4,52.8,55.9,103.0,104.4,0.0,3000.0,0.0,5.329070518200751e-15,1.4210854715202004e-14,0.0,3.2,1.05,3000.0,91.40000000000002,103.7,12.300000000000006,1.05,4.709328803319831,0.0,1.4033689623347267,48.52,22.120000000000005,70.64,3.2,3000.0,1.05,22.120000000000005,48.52,70.64,4.709328803319831,0.0,1.4033689623347267,40.68108487573392,51.97413459276322,82.82018272538807
