GAME_ID,tdate,player_id,Target,avg(t2.DKFPS),std(t2.DKFPS),min(t2.DKFPS),max(t2.DKFPS),avg(t2.MIN),min(s1.salary),max(s1.salary),avg(s1.salary),team,ou,odds,home,OPP
21600021,21600021-201566,201566,89.25,61.5,0,61.5,61.5,36.0000,11500,11500,11500.0000,OKC,209,-8,1,PHX
21600025,21600025-201939,201939,38.25,35.25,0,35.25,35.25,34.0000,9600,9600,9600.0000,GSW,224,-12,0,NOP
21600036,21600036-201939,201939,35.75,36.75,1.5,35.25,38.25,34.0000,9300,9600,9450.0000,GSW,227,-12,0,PHX
21600040,21600040-201566,201566,78.25,75.375,13.875,61.5,89.25,40.5000,11500,11800,11650.0000,OKC,216,-9,1,LAL
21600054,21600054-201939,201939,40,36.416666666666664,1.312334645668635,35.25,38.25,34.0000,8900,9600,9266.6667,GSW,226,-6,0,POR
21600064,21600064-201566,201566,52.5,76.33333333333333,11.40966938852987,61.5,89.25,38.3333,11500,12200,11833.3333,OKC,209,8,0,LAC
21600069,21600069-201566,201566,48,70.375,14.287778868669546,52.5,89.25,37.0000,11500,12900,12100.0000,OKC,223,12,0,GSW
21600069,21600069-201939,201939,39.25,37.3125,1.92333531917864,35.25,40,32.7500,8900,9600,9250.0000,GSW,223,-12,1,OKC
21600078,21600078-201939,201939,44.5,37.7,1.8867962264113207,35.25,40,32.2000,8800,9600,9160.0000,GSW,229,-12,0,LAL
21600079,21600079-201566,201566,54.5,70.375,14.287778868669546,52.5,89.25,37.0000,11500,12900,12100.0000,OKC,210,-5,1,MIN
21600097,21600097-201566,201566,36.25,68.625,15.632997953047903,52.5,89.25,35.0000,11800,12900,12350.0000,OKC,203,-6,1,MIA
21600099,21600099-201939,201939,69.75,38.3125,1.6044372066241794,35.75,40,31.7500,8800,9300,9050.0000,GSW,221,-17,1,NOP
21600112,21600112-201566,201566,58.75,55.375,14.983845467702876,36.25,78.25,30.5000,12200,12900,12450.0000,OKC,204,-4,1,TOR
