GAME_ID,tdate,player_id,Target,avg(t2.DKFPS),std(t2.DKFPS),min(t2.DKFPS),max(t2.DKFPS),avg(t2.MIN),min(s1.salary),max(s1.salary),avg(s1.salary),DISPLAY_FIRST_LAST,team,ou,odds,home,OPP
21700267,21700267-1626178,1626178,29.650000,29.1875,7.824990015968072,18.5,40.5,29.0000,6200,6200,6200.0000,Rondae Hollis-Jefferson,BKN,211,5,1,POR
21700267,21700267-1626192,1626192,7.970000,8.25,3.758324094593227,5,15.5,12.0000,3000,3000,3000.0000,Pat Connaughton,POR,211,-5,0,BKN
21700267,21700267-1627747,1627747,18.810000,24.375,3.6249999999999996,19,29,22.2500,4100,4100,4100.0000,Caris LeVert,BKN,211,5,1,POR
21700267,21700267-1627774,1627774,0.890000,2.5833333333333335,2.144113388378101,0,5.25,4.0000,3000,3000,3000.0000,Jake Layman,POR,211,-5,0,BKN
21700267,21700267-1627785,1627785,4.090000,4.625,2.625,2,7.25,8.0000,3500,3500,3500.0000,Isaiah Whitehead,BKN,211,5,1,POR
21700267,21700267-1628380,1628380,1.610000,1.25,2.25,-1,3.5,2.5000,3000,3000,3000.0000,Zach Collins,POR,211,-5,0,BKN
21700267,21700267-1628386,1628386,10.390000,10.5,4.420595736624948,4.75,15.5,13.3333,3000,3000,3000.0000,Jarrett Allen,BKN,211,5,1,POR
21700267,21700267-1628403,1628403,2.350000,2.875,4.218634257671551,-0.5,10,5.2500,3700,3700,3700.0000,Caleb Swanigan,POR,211,-5,0,BKN
21700267,21700267-201960,201960,27.350000,25.1875,7.1203383873240185,17.75,35.25,31.5000,5600,5600,5600.0000,DeMarre Carroll,BKN,211,5,1,POR
21700267,21700267-202323,202323,20.540000,9.15,4.657252408878008,2.5,16.5,22.6000,4400,4400,4400.0000,Evan Turner,POR,211,-5,0,BKN
21700267,21700267-202334,202334,15.050000,14.85,3.9484174044799265,10.25,22,18.4000,3400,3400,3400.0000,Ed Davis,POR,211,-5,0,BKN
21700267,21700267-202344,202344,22.210000,17.833333333333332,9.63140119031955,4.25,25.5,21.3333,4700,4700,4700.0000,Trevor Booker,BKN,211,5,1,POR
21700267,21700267-203081,203081,45.620000,41,7.546522377890361,30.25,53.25,35.8000,8800,8800,8800.0000,Damian Lillard,POR,211,-5,0,BKN
21700267,21700267-203086,203086,4.770000,9.125,8.889073348780514,0,21.25,11.7500,3200,3200,3200.0000,Meyers Leonard,POR,211,-5,0,BKN
21700267,21700267-203090,203090,12.280000,9.15,5.62716624954337,1,15.75,22.0000,3500,3500,3500.0000,Maurice Harkless,POR,211,-5,0,BKN
21700267,21700267-203092,203092,16.200000,14,3.9738730058554546,8.5,17.75,20.3333,3400,3400,3400.0000,Tyler Zeller,BKN,211,5,1,POR
21700267,21700267-203112,203112,14.950000,12.1875,0.5962120008855909,11.5,13,19.5000,3300,3300,3300.0000,Quincy Acy,BKN,211,5,1,POR
21700267,21700267-203459,203459,24.320000,30.6875,4.790534286486216,25,38.25,31.7500,4800,4800,4800.0000,Allen Crabbe,BKN,211,5,1,POR
21700267,21700267-203468,203468,33.470000,31.35,10.359295342830999,11.75,40,36.8000,7200,7200,7200.0000,CJ McCollum,POR,211,-5,0,BKN
21700267,21700267-203894,203894,22.020000,23.35,7.735631842325486,10.5,32,24.8000,3700,3700,3700.0000,Shabazz Napier,POR,211,-5,0,BKN
21700267,21700267-203915,203915,32.070000,38.3125,8.09393098253253,27.75,50.25,30.7500,6600,6600,6600.0000,Spencer Dinwiddie,BKN,211,5,1,POR
21700267,21700267-203925,203925,15.690000,22.25,11.015613918434143,6.5,36.75,23.2500,3500,3500,3500.0000,Joe Harris,BKN,211,5,1,POR
21700267,21700267-203930,203930,4.240000,5.5,3.8944404818493075,0,8.5,7.0000,3400,3400,3400.0000,Sean Kilpatrick,BKN,211,5,1,POR
21700267,21700267-203943,203943,19.280000,21.2,10.542058622489252,14.25,42,22.8000,3500,3500,3500.0000,Noah Vonleh,POR,211,-5,0,BKN
21700267,21700267-203994,203994,32.610000,25.3,6.427285585688566,16.25,31.75,28.0000,6500,6500,6500.0000,Jusuf Nurkic,POR,211,-5,0,BKN
21700268,21700268-101127,101127,20.460000,19.4375,5.512414965330532,13,26.5,28.0000,3800,3800,3800.0000,Jarrett Jack,NYK,208,-2,0,ATL
21700268,21700268-101141,101141,8.170000,7.833333333333333,4.656238348232998,2.75,14,10.0000,3800,3800,3800.0000,Ersan Ilyasova,ATL,208,2,1,NYK
21700268,21700268-1626195,1626195,2.320000,3.125,0.375,2.75,3.5,3.5000,3400,3400,3400.0000,Willy Hernangomez,NYK,208,-2,0,ATL
21700268,21700268-1627098,1627098,13.120000,11,4.2019340784929025,7,18,23.2500,3400,3400,3400.0000,Malcolm Delaney,ATL,208,2,1,NYK
21700268,21700268-1627752,1627752,26.140000,27.1875,11.071324164254246,10.75,41.25,31.2500,5200,5200,5200.0000,Taurean Prince,ATL,208,2,1,NYK
21700268,21700268-1627761,1627761,9.780000,3.25,3.9104560688833554,0,8.75,6.0000,3000,3000,3000.0000,DeAndre' Bembry,ATL,208,2,1,NYK
21700268,21700268-1628373,1628373,14.540000,8.8125,5.813172004164335,-0.5,15.5,16.0000,4000,4000,4000.0000,Frank Ntilikina,NYK,208,-2,0,ATL
21700268,21700268-1628381,1628381,30.270000,31.75,6.361505324999737,22.5,39.5,30.2500,4800,4800,4800.0000,John Collins,ATL,208,2,1,NYK
21700268,21700268-1628422,1628422,0.810000,3.75,3.75,0,7.5,7.0000,3300,3300,3300.0000,Damyean Dotson,NYK,208,-2,0,ATL
21700268,21700268-1628463,1628463,8.300000,8.125,6.01690327327937,1.5,17.75,13.2500,3300,3300,3300.0000,Tyler Cavanaugh,ATL,208,2,1,NYK
21700268,21700268-201158,201158,22.970000,20.8125,7.577464533074371,9.5,30.75,25.5000,3800,3800,3800.0000,Marco Belinelli,ATL,208,2,1,NYK
21700268,21700268-201196,201196,1.170000,9.375,3.375,6,12.75,7.5000,3300,3300,3300.0000,Ramon Sessions,NYK,208,-2,0,ATL
21700268,21700268-201563,201563,4.350000,11.125,6.875,4.25,18,8.0000,3300,3300,3300.0000,Michael Beasley,NYK,208,-2,0,ATL
21700268,21700268-201584,201584,25.350000,29.0625,6.994138170639753,19,37.75,33.5000,4600,4600,4600.0000,Courtney Lee,NYK,208,-2,0,ATL
21700268,21700268-202498,202498,9.850000,7.75,3.3024612034057266,3.25,12.5,13.7500,3400,3400,3400.0000,Lance Thomas,NYK,208,-2,0,ATL
21700268,21700268-202683,202683,30.810000,27.25,8.257572282456872,19,40,28.2500,6100,6100,6100.0000,Enes Kanter,NYK,208,-2,0,ATL
21700268,21700268-203124,203124,16.580000,13.6875,3.0790369841884004,11,18.5,14.2500,3500,3500,3500.0000,Kyle O'Quinn,NYK,208,-2,0,ATL
21700268,21700268-203145,203145,28.040000,23.5,5.165994579942956,19.25,32.25,26.7500,5400,5400,5400.0000,Kent Bazemore,ATL,208,2,1,NYK
21700268,21700268-203471,203471,37.120000,35.875,4.295710069359895,31.5,43,31.5000,6600,6600,6600.0000,Dennis Schroder,ATL,208,2,1,NYK
21700268,21700268-203473,203473,26.460000,32.4375,13.798069384881352,17.5,55,25.5000,5100,5100,5100.0000,Dewayne Dedmon,ATL,208,2,1,NYK
21700268,21700268-203501,203501,31.740000,41.125,12.828800606447977,27.75,61,33.2500,6600,6600,6600.0000,Tim Hardaway Jr.,NYK,208,-2,0,ATL
21700268,21700268-203705,203705,2.520000,16.5,0,16.5,16.5,15.0000,3000,3000,3000.0000,Josh Magette,ATL,208,2,1,NYK
21700268,21700268-203926,203926,15.770000,17.75,4.653627617246571,12.5,25.25,25.7500,3500,3500,3500.0000,Doug McDermott,NYK,208,-2,0,ATL
21700268,21700268-204001,204001,39.830000,38.3125,7.8687971603034725,25.5,46,33.7500,8900,8900,8900.0000,Kristaps Porzingis,NYK,208,-2,0,ATL
21700269,21700269-1626179,1626179,19.520000,12.05,8.053570636680353,2.5,23,19.8000,4400,4400,4400.0000,Terry Rozier,BOS,209,-8,1,ORL
21700269,21700269-1626209,1626209,2.170000,7.625,4.375,3.25,12,11.0000,3000,3000,3000.0000,Mario Hezonja,ORL,209,8,0,BOS
21700269,21700269-1627759,1627759,30.230000,32.15,6.727926872373094,20.75,40.25,33.6000,6500,6500,6500.0000,Jaylen Brown,BOS,209,-8,1,ORL
21700269,21700269-1627846,1627846,1.500000,-0.5,0,-0.5,-0.5,4.0000,3000,3000,3000.0000,Abdel Nader,BOS,209,-8,1,ORL
21700269,21700269-1628369,1628369,30.010000,30.95,6.605679374598801,18.5,37.75,31.6000,5700,5700,5700.0000,Jayson Tatum,BOS,209,-8,1,ORL
21700269,21700269-1628400,1628400,3.330000,3.1,2.8398943642325856,0,8.25,9.0000,3200,3200,3200.0000,Semi Ojeleye,BOS,209,-8,1,ORL
21700269,21700269-1628464,1628464,5.740000,5.3,4.495553358597805,2.5,14.25,6.6000,3300,3300,3300.0000,Daniel Theis,BOS,209,-8,1,ORL
21700269,21700269-201143,201143,36.440000,30.65,4.088398219351926,24.5,36.25,34.4000,6900,6900,6900.0000,Al Horford,BOS,209,-8,1,ORL
21700269,21700269-201167,201167,5.260000,8.666666666666666,6.989078782087252,0.75,17.75,16.0000,3000,3000,3000.0000,Arron Afflalo,ORL,209,8,0,BOS
21700269,21700269-201578,201578,11.570000,15.1875,3.3371722685531235,10,19.25,12.7500,3100,3100,3100.0000,Marreese Speights,ORL,209,8,0,BOS
21700269,21700269-202681,202681,40.480000,43.1,10.518555033843766,34.25,62.75,33.2000,8300,8300,8300.0000,Kyrie Irving,BOS,209,-8,1,ORL
21700269,21700269-202687,202687,13.430000,13.3125,3.684320663297374,8.75,18.25,17.2500,3200,3200,3200.0000,Bismack Biyombo,ORL,209,8,0,BOS
21700269,21700269-202694,202694,21.050000,26.85,4.856953777832356,22.5,36,24.4000,4900,4900,4900.0000,Marcus Morris,BOS,209,-8,1,ORL
21700269,21700269-202696,202696,34.620000,34.5625,9.820856314497226,22.5,49.25,29.5000,6600,6600,6600.0000,Nikola Vucevic,ORL,209,8,0,BOS
21700269,21700269-202714,202714,3.370000,8.75,2,6.75,10.75,13.5000,3400,3400,3400.0000,Shelvin Mack,ORL,209,8,0,BOS
21700269,21700269-203082,203082,19.510000,20.9375,6.6670247299676335,14.25,32,26.2500,3700,3700,3700.0000,Terrence Ross,ORL,209,8,0,BOS
21700269,21700269-203095,203095,27.850000,24.625,4.839615170651485,18.25,30.25,31.7500,5900,5900,5900.0000,Evan Fournier,ORL,209,8,0,BOS
21700269,21700269-203382,203382,13.230000,7.85,2.7910571473905725,5.5,13.25,12.4000,3500,3500,3500.0000,Aron Baynes,BOS,209,-8,1,ORL
21700269,21700269-203499,203499,4.390000,3.75,2.4558603380485624,0,6.5,8.2500,3200,3200,3200.0000,Shane Larkin,BOS,209,-8,1,ORL
21700269,21700269-203613,203613,19.300000,16.8125,4.87459934251011,10,23.75,23.0000,4200,4200,4200.0000,Jonathon Simmons,ORL,209,8,0,BOS
