Salary,max(s2.salary),avg(s2.salary),min(s2.salary),stddev(s2.salary),avg(t2.DKFPS),std(t2.DKFPS),min(t2.DKFPS),max(t2.DKFPS),player_id,Position,Team,ou,odds,Home,OPP,Target,game_id,Name,AdaBoost,Neural Network,Random Forest
3100,3100,3066.6667,3000,47.14045208,17.08333333,3.828801669,10,21.25,201578,PF/C,ORL,221,6,0,PHI,,21700278,Marreese Speights,13,17.07816359,12.30527778
3900,3700,3650,3500,76.37626158,17.75,7.968688725,5,32,203082,SG/SF,ORL,221,6,0,PHI,,21700278,Terrence Ross,18.75,22.02770188,18.10541667
6400,7000,6316.6667,5700,421.9662967,23.54166667,8.842860428,13,41.5,203901,PG,ORL,221,6,0,PHI,,21700278,Elfrid Payton,27.25,31.05302407,33.42827381
3000,3000,3000,3000,0,6.25,3.386554296,3.25,12,1626209,PG/SF,ORL,221,6,0,PHI,,21700278,Mario Hezonja,5,8.010647138,9.038690476
3000,3000,3000,3000,0,8.45,6.15913955,0.75,17.75,201167,SG/SF,ORL,221,6,0,PHI,,21700278,Arron Afflalo,8.25,11.190164,8.120416667
3200,3200,3200,3200,0,16.33333333,5.265189666,8.75,23.5,202687,PF/C,ORL,221,6,0,PHI,,21700278,Bismack Biyombo,11.5,17.61180757,14.57291667
6100,6400,6233.3333,5900,179.5054936,23.79166667,4.83566754,17.75,30.25,203095,SG/SF,ORL,221,6,0,PHI,,21700278,Evan Fournier,26.75,31.12982148,26.07285714
7000,7400,7033.3333,6500,309.1206165,30.5,7.251436639,23.25,44.25,203932,SF/PF,ORL,221,6,0,PHI,,21700278,Aaron Gordon,28.5,31.8341759,35.6946627
3700,4200,4025,3700,204.6338193,10.75,6.336895928,1.75,19,201571,PG/SG,ORL,221,6,0,PHI,,21700278,D.J. Augustin,11.25,17.02876592,13.36388889
6700,7300,6966.6667,6600,228.52182,35.20833333,8.102747305,22.5,49.25,202696,C,ORL,221,6,0,PHI,,21700278,Nikola Vucevic,34.25,35.59620903,40.11755952
3400,3700,3475,3400,129.9038106,13.4375,5.371728656,6.75,21.25,202714,PG,ORL,221,6,0,PHI,,21700278,Shelvin Mack,12.75,16.87182932,17.29083333
4400,4600,4450,4200,138.443731,18.58333333,4.9867881,10,25,203613,SG/SF,ORL,221,6,0,PHI,,21700278,Jonathon Simmons,19.5,24.63216769,21.49097222
4100,3600,3600,3600,0,8.625,5.375,3.25,14,1626158,PF/C,PHI,221,-6,1,ORL,,21700278,Richaun Holmes,12,14.45596499,12.525
4900,5000,4860,4800,80,25.6,4.479397281,20.25,31,200755,SG/SF,PHI,221,-6,1,ORL,,21700278,J.J. Redick,23.5,25.3664453,31.52083333
4000,4700,4320,4000,248.1934729,19.85,5.501363467,11.75,28.75,204456,PG,PHI,221,-6,1,ORL,,21700278,T.J. McConnell,25.5,22.32289874,24.56785714
3000,3000,3000,3000,0,0,0,0,0,1627788,SG/SF,PHI,221,-6,1,ORL,,21700278,Furkan Korkmaz,1.25,10.17365254,4.715
