GAME_ID,tdate,player_id,Target,avg(t2.DKFPS),std(t2.DKFPS),min(t2.DKFPS),max(t2.DKFPS),avg(t2.MIN),min(s1.salary),max(s1.salary),avg(s1.salary),DISPLAY_FIRST_LAST,id,fantasy_pts,avg_pts,fpts_diff,player_name,date,salary,salary_change,salary_diff,salary_diff_percentage,GAME_ID,GAME_DATE,Player_ID,team,ou,odds,home,OPP
21700267,21700267-203112,203112,?,12.1875,0.596212001,11.5,13,19.5,3300,3300,3300,Quincy Acy,134,14.95,13.02,1.93,Quincy Acy,11/22/17,3300,0,0,0,21700267,11/24/17,203112,BKN,211,5,1,POR
21700267,21700267-203915,203915,?,38.3125,8.093930983,27.75,50.25,30.75,6600,6600,6600,Spencer Dinwiddie,22,32.07,26.69,5.38,Spencer Dinwiddie,11/22/17,6600,4.8,300,4.8,21700267,11/24/17,203915,BKN,211,5,1,POR
21700267,21700267-203930,203930,?,5.5,3.894440482,0,8.5,7,3400,3400,3400,Sean Kilpatrick,126,4.24,7.5,-3.26,Sean Kilpatrick,11/22/17,3400,0,0,0,21700267,11/24/17,203930,BKN,211,5,1,POR
21700267,21700267-202344,202344,?,17.83333333,9.63140119,4.25,25.5,21.3333,4700,4700,4700,Trevor Booker,88,22.21,21.46,0.75,Trevor Booker,11/22/17,4700,-2.1,-100,-2.1,21700267,11/24/17,202344,BKN,211,5,1,POR
21700268,21700268-203501,203501,?,41.125,12.82880061,27.75,61,33.25,6600,6600,6600,Tim Hardaway Jr.,103,31.74,32.54,-0.8,Tim Hardaway Jr.,11/22/17,6600,1.5,100,1.5,21700268,11/24/17,203501,NYK,208,-2,0,ATL
21700268,21700268-203926,203926,?,17.75,4.653627617,12.5,25.25,25.75,3500,3500,3500,Doug McDermott,218,15.77,14.93,0.84,Doug McDermott,11/22/17,3500,0,0,0,21700268,11/24/17,203926,NYK,208,-2,0,ATL
21700268,21700268-201196,201196,?,9.375,3.375,6,12.75,7.5,3300,3300,3300,Ramon Sessions,58,1.17,13.71,-12.54,Ramon Sessions,11/22/17,3300,-2.9,-100,-2.9,21700268,11/24/17,201196,NYK,208,-2,0,ATL
21700268,21700268-201584,201584,?,29.0625,6.994138171,19,37.75,33.5,4600,4600,4600,Courtney Lee,83,25.35,24.25,1.1,Courtney Lee,11/22/17,4600,-2.1,-100,-2.1,21700268,11/24/17,201584,NYK,208,-2,0,ATL
21700268,21700268-202683,202683,?,27.25,8.257572282,19,40,28.25,6100,6100,6100,Enes Kanter,100,30.81,30.43,0.38,Enes Kanter,11/22/17,6100,1.7,100,1.7,21700268,11/24/17,202683,NYK,208,-2,0,ATL
21700268,21700268-101127,101127,?,19.4375,5.512414965,13,26.5,28,3800,3800,3800,Jarrett Jack,63,20.46,16.75,3.71,Jarrett Jack,11/22/17,3800,2.7,100,2.7,21700268,11/24/17,101127,NYK,208,-2,0,ATL
