max(s1.salary),max(s2.salary),avg(s2.salary),min(s2.salary),stddev(s2.salary),avg(t2.DKFPS),std(t2.DKFPS),min(t2.DKFPS),max(t2.DKFPS),player_id,Position,team,ou,odds,home,OPP,Target,game_id,Name,AdaBoost,Neural Network,Random Forest
continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,discrete,discrete,continuous,continuous,discrete,discrete,continuous,continuous,string,continuous,continuous,continuous
,,,,,,,,,,,,,,,,class,meta,meta,meta,meta,meta
3700.0,4200.0,4025.0,3700.0,204.633819297,10.75,6.33689592782,1.75,19.0,201571.0,PG/SG,ORL,221.0,6.0,0,PHI,,21700278.0,D.J. Augustin,11.25,17.028765921572454,13.36388888888889
6700.0,7300.0,6966.6667,6600.0,228.521820013,35.2083333333,8.10274730501,22.5,49.25,202696.0,C,ORL,221.0,6.0,0,PHI,,21700278.0,Nikola Vucevic,34.25,35.59620902881095,40.117559523809526
3400.0,3700.0,3475.0,3400.0,129.903810568,13.4375,5.37172865566,6.75,21.25,202714.0,PG,ORL,221.0,6.0,0,PHI,,21700278.0,Shelvin Mack,12.75,16.871829315899426,17.290833333333335
4400.0,4600.0,4450.0,4200.0,138.443731049,18.5833333333,4.98678810013,10.0,25.0,203613.0,SG/SF,ORL,221.0,6.0,0,PHI,,21700278.0,Jonathon Simmons,19.5,24.63216768971128,21.49097222222222
4100.0,3600.0,3600.0,3600.0,0.0,8.625,5.375,3.25,14.0,1626158.0,PF/C,PHI,221.0,-6.0,1,ORL,,21700278.0,Richaun Holmes,12.0,14.45596498520933,12.525000000000002
4900.0,5000.0,4860.0,4800.0,80.0,25.6,4.47939728089,20.25,31.0,200755.0,SG/SF,PHI,221.0,-6.0,1,ORL,,21700278.0,J.J. Redick,23.5,25.366445301318542,31.520833333333332
4000.0,4700.0,4320.0,4000.0,248.19347292,19.85,5.50136346736,11.75,28.75,204456.0,PG,PHI,221.0,-6.0,1,ORL,,21700278.0,T.J. McConnell,25.5,22.322898738347085,24.567857142857143
3000.0,3000.0,3000.0,3000.0,0.0,0.0,0.0,0.0,0.0,1627788.0,SG/SF,PHI,221.0,-6.0,1,ORL,,21700278.0,Furkan Korkmaz,1.25,10.173652538295073,4.715
6200.0,6300.0,6140.0,5800.0,185.47236991,35.0,10.5498815159,23.0,54.0,203496.0,SF/PF,PHI,221.0,-6.0,1,ORL,,21700278.0,Robert Covington,30.5,34.46328736535826,35.26061507936508
9800.0,10000.0,9280.0,7900.0,870.40220588,53.9,19.980365362,35.5,90.75,203954.0,C,PHI,221.0,-6.0,1,ORL,,21700278.0,Joel Embiid,44.25,48.216547112513325,47.597767857142856
3600.0,3600.0,3300.0,3200.0,173.205080757,18.0625,12.396288507,1.0,33.25,101161.0,PF/C,PHI,221.0,-6.0,1,ORL,,21700278.0,Amir Johnson,17.25,20.425449316336966,18.038194444444446
3100.0,3100.0,3100.0,3100.0,0.0,12.0,3.60555127546,6.5,17.25,1627789.0,SG/SF,PHI,221.0,-6.0,1,ORL,,21700278.0,Timothe Luwawu-Cabarrot,11.0,12.499233687542375,11.639583333333333
3700.0,3900.0,3800.0,3700.0,100.0,4.75,1.25,3.5,6.0,201573.0,PG/SG,PHI,221.0,-6.0,1,ORL,,21700278.0,Jerryd Bayless,6.0,13.94568858638904,10.274761904761904
5100.0,5000.0,4660.0,4500.0,185.47236991,23.5,9.61249187256,11.25,39.75,203967.0,PF/C,PHI,221.0,-6.0,1,ORL,,21700278.0,Dario Saric,27.25,26.237548126377742,21.205000000000002
5000.0,5700.0,5400.0,5200.0,189.73665961,16.2,6.91628513004,6.0,27.75,200752.0,SF/PF,SAS,201.0,1.0,0,CHA,,21700277.0,Rudy Gay,23.75,16.920981651948754,20.5875
3600.0,3700.0,3660.0,3500.0,80.0,3.25,2.15058131676,1.25,6.75,203464.0,SG,SAS,201.0,1.0,0,CHA,,21700277.0,Brandon Paul,9.5,9.978677951505432,11.325
4700.0,4600.0,4520.0,4500.0,40.0,26.95,7.36444159458,15.25,38.5,203937.0,PG/SF,SAS,201.0,1.0,0,CHA,,21700277.0,Kyle Anderson,20.75,20.543995213383923,23.508125
3000.0,3000.0,3000.0,3000.0,0.0,4.85,4.94368283772,0.0,13.75,202722.0,SF/PF,SAS,201.0,1.0,0,CHA,,21700277.0,Davis Bertans,13.0,7.987228106267215,14.518630952380954
5700.0,6500.0,6200.0,5900.0,200.0,26.8,9.17523841652,14.25,38.75,2200.0,PF/C,SAS,201.0,1.0,0,CHA,,21700277.0,Pau Gasol,25.75,22.456130326479983,29.7425
4400.0,4600.0,4420.0,4300.0,146.969384567,15.0,8.98331787259,6.75,30.75,1627749.0,PG,SAS,201.0,1.0,0,CHA,,21700277.0,Dejounte Murray,20.0,12.203210613074575,21.982348484848487
3700.0,3800.0,3760.0,3600.0,80.0,12.95,6.75906798309,4.0,24.5,1938.0,SG/SF,SAS,201.0,1.0,0,CHA,,21700277.0,Manu Ginobili,15.5,10.603859152017838,16.20236111111111
4500.0,4600.0,4540.0,4400.0,80.0,23.75,12.1511316345,10.5,44.5,201980.0,SG/SF,SAS,201.0,1.0,0,CHA,,21700277.0,Danny Green,21.5,16.227115509125944,23.974047619047617
3700.0,3900.0,3860.0,3700.0,80.0,8.75,5.57000897665,1.5,15.25,1627854.0,PG/SG,SAS,201.0,1.0,0,CHA,,21700277.0,Bryn Forbes,14.0,8.62801563761569,15.078154761904761
7700.0,8500.0,8200.0,8000.0,167.332005307,36.35,9.17414846185,21.5,48.75,200746.0,PF/C,SAS,201.0,1.0,0,CHA,,21700277.0,LaMarcus Aldridge,37.0,44.56416823133214,39.3994264069264
4400.0,4500.0,4320.0,4000.0,193.907194297,25.6,10.0319489632,12.25,37.25,201988.0,PG,SAS,201.0,1.0,0,CHA,,21700277.0,Patty Mills,17.25,16.08758679925878,21.466666666666665
3000.0,3000.0,3000.0,3000.0,0.0,7.9,3.79670910131,1.5,12.75,203530.0,PF/C,SAS,201.0,1.0,0,CHA,,21700277.0,Joffrey Lauvergne,9.25,7.956415829601076,14.008333333333335
3700.0,4000.0,3850.0,3800.0,76.3762615826,21.1666666667,7.06910335348,8.5,31.0,101107.0,SF/PF,CHA,201.0,-1.0,1,SAS,,21700277.0,Marvin Williams,17.0,20.97106599920265,19.190416666666668
3600.0,4100.0,3775.0,3600.0,204.633819297,3.125,3.00780235388,0.0,8.0,1628370.0,PG/SG,CHA,201.0,-1.0,1,SAS,,21700277.0,Malik Monk,2.0,9.100424266405103,11.61065476190476
7600.0,8200.0,7866.6667,7400.0,262.466929134,40.6666666667,11.2765119706,27.0,64.0,202689.0,PG,CHA,201.0,-1.0,1,SAS,,21700277.0,Kemba Walker,39.25,38.27165607447995,36.65845238095238
3800.0,4000.0,3983.3333,3900.0,37.267799625,16.875,10.159919209,0.5,33.75,1626163.0,PF/C,CHA,201.0,-1.0,1,SAS,,21700277.0,Frank Kaminsky,11.75,16.97141136619164,15.870833333333332
3400.0,3400.0,3400.0,3400.0,0.0,5.54166666667,2.72112364454,1.5,9.0,1628407.0,SG/SF,CHA,201.0,-1.0,1,SAS,,21700277.0,Dwayne Bacon,7.5,9.439370355670436,11.752261904761905
6000.0,6300.0,5880.0,4600.0,649.30732323,24.15,10.4410248539,7.25,33.75,201587.0,SG/SF,CHA,201.0,-1.0,1,SAS,,21700277.0,Nicolas Batum,28.0,26.250748878051976,23.63139880952381
3600.0,4000.0,3700.0,3600.0,152.752523165,14.0,3.06526235962,8.75,17.5,203469.0,C,CHA,201.0,-1.0,1,SAS,,21700277.0,Cody Zeller,14.75,16.84685468774012,13.754821428571429
4000.0,4200.0,4083.3333,4000.0,68.7184270936,22.9583333333,8.0278378506,15.5,37.5,203077.0,SF,CHA,201.0,-1.0,1,SAS,,21700277.0,Michael Kidd-Gilchrist,22.25,23.68381774393235,16.61559523809524
3200.0,3200.0,3200.0,3200.0,0.0,18.25,7.13486159642,12.5,30.25,203487.0,PG,CHA,201.0,-1.0,1,SAS,,21700277.0,Michael Carter-Williams,14.5,17.233631394597232,11.147083333333333
6700.0,7200.0,6966.6667,6700.0,169.96731712,38.0,14.8884742894,15.25,57.0,2730.0,C,CHA,201.0,-1.0,1,SAS,,21700277.0,Dwight Howard,41.75,32.4282788658547,41.81
5400.0,5700.0,5266.6667,5100.0,205.480466766,31.9583333333,7.61634299093,24.75,47.25,203087.0,SG/SF,CHA,201.0,-1.0,1,SAS,,21700277.0,Jeremy Lamb,27.75,26.185459816429386,27.199374999999996
3700.0,3900.0,3720.0,3500.0,132.664991614,5.65,6.71118469423,-0.5,16.75,1628403.0,PF,POR,202.0,4.0,0,WAS,,21700279.0,Caleb Swanigan,5.25,9.024499364130348,10.555000000000001
3400.0,3700.0,3471.4286,3400.0,103.015750728,14.8928571429,3.54777883948,10.25,22.0,202334.0,PF/C,POR,202.0,4.0,0,WAS,,21700279.0,Ed Davis,17.25,14.750308152830133,17.93
3200.0,3200.0,3100.0,3000.0,100.0,9.125,8.88907334878,0.0,21.25,203086.0,PF/C,POR,202.0,4.0,0,WAS,,21700279.0,Meyers Leonard,11.0,10.997971977974615,9.472916666666666
6900.0,7300.0,7085.7143,6900.0,145.686271817,31.8928571429,9.61291648072,11.75,40.5,203468.0,PG/SG,POR,202.0,4.0,0,WAS,,21700279.0,C.J. McCollum,32.0,35.387688387431716,40.51708333333333
6300.0,7100.0,6785.7143,6500.0,203.038148622,30.4285714286,14.4757890765,16.25,63.25,203994.0,C,POR,202.0,4.0,0,WAS,,21700279.0,Jusuf Nurkic,36.25,34.497856024288474,31.67636904761905
3000.0,3000.0,3000.0,3000.0,0.0,7.92857142857,3.27248891113,5.0,15.5,1626192.0,SG/SF,POR,202.0,4.0,0,WAS,,21700279.0,Pat Connaughton,8.25,9.432666912620874,7.803015873015873
3500.0,3700.0,3528.5714,3500.0,69.9854212224,10.5357142857,5.3191509987,1.0,15.75,203090.0,SF/PF,POR,202.0,4.0,0,WAS,,21700279.0,Maurice Harkless,12.25,11.279851269865883,11.426785714285714
3000.0,3000.0,3000.0,3000.0,0.0,3.45,2.12367605816,0.0,6.0,1627774.0,SF/PF,POR,202.0,4.0,0,WAS,,21700279.0,Jake Layman,4.75,7.258393197592363,5.035654761904762
3900.0,3700.0,3428.5714,3100.0,243.276948085,19.8571428571,9.02759375358,5.75,32.0,203894.0,PG/SG,POR,202.0,4.0,0,WAS,,21700279.0,Shabazz Napier,14.5,17.592467078565775,18.07208333333333
3000.0,3000.0,3000.0,3000.0,0.0,2.08333333333,2.18263347562,-1.0,3.75,1628380.0,PF/C,POR,202.0,4.0,0,WAS,,21700279.0,Zach Collins,2.75,7.4096810470241925,2.5385714285714287
4200.0,4500.0,4371.4286,4200.0,88.0630571853,13.8214285714,8.37909205544,2.5,26.25,202323.0,SG/SF,POR,202.0,4.0,0,WAS,,21700279.0,Evan Turner,14.0,16.391315648664126,13.062599206349205
8500.0,9200.0,8857.1429,8300.0,266.496544374,42.9642857143,8.60899505856,30.25,57.0,203081.0,PG,POR,202.0,4.0,0,WAS,,21700279.0,Damian Lillard,40.5,45.65706197649992,43.420952380952386
