max(s1.salary),max(s2.salary),avg(s2.salary),min(s2.salary),stddev(s2.salary),avg(t2.DKFPS),std(t2.DKFPS),min(t2.DKFPS),max(t2.DKFPS),player_id,game_id,DISPLAY_FIRST_LAST,team,ou,odds,home,OPP
4600,4600,4325.0000,4100,178.53571071357132,26.125,4.875,19,32.75,201584,21700268,Courtney Lee,NYK,208,-2,0,ATL
3400,3400,3400.0000,3400,0,6.4375,1.898807191370414,3.25,8.25,202498,21700268,Lance Thomas,NYK,208,-2,0,ATL
6100,6600,6475.0000,6300,108.97247358851675,31.75,12.028611723719408,19,47,202683,21700268,Enes Kanter,NYK,208,-2,0,ATL
3500,3900,3700.0000,3600,122.47448713915891,12.125,3.879030162295725,8,18.5,203124,21700268,Kyle O'Quinn,NYK,208,-2,0,ATL
5400,5400,5125.0000,4900,192.0286436967152,29.0625,10.276452147993488,19.25,44.5,203145,21700268,Kent Bazemore,ATL,208,2,1,NYK
6600,7100,6700.0000,6300,291.54759474226495,32.9375,7.137872144413908,23,43,203471,21700268,Dennis Schroder,ATL,208,2,1,NYK
5100,5200,4975.0000,4600,227.7608394786074,30.1875,14.867513872534305,17.5,55,203473,21700268,Dewayne Dedmon,ATL,208,2,1,NYK
6600,6700,6500.0000,6200,212.13203435596435,39.875,10.935178325020583,27.75,56,203501,21700268,Tim Hardaway Jr.,NYK,208,-2,0,ATL
3500,3700,3550.0000,3500,86.60254037844383,15,6.96195015782216,6,25.25,203926,21700268,Doug McDermott,NYK,208,-2,0,ATL
8900,9600,9050.0000,8700,335.4101966249683,35.875,6.501201811972922,25.5,43.25,204001,21700268,Kristaps Porzingis,NYK,208,-2,0,ATL
4400,5300,4780.0000,4400,331.058907144937,13.65,10.494760597555334,2.5,31,1626179,21700269,Terry Rozier,BOS,209,-8,1,ORL
3000,3000,3000.0000,3000,0,6.75,3.7804320740712516,3.25,12,1626209,21700269,Mario Hezonja,ORL,209,8,0,BOS
6500,6700,6540.0000,6300,135.64659966250528,34.05,4.04783892960182,29,40.25,1627759,21700269,Jaylen Brown,BOS,209,-8,1,ORL
3000,3000,3000.0000,3000,0,-0.5,0,-0.5,-0.5,1627846,21700269,Abdel Nader,BOS,209,-8,1,ORL
5700,6300,6140.0000,6000,101.9803902718557,27.65,6.504998078400947,18.5,34.75,1628369,21700269,Jayson Tatum,BOS,209,-8,1,ORL
3200,3400,3240.0000,3200,79.99999999999997,3.45,2.726719640887196,0,8.25,1628400,21700269,Semi Ojeleye,BOS,209,-8,1,ORL
3300,3300,3300.0000,3300,0,8.35,6.701865411958076,2.5,18.5,1628464,21700269,Daniel Theis,BOS,209,-8,1,ORL
6900,7600,7480.0000,7200,159.99999999999997,31.45,4.316827538829875,24.5,36.25,201143,21700269,Al Horford,BOS,209,-8,1,ORL
3000,3000,3000.0000,3000,0,7.333333333333333,7.45076431575237,0.75,17.75,201167,21700269,Arron Afflalo,ORL,209,8,0,BOS
3100,3100,3050.0000,3000,49.99999999999994,17.8125,2.138742329033584,15.25,20.5,201578,21700269,Marreese Speights,ORL,209,8,0,BOS
8300,8500,8325.0000,8100,178.53571071357146,45.3125,10.66884336514507,35.25,62.75,202681,21700269,Kyrie Irving,BOS,209,-8,1,ORL
3200,3200,3200.0000,3200,0,16.4375,3.788861141556919,11,21.25,202687,21700269,Bismack Biyombo,ORL,209,8,0,BOS
4900,5000,4920.0000,4800,74.83314773547892,25.2,6.869133860975487,14.75,36,202694,21700269,Marcus Morris,BOS,209,-8,1,ORL
6600,7300,7075.0000,6800,178.53571071357132,34.25,9.774008901162306,22.5,49.25,202696,21700269,Nikola Vucevic,ORL,209,8,0,BOS
3400,3700,3500.0000,3400,141.4213562373095,10.833333333333334,3.3685638219012897,6.75,15,202714,21700269,Shelvin Mack,ORL,209,8,0,BOS
3700,3700,3625.0000,3500,82.915619758885,17.375,1.924350539792582,14.25,19.5,203082,21700269,Terrence Ross,ORL,209,8,0,BOS
5900,6400,6300.0000,6100,122.47448713915891,25.8125,4.563356084067952,18.25,30.25,203095,21700269,Evan Fournier,ORL,209,8,0,BOS
3500,4500,3820.0000,3500,354.400902933387,9.55,3.6138621999185303,5.5,14.5,203382,21700269,Aron Baynes,BOS,209,-8,1,ORL
3200,3800,3425.0000,3200,248.746859276655,3.6875,2.4709246750963496,0,6.5,203499,21700269,Shane Larkin,BOS,209,-8,1,ORL
4200,4600,4525.0000,4400,82.9156197588851,18.75,6.059599821770411,10,25,203613,21700269,Jonathon Simmons,ORL,209,8,0,BOS
5700,7000,6500.0000,6100,367.4234614174766,19.1875,4.1996093568330854,13,24.75,203901,21700269,Elfrid Payton,ORL,209,8,0,BOS
6500,7400,7175.0000,6800,227.76083947860755,28.875,3.978457615709887,23.75,34.5,203932,21700269,Aaron Gordon,ORL,209,8,0,BOS
5100,6300,5800.0000,5500,334.6640106136303,24.4,8.782938005018593,13.75,37.75,203935,21700269,Marcus Smart,BOS,209,-8,1,ORL
3800,4000,3875.0000,3800,82.915619758885,17.5,5.612486080160912,8.5,23.5,101107,21700270,Marvin Williams,CHA,221,5,0,CLE
3400,3400,3400.0000,3400,0,17,6.696547617989437,6.25,23,101112,21700270,Channing Frye,CLE,221,-5,1,CHA
3000,3000,3000.0000,3000,0,13.75,10.75,3,24.5,101181,21700270,Jose Calderon,CLE,221,-5,1,CHA
3900,4000,4000.0000,4000,0,20.125,8.625,10.5,33.75,1626163,21700270,Frank Kaminsky,CHA,221,5,0,CLE
3000,3000,3000.0000,3000,0,6.166666666666667,6.407460928913695,0,15,1626224,21700270,Cedi Osman,CLE,221,-5,1,CHA
3600,4100,3833.3333,3600,205.4804667656326,3.6666666666666665,3.299831645537222,0,8,1628370,21700270,Malik Monk,CHA,221,5,0,CLE
3400,3400,3400.0000,3400,0,5.5625,2.7063293868263707,1.5,9,1628407,21700270,Dwayne Bacon,CHA,221,5,0,CLE
3700,4400,4125.0000,4000,163.9359631075501,16.0625,4.143424760991805,12.25,22.75,201145,21700270,Jeff Green,CLE,221,-5,1,CHA
7700,7600,7475.0000,7400,82.915619758885,34.9375,11.435109039707491,15.5,45,201567,21700270,Kevin Love,CLE,221,-5,1,CHA
8200,7900,7725.0000,7400,204.63381929681123,42.3125,13.499276600988662,27,64,202689,21700270,Kemba Walker,CHA,221,5,0,CLE
4000,4200,4100.0000,4000,70.71067811865476,21.3125,9.349757684025827,15.5,37.5,203077,21700270,Michael Kidd-Gilchrist,CHA,221,5,0,CLE
5100,5700,5325.0000,5100,227.76083947860758,27.1875,1.4829763147130837,24.75,28.75,203087,21700270,Jeremy Lamb,CHA,221,5,0,CLE
3800,3900,3900.0000,3900,0,17.5,4.802343178074637,13.25,25.25,203109,21700270,Jae Crowder,CLE,221,-5,1,CHA
3600,4000,3750.0000,3600,165.83123951777,15.9375,1.3735788109897447,13.75,17.5,203469,21700270,Cody Zeller,CHA,221,5,0,CLE
3200,3200,3200.0000,3200,0,12.875,0.375,12.5,13.25,203487,21700270,Michael Carter-Williams,CHA,221,5,0,CLE
3000,3000,3000.0000,3000,0,2,0,2,2,204066,21700270,John Holland,CLE,221,-5,1,CHA
11200,11300,11025.0000,10700,238.4848003542362,54.8125,10.300750882824028,38,66,2544,21700270,LeBron James,CLE,221,-5,1,CHA
5200,5100,4800.0000,4600,187.08286933869707,33.625,11.86446901466728,22,52.75,2548,21700270,Dwyane Wade,CLE,221,-5,1,CHA
3600,3700,3600.0000,3500,70.71067811865476,19.875,7.995115696473691,13.25,33.25,2594,21700270,Kyle Korver,CLE,221,-5,1,CHA
7000,7200,7025.0000,6800,147.9019945774903,34.25,16.830961053962426,15.25,57,2730,21700270,Dwight Howard,CHA,221,5,0,CLE
4000,4300,4150.0000,3800,206.15528128088303,19.875,5.478651750202782,13,25.25,2747,21700270,JR Smith,CLE,221,-5,1,CHA
6700,7200,6900.0000,6700,167.33200530681518,29.7,11.183022847155414,17.75,49.75,1626167,21700271,Myles Turner,IND,217,2,1,TOR
3700,3900,3900.0000,3900,0,4.75,0,4.75,4.75,1626181,21700271,Norman Powell,TOR,217,-2,0,IND
3000,3000,3000.0000,3000,0,2.125,1.125,1,3.25,1626202,21700271,Joe Young,IND,217,2,1,TOR
5700,5900,5600.0000,5300,252.98221281347026,24.25,4.505552130427524,15.5,27.75,1627734,21700271,Domantas Sabonis,IND,217,2,1,TOR
3300,3700,3580.0000,3400,97.97958971132714,10.2,3.159905061864992,4.75,14.5,1627751,21700271,Jakob Poeltl,TOR,217,-2,0,IND
3800,3800,3640.0000,3600,80,19.85,7.849522278457461,9.75,32.5,1627783,21700271,Pascal Siakam,TOR,217,-2,0,IND
3500,3500,3100.0000,3000,200,17.35,4.45701693961331,10.5,22.25,1627832,21700271,Fred VanVleet,TOR,217,-2,0,IND
3700,3800,3300.0000,3000,368.7817782917155,13.35,5.566866263886712,7,23.5,1628384,21700271,OG Anunoby,TOR,217,-2,0,IND
3000,3000,3000.0000,3000,0,6.25,4.87660230078279,0,12.75,1628388,21700271,TJ Leaf,IND,217,2,1,TOR
8100,8200,7540.0000,6800,467.3328578219169,41.2,8.764131445842196,28.75,50.25,200768,21700271,Kyle Lowry,TOR,217,-2,0,IND
6000,6300,6100.0000,5700,219.08902300206637,24.35,8.821281086100816,10.75,32.75,201152,21700271,Thaddeus Young,IND,217,2,1,TOR
5000,5300,5125.0000,4900,147.90199457749034,19.4375,2.426256117972709,15.25,21,201586,21700271,Serge Ibaka,TOR,217,-2,0,IND
8400,8300,7780.0000,7100,406.93979898751604,45.1,7.830389517769853,34.75,58,201942,21700271,DeMar DeRozan,TOR,217,-2,0,IND
6000,6100,5920.0000,5500,222.71057451320087,30.55,9.017205775626948,16.5,45,201954,21700271,Darren Collison,IND,217,2,1,TOR
3600,3700,3500.0000,3300,126.49110640673516,21.3,6.069184459216905,9.25,25.5,202362,21700271,Lance Stephenson,IND,217,2,1,TOR
4800,5200,4980.0000,4700,172.04650534085255,18.6,7.442445834535849,9.25,31,202685,21700271,Jonas Valanciunas,TOR,217,-2,0,IND
3600,3700,3640.0000,3600,48.98979485566352,18.85,5.675825931087034,10.75,26.25,202709,21700271,Cory Joseph,IND,217,2,1,TOR
4500,4500,4420.0000,4300,74.83314773547883,27.1,10.350845376103345,13,40.75,202711,21700271,Bojan Bogdanovic,IND,217,2,1,TOR
3000,3000,3000.0000,3000,0,6.75,1.5,5.25,8.25,203485,21700271,Lorenzo Brown,TOR,217,-2,0,IND
8000,7700,7540.0000,7100,224.49944320643644,45.8,11.620456101203603,34,65.75,203506,21700271,Victor Oladipo,IND,217,2,1,TOR
3400,3400,3400.0000,3400,0,10.7,8.371678445807627,0,20,203512,21700271,Lucas Nogueira,TOR,217,-2,0,IND
3000,3000,3000.0000,3000,0,3.375,1.375,2,4.75,2863,21700271,Damien Wilkins,IND,217,2,1,TOR
3000,3000,3000.0000,3000,0,9.5,2.564176280991617,6.75,14,1626145,21700272,Tyus Jones,MIN,208,-5,1,MIA
8700,9600,9200.0000,8600,419.52353926806046,42.35,9.1523221097162,32.25,56.5,1626157,21700272,Karl-Anthony Towns,MIN,208,-5,1,MIA
4100,4000,4000.0000,4000,0,19.5625,4.546203773479583,14.5,26.75,1626159,21700272,Justise Winslow,MIA,208,5,0,MIN
3000,3000,3000.0000,3000,0,5.25,0,5.25,5.25,1626175,21700272,Jordan Mickey,MIA,208,5,0,MIN
4500,4800,4675.0000,4600,82.915619758885,19.8125,9.06982462619868,10,32.75,1626196,21700272,Josh Richardson,MIA,208,5,0,MIN
3000,3000,3000.0000,3000,0,3.375,3.375,0,6.75,1627875,21700272,Marcus Georges-Hunt,MIN,208,-5,1,MIA
3600,3600,3600.0000,3600,0,2.625,0.875,1.75,3.5,1628389,21700272,Bam Adebayo,MIA,208,5,0,MIN
3000,3000,3000.0000,3000,0,2.5,2.5,0,5,201166,21700272,Aaron Brooks,MIN,208,-5,1,MIA
6700,6800,6675.0000,6600,82.915619758885,28.125,5.5070976929776725,21.25,35.5,201609,21700272,Goran Dragic,MIA,208,5,0,MIN
5800,6200,5925.0000,5600,238.48480035423628,21.375,8.254733490549528,10,32.75,201949,21700272,James Johnson,MIA,208,5,0,MIN
6400,6800,6500.0000,6100,289.8275349237887,30.9,5.428167278188837,21,36.5,201952,21700272,Jeff Teague,MIN,208,-5,1,MIA
5100,5400,5120.0000,4700,271.2931993250106,23.85,6.044832503882966,14.5,32.5,201959,21700272,Taj Gibson,MIN,208,-5,1,MIA
3400,3300,3300.0000,3300,0,12.375,9.88765012528255,3,29,201961,21700272,Wayne Ellington,MIA,208,5,0,MIN
3000,3000,3000.0000,3000,0,0,0,0,0,202332,21700272,Cole Aldrich,MIN,208,-5,1,MIA
8500,8900,8325.0000,8000,369.96621467371864,40,7.71159840759359,27.25,48,202355,21700272,Hassan Whiteside,MIA,208,5,0,MIN
3400,3400,3400.0000,3400,0,14.1,4.844068537913145,10,23.5,202357,21700272,Nemanja Bjelica,MIN,208,-5,1,MIA
6800,7500,7180.0000,6700,324.9615361854383,39.2,11.510212856415821,24.75,54.5,202710,21700272,Jimmy Butler,MIN,208,-5,1,MIA
5600,5900,5775.0000,5600,108.97247358851676,24,9.842509842514763,7.5,33.5,203079,21700272,Dion Waiters,MIA,208,5,0,MIN
3700,3800,3766.6667,3700,47.1404520791032,8.25,1.541103500742244,6.25,10,203476,21700272,Gorgui Dieng,MIN,208,-5,1,MIA
