Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,DKFPS,AdaBoost,Neural Network,Random Forest
PG/SG,Ron Baker,3000,NY@ATL 11/24/2017 07:30PM ET,12,NY,#N/A,#N/A,#N/A,#N/A
PF/C,Khem Birch,3000,ORL@BOS 11/24/2017 07:30PM ET,3,ORL,#N/A,#N/A,#N/A,#N/A
SG/SF,Wes Iwundu,3000,ORL@BOS 11/24/2017 07:30PM ET,4.05,ORL,#N/A,#N/A,#N/A,#N/A
PG/SF,Mario Hezonja,3000,ORL@BOS 11/24/2017 07:30PM ET,7.625,ORL,7.625,7.75,7.033921478,5.079166667
PF,Adreian Payne,3000,ORL@BOS 11/24/2017 07:30PM ET,0,ORL,#N/A,#N/A,#N/A,#N/A
PF/C,Guerschon Yabusele,3000,ORL@BOS 11/24/2017 07:30PM ET,4.458,BOS,#N/A,#N/A,#N/A,#N/A
PF,Abdel Nader,3000,ORL@BOS 11/24/2017 07:30PM ET,3.639,BOS,-0.5,4.25,7.222406608,2.124166667
SG/SF,Arron Afflalo,3000,ORL@BOS 11/24/2017 07:30PM ET,5.135,ORL,8.666666667,5,6.861016788,4.526071429
SG,Jabari Bird,3000,ORL@BOS 11/24/2017 07:30PM ET,2.125,BOS,#N/A,#N/A,#N/A,#N/A
SG,Kadeem Allen,3000,ORL@BOS 11/24/2017 07:30PM ET,0,BOS,#N/A,#N/A,#N/A,#N/A
SG/SF,Gordon Hayward,3000,ORL@BOS 11/24/2017 07:30PM ET,3.25,BOS,#N/A,#N/A,#N/A,#N/A
SG/SF,Jamel Artis,3000,ORL@BOS 11/24/2017 07:30PM ET,0,ORL,#N/A,#N/A,#N/A,#N/A
SF/PF,TJ Leaf,3000,TOR@IND 11/24/2017 08:00PM ET,7.969,IND,4.083333333,8.75,6.74162435,7.535902778
PG,Lorenzo Brown,3000,TOR@IND 11/24/2017 08:00PM ET,6.75,TOR,6.75,3.25,8.01441608,5.264583333
SF,Bruno Caboclo,3000,TOR@IND 11/24/2017 08:00PM ET,2.375,TOR,#N/A,#N/A,#N/A,#N/A
PF,Malcolm Miller,3000,TOR@IND 11/24/2017 08:00PM ET,0,TOR,#N/A,#N/A,#N/A,#N/A
PG/SG,Joe Young,3000,TOR@IND 11/24/2017 08:00PM ET,3.925,IND,1,1.25,6.30161246,3.397916667
PG,Edmond Sumner,3000,TOR@IND 11/24/2017 08:00PM ET,0,IND,#N/A,#N/A,#N/A,#N/A
SG/SF,Damien Wilkins,3000,TOR@IND 11/24/2017 08:00PM ET,3.15,IND,2,2.75,6.754464641,1.508125
PF/C,Ike Anigbogu,3000,TOR@IND 11/24/2017 08:00PM ET,2,IND,#N/A,#N/A,#N/A,#N/A
PF,Alfonzo McKinnie,3000,TOR@IND 11/24/2017 08:00PM ET,2.667,TOR,#N/A,#N/A,#N/A,#N/A
SF,Alex Poythress,3000,TOR@IND 11/24/2017 08:00PM ET,1.917,IND,1.25,0,6.261081949,1.054166667
SG,Charles Cooke,3000,NO@PHO 11/24/2017 09:00PM ET,2.75,NO,1.5,3.25,6.906821018,4.585714286
SG/SF,Davon Reed,3000,NO@PHO 11/24/2017 09:00PM ET,0,PHO,#N/A,#N/A,#N/A,#N/A
SF,Jalen Jones,3000,NO@PHO 11/24/2017 09:00PM ET,2.667,NO,3.375,1.5,6.907481949,1.28
SG/SF,Tony Allen,3000,NO@PHO 11/24/2017 09:00PM ET,9.786,NO,11.75,9.75,12.48547216,9.184077381
PG,Frank Jackson,3000,NO@PHO 11/24/2017 09:00PM ET,0,NO,#N/A,#N/A,#N/A,#N/A
C,Alexis Ajinca,3000,NO@PHO 11/24/2017 09:00PM ET,0,NO,#N/A,#N/A,#N/A,#N/A
C,Omer Asik,3000,NO@PHO 11/24/2017 09:00PM ET,0,NO,#N/A,#N/A,#N/A,#N/A
SF/PF,Solomon Hill,3000,NO@PHO 11/24/2017 09:00PM ET,0,NO,#N/A,#N/A,#N/A,#N/A
PG/SG,Brandon Knight,3000,NO@PHO 11/24/2017 09:00PM ET,0,PHO,#N/A,#N/A,#N/A,#N/A
PF,Alec Peters,3000,NO@PHO 11/24/2017 09:00PM ET,5.625,PHO,#N/A,#N/A,#N/A,#N/A
SF,Derrick Jones Jr.,3000,NO@PHO 11/24/2017 09:00PM ET,4.65,PHO,#N/A,#N/A,#N/A,#N/A
PG/SG,Cameron Payne,3000,CHI@GS 11/24/2017 10:30PM ET,0,CHI,#N/A,#N/A,#N/A,#N/A
PF/C,Cristiano Felicio,3000,CHI@GS 11/24/2017 10:30PM ET,9.563,CHI,9.15,8.75,8.962514457,8.536458333
SG/SF,Quincy Pondexter,3000,CHI@GS 11/24/2017 10:30PM ET,7.019,CHI,3.3125,11,7.885800297,13.1141369
PG,Antonio Blakeney,3000,CHI@GS 11/24/2017 10:30PM ET,11.542,CHI,13.45,13.75,9.95457636,11.45833333
SF/PF,Kevon Looney,3000,CHI@GS 11/24/2017 10:30PM ET,10.295,GS,9.875,16.75,13.06179745,14.02166667
PF/C,Jordan Bell,3000,CHI@GS 11/24/2017 10:30PM ET,8.792,GS,1.25,16,14.17228548,17.20666667
PG,Kay Felder,3000,CHI@GS 11/24/2017 10:30PM ET,7.909,CHI,1.375,8.75,6.683423123,12.51279762
C,JaVale McGee,3000,CHI@GS 11/24/2017 10:30PM ET,9.297,GS,5.25,11.75,10.693965,14.79034722
PG,Quinn Cook,3000,CHI@GS 11/24/2017 10:30PM ET,1,GS,#N/A,#N/A,#N/A,#N/A
PG,Ryan Arcidiacono,3000,CHI@GS 11/24/2017 10:30PM ET,1.5,CHI,#N/A,#N/A,#N/A,#N/A
PF,Chris Boucher,3000,CHI@GS 11/24/2017 10:30PM ET,0,GS,#N/A,#N/A,#N/A,#N/A
C,Damian Jones,3000,CHI@GS 11/24/2017 10:30PM ET,0,GS,#N/A,#N/A,#N/A,#N/A
PG,Jose Calderon,3000,CHA@CLE 11/24/2017 08:00PM ET,6.139,CLE,12.91666667,11.25,12.43348498,17.12638889
SG/SF,Cedi Osman,3000,CHA@CLE 11/24/2017 08:00PM ET,3.944,CLE,6.75,9.5,6.817926944,5.726190476
SG/SF,Treveon Graham,3000,CHA@CLE 11/24/2017 08:00PM ET,11.9,CHA,#N/A,#N/A,#N/A,#N/A
PG,London Perrantes,3000,CHA@CLE 11/24/2017 08:00PM ET,0,CLE,#N/A,#N/A,#N/A,#N/A
SG/SF,John Holland,3000,CHA@CLE 11/24/2017 08:00PM ET,2,CLE,1,2.5,6.529021838,5.016666667
PF/C,Johnny O'Bryant III,3000,CHA@CLE 11/24/2017 08:00PM ET,11,CHA,#N/A,#N/A,#N/A,#N/A
PG/SG,Julyan Stone,3000,CHA@CLE 11/24/2017 08:00PM ET,9.625,CHA,#N/A,#N/A,#N/A,#N/A
PG,Marcus Paige,3000,CHA@CLE 11/24/2017 08:00PM ET,2.5,CHA,#N/A,#N/A,#N/A,#N/A
PF/C,Mangok Mathiang,3000,CHA@CLE 11/24/2017 08:00PM ET,2.5,CHA,#N/A,#N/A,#N/A,#N/A
PG/SG,Langston Galloway,3000,DET@OKC 11/24/2017 08:00PM ET,11.141,DET,11,6.75,9.859456264,7.052083333
PF/C,Henry Ellenson,3000,DET@OKC 11/24/2017 08:00PM ET,11.708,DET,13,9.75,7.81693448,8.246666667
SG/SF,Terrance Ferguson,3000,DET@OKC 11/24/2017 08:00PM ET,1.136,OKC,0,0,6.113620082,1.397678571
SF,Daniel Hamilton,3000,DET@OKC 11/24/2017 08:00PM ET,0,OKC,#N/A,#N/A,#N/A,#N/A
PF/C,Eric Moreland,3000,DET@OKC 11/24/2017 08:00PM ET,8.071,DET,12.625,7,9.673411795,10.0528869
SG/SF,Reggie Bullock,3000,DET@OKC 11/24/2017 08:00PM ET,7.725,DET,7.125,8.5,7.105017361,3.76827381
PG/SG,PJ Dozier,3000,DET@OKC 11/24/2017 08:00PM ET,0,OKC,#N/A,#N/A,#N/A,#N/A
C,Boban Marjanovic,3000,DET@OKC 11/24/2017 08:00PM ET,10.25,DET,#N/A,#N/A,#N/A,#N/A
PF/C,Jon Leuer,3000,DET@OKC 11/24/2017 08:00PM ET,11.813,DET,#N/A,#N/A,#N/A,#N/A
PF/C,Nick Collison,3000,DET@OKC 11/24/2017 08:00PM ET,1.5,OKC,#N/A,#N/A,#N/A,#N/A
SG/SF,Kyle Singler,3000,DET@OKC 11/24/2017 08:00PM ET,2,OKC,#N/A,#N/A,#N/A,#N/A
SF,Luis Montero,3000,DET@OKC 11/24/2017 08:00PM ET,0,DET,#N/A,#N/A,#N/A,#N/A
SF/PF,Josh Huestis,3000,DET@OKC 11/24/2017 08:00PM ET,6.982,OKC,4.1875,7.75,7.699980669,9.465673701
PG,Dwight Buycks,3000,DET@OKC 11/24/2017 08:00PM ET,0,DET,#N/A,#N/A,#N/A,#N/A
C,Cole Aldrich,3000,MIA@MIN 11/24/2017 08:00PM ET,1.15,MIN,0,2.75,6.261927883,1.08
PG/SG,Tyus Jones,3000,MIA@MIN 11/24/2017 08:00PM ET,8.667,MIN,9.2,8.5,7.29041803,5.542142857
PF/C,Jordan Mickey,3000,MIA@MIN 11/24/2017 08:00PM ET,11.083,MIA,5.25,7,6.655403907,5.908333333
SG,Matt Williams,3000,MIA@MIN 11/24/2017 08:00PM ET,0,MIA,#N/A,#N/A,#N/A,#N/A
SG/SF,Rodney McGruder,3000,MIA@MIN 11/24/2017 08:00PM ET,0,MIA,#N/A,#N/A,#N/A,#N/A
PG,Derrick Walton Jr.,3000,MIA@MIN 11/24/2017 08:00PM ET,0.813,MIA,#N/A,#N/A,#N/A,#N/A
PG/SG,Aaron Brooks,3000,MIA@MIN 11/24/2017 08:00PM ET,2.844,MIN,2.5,1.25,6.278134436,2.175757576
SF/PF,Okaro White,3000,MIA@MIN 11/24/2017 08:00PM ET,8.45,MIA,#N/A,#N/A,#N/A,#N/A
PF/C,Udonis Haslem,3000,MIA@MIN 11/24/2017 08:00PM ET,2,MIA,2,2,6.396434494,2.3225
C,Justin Patton,3000,MIA@MIN 11/24/2017 08:00PM ET,0,MIN,#N/A,#N/A,#N/A,#N/A
C,A.J. Hammons,3000,MIA@MIN 11/24/2017 08:00PM ET,0,MIA,#N/A,#N/A,#N/A,#N/A
SG/SF,Marcus Georges-Hunt,3000,MIA@MIN 11/24/2017 08:00PM ET,1.031,MIN,3.375,2.5,6.083475934,2.618257576
SG/SF,Anthony Brown,3000,MIA@MIN 11/24/2017 08:00PM ET,0,MIN,#N/A,#N/A,#N/A,#N/A
PF/C,Ivan Rabb,3000,MEM@DEN 11/24/2017 09:00PM ET,0,MEM,#N/A,#N/A,#N/A,#N/A
PG/SG,Wayne Selden Jr.,3000,MEM@DEN 11/24/2017 09:00PM ET,8.25,MEM,#N/A,#N/A,#N/A,#N/A
PF,Darrell Arthur,3000,MEM@DEN 11/24/2017 09:00PM ET,4.375,DEN,#N/A,#N/A,#N/A,#N/A
SF/PF,Richard Jefferson,3000,MEM@DEN 11/24/2017 09:00PM ET,2.6,DEN,1.5,1.5,6.073969283,2.943095238
PF/C,Deyonta Davis,3000,MEM@DEN 11/24/2017 09:00PM ET,10.65,MEM,14.41666667,13.25,14.61506381,10.2547619
SG/SF,Torrey Craig,3000,MEM@DEN 11/24/2017 09:00PM ET,0,DEN,#N/A,#N/A,#N/A,#N/A
SG,Malik Beasley,3000,MEM@DEN 11/24/2017 09:00PM ET,6,DEN,9.083333333,2.5,6.626144135,3.172916667
PG,Monte Morris,3000,MEM@DEN 11/24/2017 09:00PM ET,0,DEN,#N/A,#N/A,#N/A,#N/A
PF,Tyler Lydon,3000,MEM@DEN 11/24/2017 09:00PM ET,0,DEN,#N/A,#N/A,#N/A,#N/A
PF,Vince Hunter,3000,MEM@DEN 11/24/2017 09:00PM ET,0,MEM,#N/A,#N/A,#N/A,#N/A
SG,Kobi Simmons,3000,MEM@DEN 11/24/2017 09:00PM ET,0,MEM,#N/A,#N/A,#N/A,#N/A
