Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,DKFPS,AdaBoost,Neural Network,Random Forest
SF/PF,Andrew Wiggins,6300,MIA@MIN 11/24/2017 08:00PM ET,29.903,MIN,27.6,31.25,31.60122342,26.25583333
PG,Mike Conley,6300,MEM@DEN 11/24/2017 09:00PM ET,28.771,MEM,#N/A,#N/A,#N/A,#N/A
SG/SF,Nicolas Batum,6200,CHA@CLE 11/24/2017 08:00PM ET,24.15,CHA,#N/A,#N/A,#N/A,#N/A
PF/C,Enes Kanter,6100,NY@ATL 11/24/2017 07:30PM ET,30.426,NY,27.25,29,32.94061793,23.06107143
PG/SG,Avery Bradley,6100,DET@OKC 11/24/2017 08:00PM ET,26.721,DET,26.8125,24,25.15183291,26.12007937
PG,Darren Collison,6000,TOR@IND 11/24/2017 08:00PM ET,28.931,IND,34.0625,27,28.81108841,27.04208333
SF/PF,Thaddeus Young,6000,TOR@IND 11/24/2017 08:00PM ET,27.556,IND,27.75,31.25,27.48663098,28.97511905
PG,Reggie Jackson,6000,DET@OKC 11/24/2017 08:00PM ET,29.368,DET,21.875,27,30.69667849,32.10327381
SG/SF,Will Barton,6000,MEM@DEN 11/24/2017 09:00PM ET,29.208,DEN,27.75,35.25,29.56914667,32.71544643
SG/SF,Evan Fournier,5900,ORL@BOS 11/24/2017 07:30PM ET,31.181,ORL,24.625,27.5,29.26926026,24.86181548
PF,James Johnson,5800,MIA@MIN 11/24/2017 08:00PM ET,27.266,MIA,19.5625,26.5,28.48845185,28.15531746
SF/PF,Jayson Tatum,5700,ORL@BOS 11/24/2017 07:30PM ET,27.395,BOS,30.95,28.25,26.67428616,29.41611111
PG,Elfrid Payton,5700,ORL@BOS 11/24/2017 07:30PM ET,25.694,ORL,26.3125,26.5,29.52658221,24.80375
PF/C,Domantas Sabonis,5700,TOR@IND 11/24/2017 08:00PM ET,28.609,IND,23.375,27.75,28.83547196,27.1775
SG/SF,Justin Holiday,5600,CHI@GS 11/24/2017 10:30PM ET,27.317,CHI,27.3125,28.5,28.24330915,31.72380952
SG/SF,Dion Waiters,5600,MIA@MIN 11/24/2017 08:00PM ET,26.667,MIA,25.375,28,29.39693447,23.91196429
PG/SG,Kris Dunn,5500,CHI@GS 11/24/2017 10:30PM ET,27.479,CHI,30.95,30.5,28.5326901,25.23482143
SG/SF,Kent Bazemore,5400,NY@ATL 11/24/2017 07:30PM ET,28.125,ATL,23.5,30,29.03535576,36.9985119
SG/SF,Denzel Valentine,5400,CHI@GS 11/24/2017 10:30PM ET,23.172,CHI,27.05,24.5,24.51437574,26.09104167
PG,Mario Chalmers,5300,MEM@DEN 11/24/2017 09:00PM ET,21.221,MEM,30.0625,22,24.63684854,30.08150641
SG/SF,Taurean Prince,5200,NY@ATL 11/24/2017 07:30PM ET,26.625,ATL,27.1875,23.25,26.24883776,21.35391414
PF,Bobby Portis,5200,CHI@GS 11/24/2017 10:30PM ET,27.313,CHI,21.5,20,25.28876823,23.71166667
PG/SG,Dwyane Wade,5200,CHA@CLE 11/24/2017 08:00PM ET,23.794,CLE,33.125,21.5,26.80871329,23.85458333
C,Steven Adams,5200,DET@OKC 11/24/2017 08:00PM ET,29.268,OKC,27.75,33.5,30.07161564,30.28366071
