GAME_DATE,DKFPS,Target,HOME,OPP,PM,OU
2016-12-15,47.88,34.0,True,NYK,-17.5,222.5
2016-12-17,47.89,32.75,True,POR,-14.0,234.0
2016-12-20,47.85,42.75,True,UTA,-12.5,210.5
2016-12-22,47.87,38.5,False,BKN,-13.5,231.0
2016-12-23,47.84,44.75,False,DET,-8.0,214.5
2016-12-25,47.91,28.75,False,CLE,-3.5,219.5
2016-12-28,47.83,47.75,True,TOR,-9.5,227.5
2016-12-30,47.9,29.5,True,DAL,-18.0,214.0
2017-01-02,47.89,33.25,True,DEN,-15.5,232.0
2017-01-04,47.81,53.25,True,POR,-16.0,222.5
2017-01-06,47.79,57.25,True,MEM,-14.0,216.0
2017-01-08,47.83,48.5,False,SAC,-12.0,226.0
2017-01-10,47.81,52.0,True,MIA,-14.5,218.0
2017-01-12,47.84,44.5,True,DET,-13.5,218.5
2017-01-16,47.82,49.5,True,CLE,-9.0,227.5
2017-01-18,47.83,46.5,True,OKC,-15.0,231.0
2017-01-20,47.86,39.75,False,HOU,-5.5,242.0
2017-01-22,47.85,43.0,False,ORL,-14.0,225.0
2017-01-23,47.84,45.75,False,MIA,-11.0,218.5
2017-01-25,47.84,46.0,False,CHA,-9.5,223.5
2017-01-28,47.75,66.75,True,LAC,-13.0,224.5
2017-02-01,47.74,69.75,True,CHA,-15.0,227.0
2017-02-02,47.8,56.25,False,LAC,-8.0,230.0
2017-02-04,47.77,62.0,False,SAC,-14.5,225.0
2017-02-08,47.92,24.75,True,CHI,-18.5,223.0
2017-02-10,47.9,30.0,False,MEM,-7.5,216.0
2017-02-11,47.8,55.5,False,OKC,-8.0,226.5
2017-02-13,47.93,23.0,False,DEN,-12.0,236.5
2017-02-15,47.87,37.5,True,SAC,-19.0,225.5
2017-02-23,47.78,60.25,True,LAC,-13.5,230.0
2017-02-25,47.83,47.25,True,BKN,-21.0,234.5
2017-02-27,47.88,35.0,False,PHI,-14.0,228.0
2017-02-28,47.85,42.25,False,WAS,-7.0,231.5
2017-03-02,47.83,47.0,False,CHI,-7.5,217.5
2017-03-05,47.8,55.5,False,NYK,-10.5,220.0
2017-03-06,47.84,44.5,False,ATL,-5.5,217.5
2017-03-08,47.86,39.25,True,BOS,-8.0,224.0
2017-03-10,47.85,43.5,False,MIN,-5.5,212.5
2017-03-14,47.82,50.0,True,PHI,-17.0,221.0
2017-03-16,47.84,45.75,True,ORL,-14.0,220.0
2017-03-18,47.84,44.5,True,MIL,-10.5,214.5
2017-03-20,47.87,38.0,False,OKC,-2.0,223.5
2017-03-21,47.85,42.25,False,DAL,-4.5,208.0
2017-03-24,47.75,68.25,True,SAC,-18.5,214.5
2017-03-26,47.83,48.25,True,MEM,-11.5,209.0
2017-03-28,47.78,59.0,False,HOU,1.5,235.0
2017-03-29,47.8,55.0,False,SAS,4.5,207.5
2017-03-31,47.84,45.25,True,HOU,-9.0,232.0
2017-04-02,47.78,61.25,True,WAS,-9.5,223.5
2017-04-04,47.84,46.25,True,MIN,-14.5,218.0
2017-04-05,47.72,75.5,False,PHX,-9.0,228.5
2017-04-10,47.85,43.5,True,UTA,-10.5,206.0
2017-04-12,47.85,41.75,True,LAL,-13.5,222.5
2017-10-17,47.87,63.5,True,HOU,-9.5,231.0
2017-10-20,47.84,46.25,False,NOP,-9.0,221.0
2017-10-21,47.82,82.5,False,MEM,-8.5,213.0
2017-10-23,47.82,46.75,False,DAL,-13.5,217.0
2017-10-25,47.81,48.75,True,TOR,-12.5,230.0
2017-10-27,47.85,69.25,True,WAS,-12.0,230.5
2017-10-29,47.83,38.0,True,DET,-14.5,221.0
2017-10-30,47.8,40.75,False,LAC,-6.0,223.0
2017-11-02,47.84,53.25,False,SAS,-8.5,220.0
2017-11-04,47.84,64.75,False,DEN,-9.0,232.5
2017-11-06,47.89,49.25,True,MIA,-14.5,223.5
2017-11-08,48.0,56.0,True,MIN,-8.5,227.0
