Position,Name,Salary,GameInfo,AvgPointsPerGame,Team,DKFPS,AdaBoost,Neural Network,Random Forest,Home
PG,Shelvin Mack,3400,ORL@BOS 11/24/2017 07:30PM ET,16.317,ORL,10.83333333,13.75,12.63721278,15.00583333,0
C,Lucas Nogueira,3400,TOR@IND 11/24/2017 08:00PM ET,12.857,TOR,10.7,10.5,10.31982913,11.69246032,0
PF/C,Dragan Bender,3400,NO@PHO 11/24/2017 09:00PM ET,14.487,PHO,14.9375,10.75,17.74847805,16.48571429,1
PF,Jared Dudley,3400,NO@PHO 11/24/2017 09:00PM ET,11.35,PHO,0,0,0,0,0
PG/SG,Ian Clark,3400,NO@PHO 11/24/2017 09:00PM ET,10.95,NO,7.25,12,11.91990301,14.20666667,0
PF/C,Channing Frye,3400,CHA@CLE 11/24/2017 08:00PM ET,8.844,CLE,17,14,14.96761287,12.76666667,1
SG/SF,Dwayne Bacon,3400,CHA@CLE 11/24/2017 08:00PM ET,12.309,CHA,5.5625,8.5,9.245087482,5.87702381,0
SG/SF,Alex Abrines,3400,DET@OKC 11/24/2017 08:00PM ET,8.324,OKC,9.375,13.5,8.905631289,14.39690476,1
C,Dakari Johnson,3400,DET@OKC 11/24/2017 08:00PM ET,6.722,OKC,4.9375,6.75,8.467674132,10.45708333,1
SG/SF,Wayne Ellington,3400,MIA@MIN 11/24/2017 08:00PM ET,12.75,MIA,12.375,8.75,11.41295239,12.73541667,0
SF/PF,Nemanja Bjelica,3400,MIA@MIN 11/24/2017 08:00PM ET,13.514,MIN,14.1,11,13.28960786,13.79916667,1
PF/C,Jarell Martin,3400,MEM@DEN 11/24/2017 09:00PM ET,12.641,MEM,4.416666667,6.5,10.66596305,7.44,0
PG/SG,Andrew Harrison,3400,MEM@DEN 11/24/2017 09:00PM ET,8.875,MEM,5.375,5,10.43044718,10.128125,0
PG,Isaiah Taylor,3300,NY@ATL 11/24/2017 07:30PM ET,12.519,ATL,0,0,0,0,0
SF/PF,Michael Beasley,3300,NY@ATL 11/24/2017 07:30PM ET,10.229,NY,11.125,13.5,10.97341121,15.1030754,0
PF,Tyler Cavanaugh,3300,NY@ATL 11/24/2017 07:30PM ET,7.583,ATL,13.25,14.5,13.68421912,11.98133838,1
PG,Ramon Sessions,3300,NY@ATL 11/24/2017 07:30PM ET,13.708,NY,9.375,12.25,10.48562752,14.95180556,0
SG,Damyean Dotson,3300,NY@ATL 11/24/2017 07:30PM ET,5.1,NY,2.5,10.25,8.877808671,6.833214286,0
PF/C,Daniel Theis,3300,ORL@BOS 11/24/2017 07:30PM ET,10.889,BOS,8.35,6.75,10.2045606,10.05520833,1
SF/PF,Jonathan Isaac,3300,ORL@BOS 11/24/2017 07:30PM ET,16.229,ORL,0,0,0,0,0
PF/C,Jakob Poeltl,3300,TOR@IND 11/24/2017 08:00PM ET,14.809,TOR,10.2,15.75,10.14468034,12.24916667,0
SG,Troy Daniels,3300,NO@PHO 11/24/2017 09:00PM ET,9.342,PHO,17.25,16.25,17.64794944,19.98458333,1
SF,Darius Miller,3300,NO@PHO 11/24/2017 09:00PM ET,10.931,NO,19.875,17.75,15.59136477,20.02166667,0
PF,Cheick Diallo,3300,NO@PHO 11/24/2017 09:00PM ET,6.375,NO,7.833333333,11,11.89994548,12.69228175,0
SG,Nick Young,3300,CHI@GS 11/24/2017 10:30PM ET,11.059,GS,10.25,12,10.00803191,13.13464286,1
PF/C,Ante Zizic,3300,CHA@CLE 11/24/2017 08:00PM ET,4.65,CLE,0,0,0,0,0
SG/SF,Andre Roberson,3300,DET@OKC 11/24/2017 08:00PM ET,13.088,OKC,13,16,9.445831713,15.12916667,1
SG,Luke Kennard,3300,DET@OKC 11/24/2017 08:00PM ET,10.979,DET,16,12.75,10.31775287,16.02922619,0
PG/SG,Raymond Felton,3300,DET@OKC 11/24/2017 08:00PM ET,14.735,OKC,12.9375,13.5,9.15747031,14.765,1
PF/C,Brandan Wright,3300,MEM@DEN 11/24/2017 09:00PM ET,13.983,MEM,0,0,0,0,0
PF/C,Bismack Biyombo,3200,ORL@BOS 11/24/2017 07:30PM ET,12.389,ORL,16.4375,13,14.1176216,12.42791667,0
PG,Shane Larkin,3200,ORL@BOS 11/24/2017 07:30PM ET,6.172,BOS,3.6875,5.25,9.299466788,6.367083333,1
SF/PF,Semi Ojeleye,3200,ORL@BOS 11/24/2017 07:30PM ET,5.347,BOS,3.45,5.25,9.135875739,7.979464286,1
C,Alan Williams,3200,NO@PHO 11/24/2017 09:00PM ET,0,PHO,0,0,0,0,0
SG/SF,Patrick McCaw,3200,CHI@GS 11/24/2017 10:30PM ET,6.95,GS,0.25,4,8.365548687,3.825,1
PG,Michael Carter-Williams,3200,CHA@CLE 11/24/2017 08:00PM ET,12.583,CHA,12.875,19.25,12.65047176,9.974404762,0
SF/PF,Trey Lyles,3200,MEM@DEN 11/24/2017 09:00PM ET,8.038,DEN,11.3125,13.25,11.09451918,10.11222222,1
PF/C,Marreese Speights,3100,ORL@BOS 11/24/2017 07:30PM ET,13.536,ORL,17.8125,12,14.19023394,14.23571429,0
C,Zaza Pachulia,3100,CHI@GS 11/24/2017 10:30PM ET,12.764,GS,15.125,14.75,10.9997635,17.18577381,1
PF/C,Patrick Patterson,3100,DET@OKC 11/24/2017 08:00PM ET,7.353,OKC,8,8.25,8.503424362,10.54479167,1
PG/SG,Tyler Dorsey,3000,NY@ATL 11/24/2017 07:30PM ET,2.625,ATL,0,0,0,0,0
SG/SF,DeAndre' Bembry,3000,NY@ATL 11/24/2017 07:30PM ET,7.438,ATL,0.5,3.25,7.998641258,5.319583333,1
SG/SF,Nicolas Brussino,3000,NY@ATL 11/24/2017 07:30PM ET,1.25,ATL,0,0,0,0,0
C,Miles Plumlee,3000,NY@ATL 11/24/2017 07:30PM ET,0,ATL,0,0,0,0,0
PG,Josh Magette,3000,NY@ATL 11/24/2017 07:30PM ET,4.625,ATL,0,0,0,0,0
PF,Luke Kornet,3000,NY@ATL 11/24/2017 07:30PM ET,0,NY,0,0,0,0,0
PF,Isaiah Hicks,3000,NY@ATL 11/24/2017 07:30PM ET,0,NY,0,0,0,0,0
PG/SG,Ron Baker,3000,NY@ATL 11/24/2017 07:30PM ET,12,NY,0,0,0,0,0
PF/C,Khem Birch,3000,ORL@BOS 11/24/2017 07:30PM ET,3,ORL,0,0,0,0,0
SG/SF,Wes Iwundu,3000,ORL@BOS 11/24/2017 07:30PM ET,4.05,ORL,0,0,0,0,0
PG/SF,Mario Hezonja,3000,ORL@BOS 11/24/2017 07:30PM ET,7.625,ORL,6.75,6,9.577078313,9.614404762,0
PF,Adreian Payne,3000,ORL@BOS 11/24/2017 07:30PM ET,0,ORL,0,0,0,0,0
PF/C,Guerschon Yabusele,3000,ORL@BOS 11/24/2017 07:30PM ET,4.458,BOS,0,0,0,0,0
PF,Abdel Nader,3000,ORL@BOS 11/24/2017 07:30PM ET,3.639,BOS,-0.5,2.75,8.368175863,5.449761905,1
SG/SF,Arron Afflalo,3000,ORL@BOS 11/24/2017 07:30PM ET,5.135,ORL,7.333333333,11,9.348082243,8.872619048,0
SG,Jabari Bird,3000,ORL@BOS 11/24/2017 07:30PM ET,2.125,BOS,0,0,0,0,0
SG,Kadeem Allen,3000,ORL@BOS 11/24/2017 07:30PM ET,0,BOS,0,0,0,0,0
SG/SF,Gordon Hayward,3000,ORL@BOS 11/24/2017 07:30PM ET,3.25,BOS,0,0,0,0,0
SG/SF,Jamel Artis,3000,ORL@BOS 11/24/2017 07:30PM ET,0,ORL,0,0,0,0,0
SF/PF,TJ Leaf,3000,TOR@IND 11/24/2017 08:00PM ET,7.969,IND,6.25,8.25,8.996199076,8.865357143,1
PG,Lorenzo Brown,3000,TOR@IND 11/24/2017 08:00PM ET,6.75,TOR,6.75,4.75,8.423075678,9.047916667,0
SF,Bruno Caboclo,3000,TOR@IND 11/24/2017 08:00PM ET,2.375,TOR,0,0,0,0,0
PF,Malcolm Miller,3000,TOR@IND 11/24/2017 08:00PM ET,0,TOR,0,0,0,0,0
PG/SG,Joe Young,3000,TOR@IND 11/24/2017 08:00PM ET,3.925,IND,2.125,2.25,8.175995242,4.16375,1
PG,Edmond Sumner,3000,TOR@IND 11/24/2017 08:00PM ET,0,IND,0,0,0,0,0
SG/SF,Damien Wilkins,3000,TOR@IND 11/24/2017 08:00PM ET,3.15,IND,3.375,3,8.30235237,4.445416667,1
PF/C,Ike Anigbogu,3000,TOR@IND 11/24/2017 08:00PM ET,2,IND,0,0,0,0,0
PF,Alfonzo McKinnie,3000,TOR@IND 11/24/2017 08:00PM ET,2.667,TOR,0,0,0,0,0
SF,Alex Poythress,3000,TOR@IND 11/24/2017 08:00PM ET,1.917,IND,0,0,0,0,0
SG,Charles Cooke,3000,NO@PHO 11/24/2017 09:00PM ET,2.75,NO,1.5,1.5,9.183718696,7.215208333,0
SG/SF,Davon Reed,3000,NO@PHO 11/24/2017 09:00PM ET,0,PHO,0,0,0,0,0
SF,Jalen Jones,3000,NO@PHO 11/24/2017 09:00PM ET,2.667,NO,3.375,5.75,9.68237499,4.829672619,0
SG/SF,Tony Allen,3000,NO@PHO 11/24/2017 09:00PM ET,9.786,NO,16.5,6.25,13.35360539,9.885833333,0
PG,Frank Jackson,3000,NO@PHO 11/24/2017 09:00PM ET,0,NO,0,0,0,0,0
C,Alexis Ajinca,3000,NO@PHO 11/24/2017 09:00PM ET,0,NO,0,0,0,0,0
C,Omer Asik,3000,NO@PHO 11/24/2017 09:00PM ET,0,NO,0,0,0,0,0
SF/PF,Solomon Hill,3000,NO@PHO 11/24/2017 09:00PM ET,0,NO,0,0,0,0,0
PG/SG,Brandon Knight,3000,NO@PHO 11/24/2017 09:00PM ET,0,PHO,0,0,0,0,0
PF,Alec Peters,3000,NO@PHO 11/24/2017 09:00PM ET,5.625,PHO,0,0,0,0,0
